Частота,A * B
(kГц),(?)

0.00000000,0.00440984
0.02384186,0.00184199
0.04768372,0.00029980
0.07152557,0.00009089
0.09536743,0.00012602
0.11920929,0.00003867
0.14305115,0.00018178
0.16689301,0.00028270
0.19073486,0.00018530
0.21457672,0.00008813
0.23841858,0.00014452
0.26226044,0.00028691
0.28610229,0.00109825
0.30994415,0.00187147
0.33378601,0.00117953
0.35762787,0.00019939
0.38146973,0.00001068
0.40531158,0.00006647
0.42915344,0.00002200
0.45299530,0.00018098
0.47683716,0.00028737
0.50067902,0.00026407
0.52452087,0.00022587
0.54836273,0.00014866
0.57220459,0.00015385
0.59604645,0.00019518
0.61988831,0.00012887
0.64373016,0.00008510
0.66757202,0.00006587
0.69141388,0.00004365
0.71525574,0.00008728
0.73909760,0.00010686
0.76293945,0.00019227
0.78678131,0.00028612
0.81062317,0.00026825
0.83446503,0.00020995
0.85830688,0.00017349
0.88214874,0.00015077
0.90599060,0.00007994
0.92983246,0.00021866
0.95367432,0.00026481
0.97751617,0.00015202
1.00135803,0.00017378
1.02519989,0.00015875
1.04904175,0.00012653
1.07288361,0.00004879
1.09672546,0.00004487
1.12056732,0.00005016
1.14440918,0.00004343
1.16825104,0.00000310
1.19209290,0.00004526
1.21593475,0.00005726
1.23977661,0.00023102
1.26361847,0.00028384
1.28746033,0.00024505
1.31130219,0.00018901
1.33514404,0.00012190
1.35898590,0.00013338
1.38282776,0.00011414
1.40666962,0.00012676
1.43051147,0.00011732
1.45435333,0.00011162
1.47819519,0.00004303
1.50203705,0.00003638
1.52587891,0.00014076
1.54972076,0.00023054
1.57356262,0.00018781
1.59740448,0.00012653
1.62124634,0.00011316
1.64508820,0.00016095
1.66893005,0.00019126
1.69277191,0.00017839
1.71661377,0.00007251
1.74045563,0.00005095
1.76429749,0.00015343
1.78813934,0.00017625
1.81198120,0.00014637
1.83582306,0.00013817
1.85966492,0.00009063
1.88350677,0.00004032
1.90734863,0.00005474
1.93119049,0.00008792
1.95503235,0.00016900
1.97887421,0.00019977
2.00271606,0.00042924
2.02655792,0.00084582
2.05039978,0.00072278
2.07424164,0.00031238
2.09808350,0.00017988
2.12192535,0.00010194
2.14576721,0.00013462
2.16960907,0.00012596
2.19345093,0.00013760
2.21729279,0.00007881
2.24113464,0.00028289
2.26497650,0.00025073
2.28881836,0.00017288
2.31266022,0.00022364
2.33650208,0.00012842
2.36034393,0.00012013
2.38418579,0.00018200
2.40802765,0.00019475
2.43186951,0.00014877
2.45571136,0.00010710
2.47955322,0.00021414
2.50339508,0.00023738
2.52723694,0.00010013
2.55107880,0.00009163
2.57492065,0.00015421
2.59876251,0.00006458
2.62260437,0.00291386
2.64644623,0.00793094
2.67028809,0.00738032
2.69412994,0.00244593
2.71797180,0.00037445
2.74181366,0.00026096
2.76565552,0.00016498
2.78949738,0.00003321
2.81333923,0.00002963
2.83718109,0.00009261
2.86102295,0.00000310
2.88486481,0.00017671
2.90870667,0.00020524
2.93254852,0.00014174
2.95639038,0.00013408
2.98023224,0.00015024
3.00407410,0.00005945
3.02791595,0.00006027
3.05175781,0.00000773
3.07559967,0.00017414
3.09944153,0.00011277
3.12328339,0.00022270
3.14712524,0.00021484
