Частота,A * B
(kГц),(?)

0.00000000,0.02611842
0.02384186,0.01091797
0.04768372,0.00158537
0.07152557,0.00018625
0.09536743,0.00015195
0.11920929,0.00010275
0.14305115,0.00006200
0.16689301,0.00005049
0.19073486,0.00007295
0.21457672,0.00011974
0.23841858,0.00008069
0.26226044,0.00001872
0.28610229,0.00007848
0.30994415,0.00023358
0.33378601,0.00078640
0.35762787,0.00078881
0.38146973,0.00031464
0.40531158,0.00014078
0.42915344,0.00013992
0.45299530,0.00005832
0.47683716,0.00002408
0.50067902,0.00004258
0.52452087,0.00000929
0.54836273,0.00006270
0.57220459,0.00010719
0.59604645,0.00015062
0.61988831,0.00025916
0.64373016,0.00054628
0.66757202,0.00047918
0.69141388,0.00008536
0.71525574,0.00011533
0.73909760,0.00008750
0.76293945,0.00003943
0.78678131,0.00008512
0.81062317,0.00008617
0.83446503,0.00006432
0.85830688,0.00007545
0.88214874,0.00013098
0.90599060,0.00016005
0.92983246,0.00016667
0.95367432,0.00182337
0.97751617,0.01100529
1.00135803,0.01747547
1.02519989,0.00976500
1.04904175,0.00135474
1.07288361,0.00010585
1.09672546,0.00011114
1.12056732,0.00006765
1.14440918,0.00002355
1.16825104,0.00006548
1.19209290,0.00011536
1.21593475,0.00010428
1.23977661,0.00001575
1.26361847,0.00009484
1.28746033,0.00011947
1.31130219,0.00037176
1.33514404,0.00098091
1.35898590,0.00087467
1.38282776,0.00031918
1.40666962,0.00013808
1.43051147,0.00008899
1.45435333,0.00004508
1.47819519,0.00003391
1.50203705,0.00001850
1.52587891,0.00003463
1.54972076,0.00010958
1.57356262,0.00009997
1.59740448,0.00007700
1.62124634,0.00021356
1.64508820,0.00038194
1.66893005,0.00026391
1.69277191,0.00011864
1.71661377,0.00009459
1.74045563,0.00002839
1.76429749,0.00012239
1.78813934,0.00017291
1.81198120,0.00013641
1.83582306,0.00010879
1.85966492,0.00011273
1.88350677,0.00012782
1.90734863,0.00012724
1.93119049,0.00015569
1.95503235,0.00175597
1.97887421,0.00994504
2.00271606,0.01498236
2.02655792,0.00787692
2.05039978,0.00091983
2.07424164,0.00014794
2.09808350,0.00012628
2.12192535,0.00006590
2.14576721,0.00001544
2.16960907,0.00003535
2.19345093,0.00007601
2.21729279,0.00006621
2.24113464,0.00004640
2.26497650,0.00011966
2.28881836,0.00018018
2.31266022,0.00047703
2.33650208,0.00098427
2.36034393,0.00077955
2.38418579,0.00022329
2.40802765,0.00007652
2.43186951,0.00005580
2.45571136,0.00003175
2.47955322,0.00005503
2.50339508,0.00006455
2.52723694,0.00006143
2.55107880,0.00008859
2.57492065,0.00001770
2.59876251,0.00012075
2.62260437,0.00013926
2.64644623,0.00008483
2.67028809,0.00021776
2.69412994,0.00026766
2.71797180,0.00013256
2.74181366,0.00000872
2.76565552,0.00005764
2.78949738,0.00006057
2.81333923,0.00004420
2.83718109,0.00006521
2.86102295,0.00011922
2.88486481,0.00016834
2.90870667,0.00016342
2.93254852,0.00013858
2.95639038,0.00153908
2.98023224,0.00777601
3.00407410,0.01099300
3.02791595,0.00541345
3.05175781,0.00055009
3.07559967,0.00009477
3.09944153,0.00007192
3.12328339,0.00004669
3.14712524,0.00004321
