Частота,A * B
(kГц),(?)

0.00000000,0.00452646
0.02384186,0.00193674
0.04768372,0.00038841
0.07152557,0.00004977
0.09536743,0.00003754
0.11920929,0.00009275
0.14305115,0.00004336
0.16689301,0.00003888
0.19073486,0.00010955
0.21457672,0.00012103
0.23841858,0.00007197
0.26226044,0.00008580
0.28610229,0.00013123
0.30994415,0.00013911
0.33378601,0.00011978
0.35762787,0.00002658
0.38146973,0.00015618
0.40531158,0.00015138
0.42915344,0.00008435
0.45299530,0.00008290
0.47683716,0.00008061
0.50067902,0.00007264
0.52452087,0.00000267
0.54836273,0.00015300
0.57220459,0.00026076
0.59604645,0.00027308
0.61988831,0.00024773
0.64373016,0.00014120
0.66757202,0.00002027
0.69141388,0.00011758
0.71525574,0.00015312
0.73909760,0.00013520
0.76293945,0.00002991
0.78678131,0.00017295
0.81062317,0.00013373
0.83446503,0.00006179
0.85830688,0.00005099
0.88214874,0.00005355
0.90599060,0.00012002
0.92983246,0.00017726
0.95367432,0.00017849
0.97751617,0.00033368
1.00135803,0.00046750
1.02519989,0.00026323
1.04904175,0.00018563
1.07288361,0.00025123
1.09672546,0.00030002
1.12056732,0.00032604
1.14440918,0.00019504
1.16825104,0.00005980
1.19209290,0.00012114
1.21593475,0.00035173
1.23977661,0.00032599
1.26361847,0.00004905
1.28746033,0.00016576
1.31130219,0.00014754
1.33514404,0.00010906
1.35898590,0.00004048
1.38282776,0.00014040
1.40666962,0.00009936
1.43051147,0.00009037
1.45435333,0.00012304
1.47819519,0.00012332
1.50203705,0.00020326
1.52587891,0.00014411
1.54972076,0.00003179
1.57356262,0.00011838
1.59740448,0.00017470
1.62124634,0.00008265
1.64508820,0.00014177
1.66893005,0.00018119
1.69277191,0.00015061
1.71661377,0.00005933
1.74045563,0.00017356
1.76429749,0.00014093
1.78813934,0.00008812
1.81198120,0.00013706
1.83582306,0.00014394
1.85966492,0.00010040
1.88350677,0.00015999
1.90734863,0.00014953
1.93119049,0.00010324
1.95503235,0.00011000
1.97887421,0.00015535
2.00271606,0.00019013
2.02655792,0.00008432
2.05039978,0.00000885
2.07424164,0.00004681
2.09808350,0.00010873
2.12192535,0.00012920
2.14576721,0.00019054
2.16960907,0.00015562
2.19345093,0.00008205
2.21729279,0.00011524
2.24113464,0.00013301
2.26497650,0.00008912
2.28881836,0.00005654
2.31266022,0.00018845
2.33650208,0.00036713
2.36034393,0.00023797
2.38418579,0.00008935
2.40802765,0.00007480
2.43186951,0.00010488
2.45571136,0.00009324
2.47955322,0.00000940
2.50339508,0.00007620
2.52723694,0.00006889
2.55107880,0.00006416
2.57492065,0.00011286
2.59876251,0.00008492
2.62260437,0.00002545
2.64644623,0.00001512
2.67028809,0.00006973
2.69412994,0.00014345
2.71797180,0.00020199
2.74181366,0.00012525
2.76565552,0.00003401
2.78949738,0.00004278
2.81333923,0.00004202
2.83718109,0.00005816
2.86102295,0.00007987
2.88486481,0.00015295
2.90870667,0.00016036
2.93254852,0.00016079
2.95639038,0.00022754
2.98023224,0.00024462
3.00407410,0.00021247
3.02791595,0.00013866
3.05175781,0.00014179
3.07559967,0.00017682
3.09944153,0.00019571
3.12328339,0.00024965
3.14712524,0.00022532
