Частота,A * B
(kГц),(?)

0.00000000,0.00366483
0.02384186,0.00158699
0.04768372,0.00042655
0.07152557,0.00036949
0.09536743,0.00021419
0.11920929,0.00002777
0.14305115,0.00013188
0.16689301,0.00018194
0.19073486,0.00012950
0.21457672,0.00024174
0.23841858,0.00032453
0.26226044,0.00032121
0.28610229,0.00022094
0.30994415,0.00009489
0.33378601,0.00010999
0.35762787,0.00030788
0.38146973,0.00034804
0.40531158,0.00019277
0.42915344,0.00009428
0.45299530,0.00022984
0.47683716,0.00013371
0.50067902,0.00010311
0.52452087,0.00033073
0.54836273,0.00048756
0.57220459,0.00040347
0.59604645,0.00027869
0.61988831,0.00009784
0.64373016,0.00008187
0.66757202,0.00009645
0.69141388,0.00013448
0.71525574,0.00008749
0.73909760,0.00011213
0.76293945,0.00021407
0.78678131,0.00024329
0.81062317,0.00022353
0.83446503,0.00012188
0.85830688,0.00001340
0.88214874,0.00005858
0.90599060,0.00020302
0.92983246,0.00031903
0.95367432,0.00044842
0.97751617,0.00097635
1.00135803,0.00138527
1.02519989,0.00082193
1.04904175,0.00036630
1.07288361,0.00027404
1.09672546,0.00014159
1.12056732,0.00013373
1.14440918,0.00014218
1.16825104,0.00033431
1.19209290,0.00028847
1.21593475,0.00020756
1.23977661,0.00023273
1.26361847,0.00019993
1.28746033,0.00028919
1.31130219,0.00020684
1.33514404,0.00027683
1.35898590,0.00025819
1.38282776,0.00014726
1.40666962,0.00015067
1.43051147,0.00022689
1.45435333,0.00028825
1.47819519,0.00021561
1.50203705,0.00001560
1.52587891,0.00026555
1.54972076,0.00052137
1.57356262,0.00050238
1.59740448,0.00028106
1.62124634,0.00015947
1.64508820,0.00010767
1.66893005,0.00006676
1.69277191,0.00003538
1.71661377,0.00010049
1.74045563,0.00017007
1.76429749,0.00024777
1.78813934,0.00023647
1.81198120,0.00019556
1.83582306,0.00017658
1.85966492,0.00006856
1.88350677,0.00015619
1.90734863,0.00016466
1.93119049,0.00022198
1.95503235,0.00028509
1.97887421,0.00014056
2.00271606,0.00010508
2.02655792,0.00007080
2.05039978,0.00003934
2.07424164,0.00013435
2.09808350,0.00014826
2.12192535,0.00019219
2.14576721,0.00023542
2.16960907,0.00018512
2.19345093,0.00008677
2.21729279,0.00024247
2.24113464,0.00026714
2.26497650,0.00009986
2.28881836,0.00007525
2.31266022,0.00029471
2.33650208,0.00056980
2.36034393,0.00047356
2.38418579,0.00011706
2.40802765,0.00021643
2.43186951,0.00019544
2.45571136,0.00026731
2.47955322,0.00023777
2.50339508,0.00007489
2.52723694,0.00007930
2.55107880,0.00021517
2.57492065,0.00022312
2.59876251,0.00011999
2.62260437,0.00024119
2.64644623,0.00039933
2.67028809,0.00048866
2.69412994,0.00046168
2.71797180,0.00020845
2.74181366,0.00007146
2.76565552,0.00006738
2.78949738,0.00016605
2.81333923,0.00018830
2.83718109,0.00015489
2.86102295,0.00024044
2.88486481,0.00027160
2.90870667,0.00001904
2.93254852,0.00022271
2.95639038,0.00025345
2.98023224,0.00072917
3.00407410,0.00099254
3.02791595,0.00048413
3.05175781,0.00020745
3.07559967,0.00022884
3.09944153,0.00014972
3.12328339,0.00029246
3.14712524,0.00023687
