Частота,A * B
(kГц),(?)

0.00000000,0.20193440
0.02384186,0.08502235
0.04768372,0.01361143
0.07152557,0.00004929
0.09536743,0.00005847
0.11920929,0.00005452
0.14305115,0.00006189
0.16689301,0.00005869
0.19073486,0.00008803
0.21457672,0.00008902
0.23841858,0.00005058
0.26226044,0.00002115
0.28610229,0.00003624
0.30994415,0.00005738
0.33378601,0.00010952
0.35762787,0.00010377
0.38146973,0.00006767
0.40531158,0.00006631
0.42915344,0.00005031
0.45299530,0.00004242
0.47683716,0.00003405
0.50067902,0.00002514
0.52452087,0.00002302
0.54836273,0.00002857
0.57220459,0.00002552
0.59604645,0.00002512
0.61988831,0.00004838
0.64373016,0.00007426
0.66757202,0.00007480
0.69141388,0.00006512
0.71525574,0.00004779
0.73909760,0.00002423
0.76293945,0.00007780
0.78678131,0.00008119
0.81062317,0.00006163
0.83446503,0.00003875
0.85830688,0.00002783
0.88214874,0.00009782
0.90599060,0.00011029
0.92983246,0.00006074
0.95367432,0.00235515
0.97751617,0.01330792
1.00135803,0.02101675
1.02519989,0.01174002
1.04904175,0.00167125
1.07288361,0.00003443
1.09672546,0.00006308
1.12056732,0.00006386
1.14440918,0.00002305
1.16825104,0.00001650
1.19209290,0.00002663
1.21593475,0.00004929
1.23977661,0.00002723
1.26361847,0.00002457
1.28746033,0.00002390
1.31130219,0.00006224
1.33514404,0.00012196
1.35898590,0.00006874
1.38282776,0.00002894
1.40666962,0.00006264
1.43051147,0.00008064
1.45435333,0.00006415
1.47819519,0.00003245
1.50203705,0.00002306
1.52587891,0.00003823
1.54972076,0.00004727
1.57356262,0.00012267
1.59740448,0.00007822
1.62124634,0.00002638
1.64508820,0.00004223
1.66893005,0.00001947
1.69277191,0.00006257
1.71661377,0.00008096
1.74045563,0.00006122
1.76429749,0.00004376
1.78813934,0.00002726
1.81198120,0.00002446
1.83582306,0.00002763
1.85966492,0.00002714
1.88350677,0.00004523
1.90734863,0.00006843
1.93119049,0.00004851
1.95503235,0.00120292
1.97887421,0.00631828
2.00271606,0.00942746
2.02655792,0.00494691
2.05039978,0.00063634
2.07424164,0.00003601
2.09808350,0.00003715
2.12192535,0.00002029
2.14576721,0.00007318
2.16960907,0.00005550
2.19345093,0.00007118
2.21729279,0.00007626
2.24113464,0.00003891
2.26497650,0.00004521
2.28881836,0.00003073
2.31266022,0.00001344
2.33650208,0.00006891
2.36034393,0.00009497
2.38418579,0.00009518
2.40802765,0.00008020
2.43186951,0.00005312
2.45571136,0.00001885
2.47955322,0.00001623
2.50339508,0.00000483
2.52723694,0.00002361
2.55107880,0.00004252
2.57492065,0.00003540
2.59876251,0.00002837
2.62260437,0.00002872
2.64644623,0.00002707
2.67028809,0.00007418
2.69412994,0.00011607
2.71797180,0.00012789
2.74181366,0.00013794
2.76565552,0.00012683
2.78949738,0.00005557
2.81333923,0.00001079
2.83718109,0.00003473
2.86102295,0.00002191
2.88486481,0.00006874
2.90870667,0.00007094
2.93254852,0.00006227
2.95639038,0.00011206
2.98023224,0.00031634
3.00407410,0.00042904
3.02791595,0.00023709
3.05175781,0.00007532
3.07559967,0.00002954
3.09944153,0.00002817
3.12328339,0.00003582
3.14712524,0.00006194
