Частота,A * B
(kГц),(?)

0.00000000,0.05580176
0.02384186,0.02350466
0.04768372,0.00378705
0.07152557,0.00002571
0.09536743,0.00004344
0.11920929,0.00005372
0.14305115,0.00002023
0.16689301,0.00004973
0.19073486,0.00007084
0.21457672,0.00006528
0.23841858,0.00005745
0.26226044,0.00003880
0.28610229,0.00005100
0.30994415,0.00009642
0.33378601,0.00010030
0.35762787,0.00003354
0.38146973,0.00004402
0.40531158,0.00004887
0.42915344,0.00007555
0.45299530,0.00008133
0.47683716,0.00003736
0.50067902,0.00001590
0.52452087,0.00001381
0.54836273,0.00006108
0.57220459,0.00012589
0.59604645,0.00011662
0.61988831,0.00008013
0.64373016,0.00005855
0.66757202,0.00005154
0.69141388,0.00002616
0.71525574,0.00004704
0.73909760,0.00003615
0.76293945,0.00002869
0.78678131,0.00008559
0.81062317,0.00009826
0.83446503,0.00008216
0.85830688,0.00007001
0.88214874,0.00006734
0.90599060,0.00007633
0.92983246,0.00007325
0.95367432,0.00323109
0.97751617,0.01841945
1.00135803,0.02909456
1.02519989,0.01633462
1.04904175,0.00242196
1.07288361,0.00006106
1.09672546,0.00003142
1.12056732,0.00003985
1.14440918,0.00009269
1.16825104,0.00010097
1.19209290,0.00009686
1.21593475,0.00007515
1.23977661,0.00005752
1.26361847,0.00003714
1.28746033,0.00006347
1.31130219,0.00007775
1.33514404,0.00005757
1.35898590,0.00001762
1.38282776,0.00002057
1.40666962,0.00001557
1.43051147,0.00001513
1.45435333,0.00000856
1.47819519,0.00001679
1.50203705,0.00005375
1.52587891,0.00006655
1.54972076,0.00005228
1.57356262,0.00002587
1.59740448,0.00001346
1.62124634,0.00001121
1.64508820,0.00002991
1.66893005,0.00006894
1.69277191,0.00005558
1.71661377,0.00002587
1.74045563,0.00007567
1.76429749,0.00007054
1.78813934,0.00005290
1.81198120,0.00006666
1.83582306,0.00004122
1.85966492,0.00001815
1.88350677,0.00010177
1.90734863,0.00005227
1.93119049,0.00004513
1.95503235,0.00953221
1.97887421,0.04911930
2.00271606,0.07309587
2.02655792,0.03851965
2.05039978,0.00506517
2.07424164,0.00004204
2.09808350,0.00006258
2.12192535,0.00003983
2.14576721,0.00004840
2.16960907,0.00003931
2.19345093,0.00001649
2.21729279,0.00005405
2.24113464,0.00006481
2.26497650,0.00008983
2.28881836,0.00009890
2.31266022,0.00010521
2.33650208,0.00009520
2.36034393,0.00005688
2.38418579,0.00002162
2.40802765,0.00007452
2.43186951,0.00005218
2.45571136,0.00004002
2.47955322,0.00004601
2.50339508,0.00004711
2.52723694,0.00001848
2.55107880,0.00003190
2.57492065,0.00002287
2.59876251,0.00002485
2.62260437,0.00005095
2.64644623,0.00011223
2.67028809,0.00012040
2.69412994,0.00005858
2.71797180,0.00001402
2.74181366,0.00003864
2.76565552,0.00004409
2.78949738,0.00003440
2.81333923,0.00002934
2.83718109,0.00002781
2.86102295,0.00004879
2.88486481,0.00004013
2.90870667,0.00008792
2.93254852,0.00010380
2.95639038,0.00402801
2.98023224,0.01869258
3.00407410,0.02619445
3.02791595,0.01301506
3.05175781,0.00159699
3.07559967,0.00006033
3.09944153,0.00004264
3.12328339,0.00009190
3.14712524,0.00011075
