Частота,Канал A
(kГц),(В)

0.00000000,0.21946430
0.02384186,0.09180257
0.04768372,0.01425072
0.07152557,0.00023102
0.09536743,0.00001059
0.11920929,0.00038004
0.14305115,0.00010288
0.16689301,0.00021019
0.19073486,0.00016165
0.21457672,0.00045894
0.23841858,0.00006293
0.26226044,0.00025548
0.28610229,0.00089535
0.30994415,0.00300715
0.33378601,0.00392404
0.35762787,0.00282598
0.38146973,0.00083599
0.40531158,0.00034871
0.42915344,0.00013715
0.45299530,0.00032639
0.47683716,0.00012611
0.50067902,0.00018103
0.52452087,0.00004764
0.54836273,0.00030224
0.57220459,0.00012308
0.59604645,0.00042250
0.61988831,0.00085905
0.64373016,0.00352758
0.66757202,0.00467838
0.69141388,0.00312853
0.71525574,0.00086205
0.73909760,0.00036072
0.76293945,0.00027457
0.78678131,0.00020884
0.81062317,0.00009180
0.83446503,0.00026231
0.85830688,0.00012981
0.88214874,0.00033798
0.90599060,0.00011690
0.92983246,0.00045172
0.95367432,0.01509137
0.97751617,0.08591086
1.00135803,0.13615610
1.02519989,0.07552100
1.04904175,0.01044654
1.07288361,0.00029923
1.09672546,0.00021446
1.12056732,0.00016882
1.14440918,0.00006154
1.16825104,0.00024360
1.19209290,0.00001814
1.21593475,0.00030422
1.23977661,0.00010143
1.26361847,0.00038853
1.28746033,0.00065431
1.31130219,0.00239903
1.33514404,0.00266027
1.35898590,0.00181570
1.38282776,0.00066888
1.40666962,0.00030844
1.43051147,0.00020337
1.45435333,0.00028881
1.47819519,0.00015685
1.50203705,0.00018421
1.52587891,0.00010568
1.54972076,0.00047262
1.57356262,0.00014501
1.59740448,0.00040707
1.62124634,0.00092081
1.64508820,0.00401950
1.66893005,0.00499922
1.69277191,0.00301738
1.71661377,0.00087575
1.74045563,0.00027488
1.76429749,0.00021750
1.78813934,0.00027273
1.81198120,0.00014467
1.83582306,0.00023163
1.85966492,0.00013838
1.88350677,0.00036955
1.90734863,0.00008221
1.93119049,0.00056590
1.95503235,0.01698398
1.97887421,0.08665338
2.00271606,0.12879150
2.02655792,0.06681406
2.05039978,0.00803245
2.07424164,0.00027356
2.09808350,0.00024889
2.12192535,0.00017276
2.14576721,0.00018615
2.16960907,0.00029866
2.19345093,0.00009927
2.21729279,0.00028685
2.24113464,0.00010674
2.26497650,0.00045058
2.28881836,0.00036498
2.31266022,0.00150117
2.33650208,0.00112791
2.36034393,0.00075376
2.38418579,0.00054012
2.40802765,0.00017103
2.43186951,0.00016239
2.45571136,0.00028146
2.47955322,0.00017127
2.50339508,0.00028197
2.52723694,0.00022645
2.55107880,0.00018578
2.57492065,0.00010744
2.59876251,0.00049945
2.62260437,0.00087442
2.64644623,0.00412738
2.67028809,0.00474227
2.69412994,0.00256041
2.71797180,0.00082291
2.74181366,0.00016456
2.76565552,0.00027810
2.78949738,0.00020119
2.81333923,0.00013800
2.83718109,0.00024459
2.86102295,0.00023495
2.88486481,0.00035442
2.90870667,0.00011556
2.93254852,0.00049422
2.95639038,0.01807826
2.98023224,0.08398109
3.00407410,0.11730360
3.02791595,0.05702671
3.05175781,0.00598143
3.07559967,0.00022592
3.09944153,0.00019724
3.12328339,0.00017839
3.14712524,0.00022479
3.17096710,0.00029798
3.19480896,0.00024836
3.21865082,0.00020988
3.24249268,0.00015590
3.26633453,0.00045166
3.29017639,0.00009802
3.31401825,0.00057144
3.33786011,0.00031479
3.36170197,0.00006905
3.38554382,0.00054600
3.40938568,0.00007946
3.43322754,0.00027786
3.45706940,0.00011567
3.48091125,0.00015646
3.50475311,0.00016655
3.52859497,0.00015179
3.55243683,0.00025067
3.57627869,0.00018283
3.60012054,0.00040125
3.62396240,0.00082978
3.64780426,0.00382714
3.67164612,0.00391988
3.69548798,0.00175126
3.71932983,0.00060766
3.74317169,0.00018130
3.76701355,0.00034293
3.79085541,0.00018642
3.81469727,0.00020436
3.83853912,0.00013892
3.86238098,0.00023840
3.88622284,0.00030733
3.91006470,0.00006908
3.93390656,0.00074440
3.95774841,0.01865962
3.98159027,0.07807101
4.00543213,0.10232420
4.02927399,0.04648243
4.05311584,0.00409236
4.07695770,0.00014443
4.10079956,0.00017766
4.12464142,0.00015202
4.14848328,0.00031513
4.17232513,0.00016635
4.19616699,0.00016775
4.22000885,0.00025132
4.24385071,0.00021336
4.26769257,0.00049448
4.29153442,0.00039789
4.31537628,0.00070621
4.33921814,0.00190614
4.36306000,0.00100666
4.38690186,0.00038689
4.41074371,0.00006559
4.43458557,0.00030931
4.45842743,0.00016886
4.48226929,0.00031044
4.50611115,0.00014374
4.52995300,0.00031086
4.55379486,0.00010636
4.57763672,0.00024483
4.60147858,0.00036076
4.62532043,0.00063904
4.64916229,0.00319203
4.67300415,0.00297501
4.69684601,0.00118148
4.72068787,0.00053814
4.74452972,0.00012221
4.76837158,0.00038415
4.79221344,0.00013607
4.81605530,0.00029370
4.83989716,0.00004921
4.86373901,0.00022532
4.88758087,0.00034593
4.91142273,0.00024257
4.93526459,0.00071918
4.95910645,0.01804975
4.98294830,0.06893918
5.00679016,0.08495641
5.03063202,0.03608287
5.05447388,0.00253355
5.07831573,0.00012026
5.10215759,0.00024957
5.12599945,0.00002826
5.14984131,0.00030584
5.17368317,0.00012194
5.19752502,0.00027984
5.22136688,0.00004448
5.24520874,0.00013775
5.26905060,0.00047780
5.29289246,0.00078815
5.31673431,0.00185993
5.34057617,0.00315379
5.36441803,0.00151248
5.38825989,0.00045445
5.41210175,0.00014831
5.43594360,0.00034831
5.45978546,0.00008022
5.48362732,0.00012299
5.50746918,0.00025201
5.53131104,0.00037405
5.55515289,0.00013576
5.57899475,0.00025987
5.60283661,0.00039409
5.62667847,0.00025893
5.65052032,0.00210344
5.67436218,0.00160296
5.69820404,0.00038920
5.72204590,0.00046617
5.74588776,0.00006851
5.76972961,0.00032138
5.79357147,0.00004216
5.81741333,0.00019495
5.84125519,0.00009670
5.86509705,0.00034862
5.88893890,0.00018592
5.91278076,0.00020884
5.93662262,0.00086154
5.96046448,0.01656334
5.98430634,0.05734899
6.00814819,0.06637213
6.03199005,0.02640168
6.05583191,0.00151675
6.07967377,0.00005726
6.10351563,0.00032608
6.12735748,0.00008294
6.15119934,0.00025412
6.17504120,0.00018101
6.19888306,0.00031693
6.22272491,0.00016905
6.24656677,0.00041407
6.27040863,0.00033566
6.29425049,0.00122277
6.31809235,0.00287845
6.34193420,0.00399899
6.36577606,0.00191742
6.38961792,0.00025317
6.41345978,0.00004818
6.43730164,0.00037702
6.46114349,0.00002416
6.48498535,0.00029636
6.50882721,0.00002290
6.53266907,0.00027473
6.55651093,0.00008513
6.58035278,0.00030737
6.60419464,0.00031036
6.62803650,0.00028257
6.65187836,0.00059797
6.67572021,0.00011463
6.69956207,0.00051957
6.72340393,0.00028025
6.74724579,0.00008312
6.77108765,0.00045215
6.79492950,0.00017090
6.81877136,0.00021412
6.84261322,0.00002083
6.86645508,0.00029892
6.89029694,0.00013441
6.91413879,0.00028920
6.93798065,0.00076992
6.96182251,0.01382541
6.98566437,0.04377709
7.00950623,0.04774962
7.03334808,0.01794577
7.05718994,0.00081702
7.08103180,0.00008799
7.10487366,0.00030424
7.12871552,0.00015737
7.15255737,0.00028071
7.17639923,0.00011691
7.20024109,0.00033998
7.22408295,0.00009350
7.24792480,0.00032289
7.27176666,0.00036728
7.29560852,0.00166858
7.31945038,0.00373392
7.34329224,0.00457418
7.36713409,0.00210865
7.39097595,0.00026723
7.41481781,0.00022193
7.43865967,0.00028733
7.46250153,0.00007309
7.48634338,0.00026418
7.51018524,0.00001945
7.53402710,0.00030490
7.55786896,0.00006720
7.58171082,0.00043020
7.60555267,0.00018274
7.62939453,0.00080892
7.65323639,0.00096294
7.67707825,0.00156539
7.70092010,0.00103681
7.72476196,0.00027972
7.74860382,0.00023359
7.77244568,0.00026157
7.79628754,0.00004355
7.82012939,0.00036378
7.84397125,0.00011350
7.86781311,0.00031753
7.89165497,0.00006016
7.91549683,0.00035437
7.93933868,0.00067209
7.96318054,0.01018824
7.98702240,0.02909672
8.01086426,0.02983076
8.03470612,0.01058293
8.05854797,0.00025154
8.08238983,0.00015760
8.10623169,0.00024180
8.13007355,0.00012560
8.15391541,0.00032025
8.17775726,0.00007353
8.20159912,0.00028607
8.22544098,0.00000648
8.24928284,0.00037582
8.27312469,0.00029569
8.29696655,0.00200116
8.32080841,0.00412676
8.34465027,0.00447989
8.36849213,0.00199591
8.39233398,0.00019114
8.41617584,0.00025313
8.44001770,0.00026158
8.46385956,0.00016926
8.48770142,0.00026576
8.51154327,0.00010829
8.53538513,0.00029609
8.55922699,0.00011965
8.58306885,0.00031308
8.60691071,0.00028600
8.63075256,0.00145753
8.65459442,0.00240958
8.67843628,0.00267286
8.70227814,0.00134419
8.72612000,0.00024036
8.74996185,0.00028880
8.77380371,0.00023747
8.79764557,0.00008485
8.82148743,0.00028057
8.84532928,0.00007198
8.86917114,0.00034890
8.89301300,0.00007211
8.91685486,0.00038530
8.94069672,0.00040314
8.96453857,0.00576503
8.98838043,0.01447126
9.01222229,0.01400251
9.03606415,0.00487884
9.05990601,0.00012036
9.08374786,0.00030016
9.10758972,0.00022618
9.13143158,0.00016875
9.15527344,0.00031398
9.17911530,0.00024212
9.20295715,0.00018067
9.22679901,0.00003545
9.25064087,0.00043337
9.27448273,0.00012073
9.29832458,0.00207489
9.32216644,0.00412137
9.34600830,0.00412209
9.36985016,0.00189632
9.39369202,0.00009146
9.41753387,0.00027358
9.44137573,0.00025466
9.46521759,0.00023357
9.48905945,0.00026519
9.51290131,0.00019315
9.53674316,0.00024351
9.56058502,0.00013525
9.58442688,0.00034466
9.60826874,0.00019663
9.63211060,0.00209600
9.65595245,0.00386412
9.67979431,0.00368410
9.70363617,0.00165697
9.72747803,0.00013099
9.75131989,0.00034507
9.77516174,0.00017046
9.79900360,0.00018092
9.82284546,0.00029051
9.84668732,0.00025577
9.87052917,0.00013181
9.89437103,0.00004029
9.91821289,0.00036321
9.94205475,0.00013436
9.96589661,0.00105786
9.98973846,0.00096439
10.01358032,0.00095741
10.03742218,0.00086595
10.06126404,0.00010793
10.08510590,0.00028838
10.10894775,0.00029105
10.13278961,0.00031770
10.15663147,0.00012689
10.18047333,0.00013072
10.20431519,0.00026837
10.22815704,0.00011366
10.25199890,0.00044650
10.27584076,0.00011479
10.29968262,0.00213696
10.32352448,0.00366811
10.34736633,0.00316425
10.37120819,0.00142468
10.39505005,0.00010409
10.41889191,0.00032444
10.44273376,0.00021541
10.46657562,0.00024468
10.49041748,0.00016850
10.51425934,0.00016230
10.53810120,0.00023197
10.56194305,0.00015665
10.58578491,0.00037368
10.60962677,0.00016258
10.63346863,0.00271150
10.65731049,0.00498725
10.68115234,0.00415995
10.70499420,0.00162362
10.72883606,0.00016750
10.75267792,0.00040435
10.77651978,0.00020660
10.80036163,0.00027009
10.82420349,0.00016789
10.84804535,0.00014670
10.87188721,0.00031028
10.89572906,0.00031998
10.91957092,0.00032172
10.94341278,0.00043996
10.96725464,0.00382623
10.99109650,0.01079889
11.01493835,0.00911252
11.03878021,0.00184694
11.06262207,0.00016659
11.08646393,0.00043422
11.11030579,0.00009897
11.13414764,0.00022066
11.15798950,0.00014717
11.18183136,0.00019827
11.20567322,0.00020429
11.22951508,0.00015933
11.25335693,0.00038210
11.27719879,0.00002732
11.30104065,0.00178152
11.32488251,0.00269181
11.34872437,0.00206232
11.37256622,0.00110628
11.39640808,0.00009170
11.42024994,0.00047409
11.44409180,0.00002657
11.46793365,0.00022350
11.49177551,0.00013379
11.51561737,0.00025894
11.53945923,0.00014289
11.56330109,0.00021042
11.58714294,0.00034855
11.61098480,0.00006093
11.63482666,0.00297128
11.65866852,0.00548111
11.68251038,0.00422402
11.70635223,0.00163714
11.73019409,0.00007718
11.75403595,0.00039745
11.77787781,0.00006917
11.80171967,0.00031811
11.82556152,0.00013324
11.84940338,0.00016443
11.87324524,0.00017932
11.89708710,0.00020964
11.92092896,0.00042487
11.94477081,0.00107120
11.96861267,0.00833740
11.99245453,0.02010217
12.01629639,0.01603680
12.04013824,0.00333265
12.06398010,0.00003783
12.08782196,0.00034720
12.11166382,0.00012151
12.13550568,0.00027594
12.15934753,0.00008826
12.18318939,0.00019976
12.20703125,0.00018363
12.23087311,0.00022896
12.25471497,0.00037083
12.27855682,0.00019598
12.30239868,0.00130640
12.32624054,0.00162354
12.35008240,0.00098119
12.37392426,0.00084985
12.39776611,0.00018457
12.42160797,0.00028474
12.44544983,0.00013539
12.46929169,0.00033900
12.49313354,0.00008280
12.51697540,0.00024093
12.54081726,0.00012311
12.56465912,0.00021949
12.58850098,0.00036893
12.61234283,0.00006188
12.63618469,0.00311973
12.66002655,0.00555567
12.68386841,0.00384750
12.70771027,0.00146485
12.73155212,0.00021797
12.75539398,0.00036356
12.77923584,0.00004389
12.80307770,0.00018688
12.82691956,0.00017170
12.85076141,0.00029735
12.87460327,0.00013669
12.89844513,0.00040290
12.92228699,0.00019318
12.94612885,0.00155861
12.96997070,0.01199307
12.99381256,0.02636648
13.01765442,0.01981788
13.04149628,0.00385911
13.06533813,0.00016251
13.08917999,0.00034703
13.11302185,0.00004266
13.13686371,0.00026028
13.16070557,0.00013351
13.18454742,0.00028681
13.20838928,0.00008547
13.23223114,0.00032062
13.25607300,0.00018893
13.27991486,0.00027809
13.30375671,0.00060582
13.32759857,0.00021126
13.35144043,0.00024843
13.37528229,0.00052999
13.39912415,0.00027306
13.42296600,0.00028993
13.44680786,0.00006359
13.47064972,0.00033816
13.49449158,0.00002611
13.51833344,0.00023310
13.54217529,0.00015610
13.56601715,0.00041888
13.58985901,0.00015464
13.61370087,0.00006861
13.63754272,0.00299953
13.66138458,0.00497716
13.68522644,0.00301527
13.70906830,0.00109150
13.73291016,0.00021272
13.75675201,0.00035995
13.78059387,0.00009305
13.80443573,0.00023137
13.82827759,0.00009705
13.85211945,0.00033062
