Частота,Канал A
(kГц),(В)

0.00000000,0.33891390
0.02384186,0.14299110
0.04768372,0.02348945
0.07152557,0.00042653
0.09536743,0.00029898
0.11920929,0.00034996
0.14305115,0.00034211
0.16689301,0.00015472
0.19073486,0.00026887
0.21457672,0.00034717
0.23841858,0.00010339
0.26226044,0.00017705
0.28610229,0.00066931
0.30994415,0.00219869
0.33378601,0.00390767
0.35762787,0.00304695
0.38146973,0.00069359
0.40531158,0.00050865
0.42915344,0.00038309
0.45299530,0.00021095
0.47683716,0.00010233
0.50067902,0.00009408
0.52452087,0.00014313
0.54836273,0.00009804
0.57220459,0.00020610
0.59604645,0.00037721
0.61988831,0.00103763
0.64373016,0.00389547
0.66757202,0.00489591
0.69141388,0.00292989
0.71525574,0.00099095
0.73909760,0.00030264
0.76293945,0.00017803
0.78678131,0.00010778
0.81062317,0.00020117
0.83446503,0.00027248
0.85830688,0.00029849
0.88214874,0.00040904
0.90599060,0.00038492
0.92983246,0.00048762
0.95367432,0.02458234
0.97751617,0.13565450
1.00135803,0.21367230
1.02519989,0.11952230
1.04904175,0.01727033
1.07288361,0.00014935
1.09672546,0.00037828
1.12056732,0.00036339
1.14440918,0.00023813
1.16825104,0.00033460
1.19209290,0.00014448
1.21593475,0.00026569
1.23977661,0.00039505
1.26361847,0.00026936
1.28746033,0.00027846
1.31130219,0.00095680
1.33514404,0.00203161
1.35898590,0.00153868
1.38282776,0.00055038
1.40666962,0.00029949
1.43051147,0.00043995
1.45435333,0.00036294
1.47819519,0.00027686
1.50203705,0.00012367
1.52587891,0.00016544
1.54972076,0.00019093
1.57356262,0.00025497
1.59740448,0.00032281
1.62124634,0.00102488
1.64508820,0.00372704
1.66893005,0.00458469
1.69277191,0.00285073
1.71661377,0.00088500
1.74045563,0.00048333
1.76429749,0.00028512
1.78813934,0.00020803
1.81198120,0.00003890
1.83582306,0.00004362
1.85966492,0.00016803
1.88350677,0.00026517
1.90734863,0.00021810
1.93119049,0.00052591
1.95503235,0.02514290
1.97887421,0.12566340
2.00271606,0.18603530
2.02655792,0.09740560
2.05039978,0.01225233
2.07424164,0.00019944
2.09808350,0.00013536
2.12192535,0.00019330
2.14576721,0.00018962
2.16960907,0.00030622
2.19345093,0.00038025
2.21729279,0.00036903
2.24113464,0.00030715
2.26497650,0.00038923
2.28881836,0.00039564
2.31266022,0.00076605
2.33650208,0.00051092
2.36034393,0.00040841
2.38418579,0.00043094
2.40802765,0.00029314
2.43186951,0.00028143
2.45571136,0.00017642
2.47955322,0.00034581
2.50339508,0.00017763
2.52723694,0.00033552
2.55107880,0.00024734
2.57492065,0.00020233
2.59876251,0.00034515
2.62260437,0.00094396
2.64644623,0.00267796
2.67028809,0.00322098
2.69412994,0.00209482
2.71797180,0.00059406
2.74181366,0.00041785
2.76565552,0.00032261
2.78949738,0.00043303
2.81333923,0.00020397
2.83718109,0.00012106
2.86102295,0.00010478
2.88486481,0.00016004
2.90870667,0.00027417
2.93254852,0.00060265
2.95639038,0.02285772
2.98023224,0.10441130
3.00407410,0.14537090
3.02791595,0.07110603
3.05175781,0.00758480
3.07559967,0.00034358
3.09944153,0.00020025
3.12328339,0.00019265
3.14712524,0.00013318
3.17096710,0.00016360
3.19480896,0.00019936
3.21865082,0.00031935
3.24249268,0.00037987
3.26633453,0.00037461
3.29017639,0.00106308
3.31401825,0.00238164
3.33786011,0.00270256
3.36170197,0.00165993
3.38554382,0.00044589
3.40938568,0.00030884
3.43322754,0.00031059
3.45706940,0.00024751
3.48091125,0.00023886
3.50475311,0.00032822
3.52859497,0.00042879
3.55243683,0.00030093
3.57627869,0.00023801
3.60012054,0.00020342
3.62396240,0.00041598
3.64780426,0.00066276
3.67164612,0.00107380
3.69548798,0.00096551
3.71932983,0.00044840
3.74317169,0.00040991
3.76701355,0.00026489
3.79085541,0.00032411
3.81469727,0.00016411
3.83853912,0.00018619
3.86238098,0.00009703
3.88622284,0.00004358
3.91006470,0.00021698
3.93390656,0.00055940
3.95774841,0.01765546
3.98159027,0.07444391
4.00543213,0.09759361
4.02927399,0.04444309
4.05311584,0.00379883
4.07695770,0.00039012
4.10079956,0.00019222
4.12464142,0.00023728
4.14848328,0.00020944
4.17232513,0.00008886
4.19616699,0.00015672
4.22000885,0.00021014
4.24385071,0.00033972
4.26769257,0.00050643
4.29153442,0.00137929
4.31537628,0.00340166
4.33921814,0.00429211
4.36306000,0.00256721
4.38690186,0.00054413
4.41074371,0.00021843
4.43458557,0.00009779
4.45842743,0.00014630
4.48226929,0.00015333
4.50611115,0.00014995
4.52995300,0.00036840
4.55379486,0.00040356
4.57763672,0.00040893
4.60147858,0.00033359
4.62532043,0.00057230
4.64916229,0.00144543
4.67300415,0.00132460
4.69684601,0.00033292
4.72068787,0.00030238
4.74452972,0.00036998
4.76837158,0.00041147
4.79221344,0.00039510
4.81605530,0.00029239
4.83989716,0.00034950
4.86373901,0.00024002
4.88758087,0.00033085
4.91142273,0.00036487
4.93526459,0.00036714
4.95910645,0.01017686
4.98294830,0.04021173
5.00679016,0.04975335
5.03063202,0.02101451
5.05447388,0.00134061
5.07831573,0.00043343
5.10215759,0.00036192
5.12599945,0.00027769
5.14984131,0.00024857
5.17368317,0.00020572
5.19752502,0.00017920
5.22136688,0.00015877
5.24520874,0.00020305
5.26905060,0.00040190
5.29289246,0.00147777
5.31673431,0.00362927
5.34057617,0.00469468
5.36441803,0.00266588
5.38825989,0.00053786
5.41210175,0.00030580
5.43594360,0.00026941
5.45978546,0.00024732
5.48362732,0.00016470
5.50746918,0.00014227
5.53131104,0.00031796
5.55515289,0.00031812
5.57899475,0.00034725
5.60283661,0.00052170
5.62667847,0.00124959
5.65052032,0.00357168
5.67436218,0.00323444
5.69820404,0.00130392
5.72204590,0.00035402
5.74588776,0.00023090
5.76972961,0.00018979
5.79357147,0.00026226
5.81741333,0.00024008
5.84125519,0.00018495
5.86509705,0.00025366
5.88893890,0.00029602
5.91278076,0.00038844
5.93662262,0.00033624
5.96046448,0.00175541
5.98430634,0.00732981
6.00814819,0.00856674
6.03199005,0.00311521
6.05583191,0.00018601
6.07967377,0.00038377
6.10351563,0.00032101
6.12735748,0.00038927
6.15119934,0.00024351
6.17504120,0.00023700
6.19888306,0.00027411
6.22272491,0.00019390
6.24656677,0.00016150
6.27040863,0.00027436
6.29425049,0.00121728
6.31809235,0.00313716
6.34193420,0.00417178
6.36577606,0.00218884
6.38961792,0.00040891
6.41345978,0.00048478
6.43730164,0.00028282
6.46114349,0.00022762
6.48498535,0.00014940
6.50882721,0.00003711
6.53266907,0.00006064
6.55651093,0.00025459
6.58035278,0.00045627
6.60419464,0.00042855
6.62803650,0.00202069
6.65187836,0.00490705
6.67572021,0.00444608
6.69956207,0.00199099
6.72340393,0.00043069
6.74724579,0.00032621
6.77108765,0.00015933
6.79492950,0.00022114
6.81877136,0.00019939
6.84261322,0.00030674
6.86645508,0.00032855
6.89029694,0.00039894
6.91413879,0.00041394
6.93798065,0.00070038
6.96182251,0.00642296
6.98566437,0.01984054
7.00950623,0.02168229
7.03334808,0.00827677
7.05718994,0.00065074
7.08103180,0.00028583
7.10487366,0.00029865
7.12871552,0.00028328
7.15255737,0.00043056
7.17639923,0.00028228
7.20024109,0.00037406
7.22408295,0.00033924
7.24792480,0.00019326
7.27176666,0.00027745
7.29560852,0.00065004
7.31945038,0.00168395
7.34329224,0.00237596
7.36713409,0.00123204
7.39097595,0.00031626
7.41481781,0.00029272
7.43865967,0.00038208
7.46250153,0.00036589
7.48634338,0.00014670
7.51018524,0.00019057
7.53402710,0.00018297
7.55786896,0.00007102
7.58171082,0.00024796
7.60555267,0.00038120
7.62939453,0.00205642
7.65323639,0.00484110
7.67707825,0.00438501
7.70092010,0.00209598
7.72476196,0.00058045
7.74860382,0.00028658
7.77244568,0.00015182
7.79628754,0.00020990
7.82012939,0.00010854
7.84397125,0.00017540
7.86781311,0.00029770
7.89165497,0.00027461
7.91549683,0.00049247
7.93933868,0.00120155
7.96318054,0.01256811
7.98702240,0.03717899
8.01086426,0.03824442
8.03470612,0.01321702
8.05854797,0.00065625
8.08238983,0.00007311
8.10623169,0.00013580
8.13007355,0.00031413
8.15391541,0.00011998
8.17775726,0.00026639
8.20159912,0.00037752
8.22544098,0.00014521
8.24928284,0.00035773
8.27312469,0.00032889
8.29696655,0.00037085
8.32080841,0.00045778
8.34465027,0.00031163
8.36849213,0.00027378
8.39233398,0.00029717
8.41617584,0.00030376
8.44001770,0.00025411
8.46385956,0.00029050
8.48770142,0.00024692
8.51154327,0.00018582
8.53538513,0.00027152
8.55922699,0.00031502
8.58306885,0.00024184
8.60691071,0.00036143
8.63075256,0.00188374
8.65459442,0.00379096
8.67843628,0.00347433
8.70227814,0.00173507
8.72612000,0.00046196
8.74996185,0.00045640
8.77380371,0.00033782
8.79764557,0.00023264
8.82148743,0.00020011
8.84532928,0.00012848
8.86917114,0.00012303
8.89301300,0.00021268
8.91685486,0.00033219
8.94069672,0.00136459
8.96453857,0.01545492
8.98838043,0.04337808
9.01222229,0.04209394
9.03606415,0.01321657
9.05990601,0.00009075
9.08374786,0.00026429
9.10758972,0.00009494
9.13143158,0.00007347
9.15527344,0.00017309
9.17911530,0.00026942
9.20295715,0.00015509
9.22679901,0.00049225
9.25064087,0.00039496
9.27448273,0.00045778
9.29832458,0.00145732
9.32216644,0.00226232
9.34600830,0.00190547
9.36985016,0.00094312
9.39369202,0.00029832
9.41753387,0.00027209
9.44137573,0.00037227
9.46521759,0.00026647
9.48905945,0.00021988
9.51290131,0.00033116
9.53674316,0.00031114
9.56058502,0.00024680
9.58442688,0.00026201
9.60826874,0.00025791
9.63211060,0.00078202
9.65595245,0.00151006
9.67979431,0.00175652
9.70363617,0.00104167
9.72747803,0.00051238
9.75131989,0.00036653
9.77516174,0.00029946
9.79900360,0.00026645
9.82284546,0.00027250
9.84668732,0.00026692
9.87052917,0.00021614
9.89437103,0.00021589
9.91821289,0.00022751
9.94205475,0.00144123
9.96589661,0.01483569
9.98973846,0.03875194
10.01358032,0.03524902
10.03742218,0.01000430
10.06126404,0.00018325
10.08510590,0.00035175
10.10894775,0.00029217
10.13278961,0.00023060
10.15663147,0.00010857
10.18047333,0.00007958
10.20431519,0.00017949
10.22815704,0.00032681
10.25199890,0.00040553
10.27584076,0.00068405
10.29968262,0.00213900
10.32352448,0.00362990
10.34736633,0.00334544
10.37120819,0.00128319
10.39505005,0.00024002
10.41889191,0.00019528
10.44273376,0.00013603
10.46657562,0.00016500
10.49041748,0.00022223
10.51425934,0.00020755
10.53810120,0.00033993
10.56194305,0.00042951
10.58578491,0.00026714
10.60962677,0.00039101
10.63346863,0.00063056
10.65731049,0.00112988
10.68115234,0.00054529
10.70499420,0.00019616
10.72883606,0.00035452
10.75267792,0.00031673
10.77651978,0.00036046
10.80036163,0.00026981
10.82420349,0.00025723
10.84804535,0.00035387
10.87188721,0.00030561
10.89572906,0.00017831
10.91957092,0.00021911
10.94341278,0.00098899
10.96725464,0.01035696
10.99109650,0.02581975
11.01493835,0.02213689
11.03878021,0.00559328
11.06262207,0.00034371
11.08646393,0.00050451
11.11030579,0.00036073
11.13414764,0.00032684
11.15798950,0.00025883
11.18183136,0.00011385
11.20567322,0.00015520
11.22951508,0.00026574
11.25335693,0.00042864
11.27719879,0.00062760
11.30104065,0.00242780
11.32488251,0.00428823
11.34872437,0.00415225
11.37256622,0.00163454
11.39640808,0.00033682
11.42024994,0.00023014
11.44409180,0.00022435
11.46793365,0.00021802
11.49177551,0.00012959
11.51561737,0.00021741
11.53945923,0.00028401
11.56330109,0.00038127
11.58714294,0.00051581
11.61098480,0.00054535
11.63482666,0.00185566
11.65866852,0.00361557
11.68251038,0.00245533
11.70635223,0.00075527
11.73019409,0.00018143
11.75403595,0.00010957
11.77787781,0.00022048
11.80171967,0.00016853
11.82556152,0.00021754
11.84940338,0.00026447
11.87324524,0.00039683
11.89708710,0.00036579
11.92092896,0.00034428
11.94477081,0.00028038
11.96861267,0.00355392
11.99245453,0.00872064
12.01629639,0.00697865
12.04013824,0.00136977
12.06398010,0.00040834
12.08782196,0.00036638
12.11166382,0.00036194
12.13550568,0.00013806
12.15934753,0.00016344
12.18318939,0.00014427
12.20703125,0.00021751
12.23087311,0.00024087
12.25471497,0.00030763
12.27855682,0.00052731
12.30239868,0.00204532
12.32624054,0.00385284
12.35008240,0.00376842
12.37392426,0.00136270
12.39776611,0.00033939
12.42160797,0.00031717
12.44544983,0.00020071
12.46929169,0.00017951
12.49313354,0.00009610
12.51697540,0.00008437
12.54081726,0.00021867
12.56465912,0.00016365
12.58850098,0.00032573
12.61234283,0.00058070
12.63618469,0.00312116
12.66002655,0.00517471
12.68386841,0.00343879
12.70771027,0.00123789
12.73155212,0.00033440
12.75539398,0.00012729
12.77923584,0.00016426
12.80307770,0.00022637
12.82691956,0.00031265
12.85076141,0.00032273
12.87460327,0.00032667
12.89844513,0.00037274
12.92228699,0.00042109
12.94612885,0.00089145
12.96997070,0.00432913
12.99381256,0.00854525
13.01765442,0.00659613
13.04149628,0.00175222
13.06533813,0.00021767
13.08917999,0.00028716
13.11302185,0.00029759
13.13686371,0.00024687
13.16070557,0.00027819
13.18454742,0.00021021
13.20838928,0.00024071
13.23223114,0.00027718
13.25607300,0.00022566
13.27991486,0.00035132
13.30375671,0.00116217
13.32759857,0.00252645
13.35144043,0.00252234
13.37528229,0.00091263
13.39912415,0.00042763
13.42296600,0.00030482
13.44680786,0.00038514
13.47064972,0.00024589
13.49449158,0.00016058
13.51833344,0.00021546
13.54217529,0.00020153
13.56601715,0.00018128
13.58985901,0.00034636
13.61370087,0.00061240
13.63754272,0.00354976
13.66138458,0.00561043
13.68522644,0.00380814
13.70906830,0.00132681
13.73291016,0.00043132
13.75675201,0.00023354
13.78059387,0.00023866
13.80443573,0.00015379
13.82827759,0.00007579
13.85211945,0.00024072
