Частота,Канал A
(kГц),(В)

0.00000000,0.22096410
0.02384186,0.09317670
0.04768372,0.01490615
0.07152557,0.00097119
0.09536743,0.00061154
0.11920929,0.00033032
0.14305115,0.00040952
0.16689301,0.00051296
0.19073486,0.00047154
0.21457672,0.00045424
0.23841858,0.00032397
0.26226044,0.00068975
0.28610229,0.00171984
0.30994415,0.00230351
0.33378601,0.00233692
0.35762787,0.00227772
0.38146973,0.00091618
0.40531158,0.00068527
0.42915344,0.00076286
0.45299530,0.00065485
0.47683716,0.00042651
0.50067902,0.00034791
0.52452087,0.00053590
0.54836273,0.00068964
0.57220459,0.00067184
0.59604645,0.00048579
0.61988831,0.00121497
0.64373016,0.00317427
0.66757202,0.00292242
0.69141388,0.00207806
0.71525574,0.00137551
0.73909760,0.00043794
0.76293945,0.00035438
0.78678131,0.00048088
0.81062317,0.00051463
0.83446503,0.00044097
0.85830688,0.00027550
0.88214874,0.00047063
0.90599060,0.00069977
0.92983246,0.00086304
0.95367432,0.01530094
0.97751617,0.08681747
1.00135803,0.13718590
1.02519989,0.07719108
1.04904175,0.01136544
1.07288361,0.00087252
1.09672546,0.00045341
1.12056732,0.00032286
1.14440918,0.00050100
1.16825104,0.00058787
1.19209290,0.00062891
1.21593475,0.00057414
1.23977661,0.00062152
1.26361847,0.00103186
1.28746033,0.00180398
1.31130219,0.00217640
1.33514404,0.00135176
1.35898590,0.00100311
1.38282776,0.00080912
1.40666962,0.00086826
1.43051147,0.00070274
1.45435333,0.00041491
1.47819519,0.00021960
1.50203705,0.00036370
1.52587891,0.00055773
1.54972076,0.00058220
1.57356262,0.00055115
1.59740448,0.00056360
1.62124634,0.00187864
1.64508820,0.00413486
1.66893005,0.00346056
1.69277191,0.00179499
1.71661377,0.00107858
1.74045563,0.00048124
1.76429749,0.00062560
1.78813934,0.00069719
1.81198120,0.00054682
1.83582306,0.00032112
1.85966492,0.00028417
1.88350677,0.00058521
1.90734863,0.00068282
1.93119049,0.00074259
1.95503235,0.01680007
1.97887421,0.08711063
2.00271606,0.12981340
2.02655792,0.06880114
2.05039978,0.00931153
2.07424164,0.00082123
2.09808350,0.00037257
2.12192535,0.00036054
2.14576721,0.00055198
2.16960907,0.00057213
2.19345093,0.00040347
2.21729279,0.00028883
2.24113464,0.00060747
2.26497650,0.00105665
2.28881836,0.00170548
2.31266022,0.00188239
2.33650208,0.00073816
2.36034393,0.00056975
2.38418579,0.00108965
2.40802765,0.00099990
2.43186951,0.00069191
2.45571136,0.00033347
2.47955322,0.00018145
2.50339508,0.00039212
2.52723694,0.00055139
2.55107880,0.00052318
2.57492065,0.00039760
2.59876251,0.00066293
2.62260437,0.00226156
2.64644623,0.00454028
2.67028809,0.00356493
2.69412994,0.00129231
2.71797180,0.00077836
2.74181366,0.00062560
2.76565552,0.00076498
2.78949738,0.00070277
2.81333923,0.00045072
2.83718109,0.00028293
2.86102295,0.00035739
2.88486481,0.00071320
2.90870667,0.00071294
2.93254852,0.00056549
2.95639038,0.01745010
2.98023224,0.08387590
3.00407410,0.11815810
3.02791595,0.05894838
3.05175781,0.00725762
3.07559967,0.00055949
3.09944153,0.00031704
3.12328339,0.00054014
3.14712524,0.00060343
3.17096710,0.00040013
3.19480896,0.00025824
3.21865082,0.00026662
3.24249268,0.00065680
3.26633453,0.00102369
3.29017639,0.00125162
3.31401825,0.00146228
3.33786011,0.00163339
3.36170197,0.00157904
3.38554382,0.00130736
3.40938568,0.00092843
3.43322754,0.00056008
3.45706940,0.00031557
3.48091125,0.00036501
3.50475311,0.00050214
3.52859497,0.00057954
3.55243683,0.00047954
3.57627869,0.00041566
3.60012054,0.00087777
3.62396240,0.00236368
3.64780426,0.00447494
3.67164612,0.00336644
3.69548798,0.00069485
3.71932983,0.00053281
3.74317169,0.00068912
3.76701355,0.00061985
3.79085541,0.00042527
3.81469727,0.00028147
3.83853912,0.00031262
3.86238098,0.00051511
3.88622284,0.00071193
3.91006470,0.00054983
3.93390656,0.00024250
3.95774841,0.01754575
3.98159027,0.07744697
4.00543213,0.10292820
4.02927399,0.04811996
4.05311584,0.00524060
4.07695770,0.00034378
4.10079956,0.00030170
4.12464142,0.00054569
4.14848328,0.00055271
4.17232513,0.00038461
4.19616699,0.00025696
4.22000885,0.00045607
4.24385071,0.00075374
4.26769257,0.00092856
4.29153442,0.00090864
4.31537628,0.00148120
4.33921814,0.00260134
4.36306000,0.00224761
4.38690186,0.00126055
4.41074371,0.00072640
4.43458557,0.00031037
4.45842743,0.00030302
4.48226929,0.00054792
4.50611115,0.00065837
4.52995300,0.00059486
4.55379486,0.00038210
4.57763672,0.00045864
4.60147858,0.00092641
4.62532043,0.00222511
4.64916229,0.00387621
4.67300415,0.00277341
4.69684601,0.00037157
4.72068787,0.00082951
4.74452972,0.00093172
4.76837158,0.00071585
4.79221344,0.00042914
4.81605530,0.00026493
4.83989716,0.00042734
4.86373901,0.00054673
4.88758087,0.00064777
4.91142273,0.00043333
4.93526459,0.00026348
4.95910645,0.01665434
4.98294830,0.06803118
5.00679016,0.08547147
5.03063202,0.03756415
5.05447388,0.00382551
5.07831573,0.00056625
5.10215759,0.00058256
5.12599945,0.00070816
5.14984131,0.00052292
5.17368317,0.00030530
5.19752502,0.00033145
5.22136688,0.00052444
5.24520874,0.00077955
5.26905060,0.00091517
5.29289246,0.00042896
5.31673431,0.00155729
5.34057617,0.00354394
5.36441803,0.00298822
5.38825989,0.00139491
5.41210175,0.00062982
5.43594360,0.00032648
5.45978546,0.00053176
5.48362732,0.00063873
5.50746918,0.00057582
5.53131104,0.00043808
5.55515289,0.00035254
5.57899475,0.00063220
5.60283661,0.00116726
5.62667847,0.00204708
5.65052032,0.00296685
5.67436218,0.00220512
5.69820404,0.00099528
5.72204590,0.00104419
5.74588776,0.00092294
5.76972961,0.00063165
5.79357147,0.00032021
5.81741333,0.00039148
5.84125519,0.00059914
5.86509705,0.00070846
5.88893890,0.00065102
5.91278076,0.00034993
5.93662262,0.00068245
5.96046448,0.01479390
5.98430634,0.05597756
6.00814819,0.06642476
6.03199005,0.02727583
6.05583191,0.00250129
6.07967377,0.00068142
6.10351563,0.00063339
6.12735748,0.00055796
6.15119934,0.00033538
6.17504120,0.00023938
6.19888306,0.00044027
6.22272491,0.00067193
6.24656677,0.00073361
6.27040863,0.00061991
6.29425049,0.00039430
6.31809235,0.00189596
6.34193420,0.00404429
6.36577606,0.00316118
6.38961792,0.00120753
6.41345978,0.00039649
6.43730164,0.00033519
6.46114349,0.00049741
6.48498535,0.00050080
6.50882721,0.00040130
6.53266907,0.00023401
6.55651093,0.00035892
6.58035278,0.00073267
6.60419464,0.00108579
6.62803650,0.00148717
6.65187836,0.00176933
6.67572021,0.00167570
6.69956207,0.00132781
6.72340393,0.00104203
6.74724579,0.00072080
6.77108765,0.00035049
6.79492950,0.00013023
6.81877136,0.00036872
6.84261322,0.00054206
6.86645508,0.00053451
6.89029694,0.00038422
6.91413879,0.00033701
6.93798065,0.00096334
6.96182251,0.01204356
6.98566437,0.04226259
7.00950623,0.04736868
7.03334808,0.01812659
7.05718994,0.00158280
7.08103180,0.00074733
7.10487366,0.00067394
7.12871552,0.00057797
7.15255737,0.00030806
7.17639923,0.00032148
7.20024109,0.00051207
7.22408295,0.00062201
7.24792480,0.00057692
7.27176666,0.00046080
7.29560852,0.00095426
7.31945038,0.00215581
7.34329224,0.00418149
7.36713409,0.00310534
7.39097595,0.00104253
7.41481781,0.00037591
7.43865967,0.00050881
7.46250153,0.00069524
7.48634338,0.00059395
7.51018524,0.00027158
7.53402710,0.00019933
7.55786896,0.00046156
7.58171082,0.00070522
7.60555267,0.00093645
7.62939453,0.00080754
7.65323639,0.00024933
7.67707825,0.00145677
7.70092010,0.00182268
7.72476196,0.00127781
7.74860382,0.00070492
7.77244568,0.00032641
7.79628754,0.00034710
7.82012939,0.00057654
7.84397125,0.00058284
7.86781311,0.00044679
7.89165497,0.00027082
7.91549683,0.00048360
7.93933868,0.00121576
7.96318054,0.00844559
7.98702240,0.02760623
8.01086426,0.02925523
8.03470612,0.01045670
8.05854797,0.00129331
8.08238983,0.00096349
8.10623169,0.00068880
8.13007355,0.00039904
8.15391541,0.00022882
8.17775726,0.00044696
8.20159912,0.00060857
8.22544098,0.00068803
8.24928284,0.00062136
8.27312469,0.00077046
8.29696655,0.00161684
8.32080841,0.00228984
8.34465027,0.00381922
8.36849213,0.00252310
8.39233398,0.00064367
8.41617584,0.00043214
8.44001770,0.00065125
8.46385956,0.00057652
8.48770142,0.00033932
8.51154327,0.00018721
8.53538513,0.00030726
8.55922699,0.00063536
8.58306885,0.00084815
8.60691071,0.00084144
8.63075256,0.00090837
8.65459442,0.00129263
8.67843628,0.00181028
8.70227814,0.00208096
8.72612000,0.00125992
8.74996185,0.00059966
8.77380371,0.00031239
8.79764557,0.00045588
8.82148743,0.00059205
8.84532928,0.00057769
8.86917114,0.00043958
8.89301300,0.00035765
8.91685486,0.00072845
8.94069672,0.00137394
8.96453857,0.00447646
8.98838043,0.01322583
9.01222229,0.01320689
9.03606415,0.00438019
9.05990601,0.00106727
9.08374786,0.00081416
9.10758972,0.00052044
9.13143158,0.00026236
9.15527344,0.00029680
9.17911530,0.00050004
9.20295715,0.00057004
9.22679901,0.00050985
9.25064087,0.00036422
9.27448273,0.00096871
9.29832458,0.00209209
9.32216644,0.00228577
9.34600830,0.00316757
9.36985016,0.00197341
9.39369202,0.00054339
9.41753387,0.00057008
9.44137573,0.00064234
9.46521759,0.00057401
9.48905945,0.00037344
9.51290131,0.00019245
9.53674316,0.00044873
9.56058502,0.00072302
9.58442688,0.00078993
9.60826874,0.00073732
9.63211060,0.00167328
9.65595245,0.00263874
9.67979431,0.00208044
9.70363617,0.00206600
9.72747803,0.00106087
9.75131989,0.00036243
9.77516174,0.00036977
9.79900360,0.00059217
9.82284546,0.00064609
9.84668732,0.00045500
9.87052917,0.00023009
9.89437103,0.00040491
9.91821289,0.00076167
9.94205475,0.00116847
9.96589661,0.00135050
9.98973846,0.00061260
10.01358032,0.00064371
10.03742218,0.00127577
10.06126404,0.00108636
10.08510590,0.00072736
10.10894775,0.00042124
10.13278961,0.00029373
10.15663147,0.00046728
10.18047333,0.00059317
10.20431519,0.00059523
10.22815704,0.00042105
10.25199890,0.00043521
10.27584076,0.00115266
10.29968262,0.00227601
10.32352448,0.00218608
10.34736633,0.00230910
10.37120819,0.00132155
10.39505005,0.00073909
10.41889191,0.00084167
10.44273376,0.00074532
10.46657562,0.00049285
10.49041748,0.00027148
10.51425934,0.00032026
10.53810120,0.00048683
10.56194305,0.00068143
10.58578491,0.00068052
10.60962677,0.00087087
10.63346863,0.00282762
10.65731049,0.00398614
10.68115234,0.00242802
10.70499420,0.00172113
10.72883606,0.00067043
10.75267792,0.00032622
10.77651978,0.00053287
10.80036163,0.00057768
10.82420349,0.00039828
10.84804535,0.00011791
10.87188721,0.00014592
10.89572906,0.00046728
10.91957092,0.00081196
10.94341278,0.00091998
10.96725464,0.00474080
10.99109650,0.01178869
11.01493835,0.01058012
11.03878021,0.00348914
11.06262207,0.00107954
11.08646393,0.00059333
11.11030579,0.00024698
11.13414764,0.00034771
11.15798950,0.00056024
11.18183136,0.00064970
11.20567322,0.00050853
11.22951508,0.00031569
11.25335693,0.00061530
11.27719879,0.00143232
11.30104065,0.00234358
11.32488251,0.00179769
11.34872437,0.00110693
11.37256622,0.00077712
11.39640808,0.00080804
11.42024994,0.00076186
11.44409180,0.00055518
11.46793365,0.00031750
11.49177551,0.00025241
11.51561737,0.00049379
11.53945923,0.00070996
11.56330109,0.00073198
11.58714294,0.00051614
11.61098480,0.00102846
11.63482666,0.00357230
11.65866852,0.00478641
11.68251038,0.00255018
11.70635223,0.00142558
11.73019409,0.00055352
11.75403595,0.00044481
11.77787781,0.00050064
11.80171967,0.00053023
11.82556152,0.00048321
11.84940338,0.00030628
11.87324524,0.00034713
11.89708710,0.00071782
11.92092896,0.00092803
11.94477081,0.00080559
11.96861267,0.00859011
11.99245453,0.02075631
12.01629639,0.01760089
12.04013824,0.00522401
12.06398010,0.00108562
12.08782196,0.00048403
12.11166382,0.00039510
12.13550568,0.00055834
12.15934753,0.00062836
12.18318939,0.00053621
12.20703125,0.00034833
12.23087311,0.00033900
12.25471497,0.00078953
12.27855682,0.00143005
12.30239868,0.00209537
12.32624054,0.00157364
12.35008240,0.00031983
12.37392426,0.00089004
12.39776611,0.00098725
12.42160797,0.00085863
12.44544983,0.00059130
12.46929169,0.00035192
12.49313354,0.00041471
12.51697540,0.00057279
12.54081726,0.00066153
12.56465912,0.00050851
12.58850098,0.00037746
12.61234283,0.00127736
12.63618469,0.00399622
12.66002655,0.00495539
12.68386841,0.00220431
12.70771027,0.00087082
12.73155212,0.00052555
12.75539398,0.00062920
12.77923584,0.00062932
12.80307770,0.00057397
12.82691956,0.00039558
12.85076141,0.00040074
12.87460327,0.00056361
12.89844513,0.00077828
12.92228699,0.00081231
12.94612885,0.00068943
12.96997070,0.01157228
12.99381256,0.02666099
13.01765442,0.02142757
13.04149628,0.00575310
13.06533813,0.00072216
13.08917999,0.00028694
13.11302185,0.00043667
13.13686371,0.00058327
13.16070557,0.00049990
13.18454742,0.00029613
13.20838928,0.00018103
13.23223114,0.00050923
13.25607300,0.00093851
13.27991486,0.00128484
13.30375671,0.00158704
13.32759857,0.00157118
13.35144043,0.00140529
13.37528229,0.00135243
13.39912415,0.00111227
13.42296600,0.00071550
13.44680786,0.00032727
13.47064972,0.00029202
13.49449158,0.00043186
13.51833344,0.00054791
13.54217529,0.00054838
13.56601715,0.00035205
13.58985901,0.00053233
13.61370087,0.00162187
13.63754272,0.00419605
13.66138458,0.00484342
13.68522644,0.00192416
13.70906830,0.00047832
13.73291016,0.00078719
13.75675201,0.00085406
13.78059387,0.00064553
13.80443573,0.00041205
13.82827759,0.00019900
13.85211945,0.00033113
