Частота,Канал A
(kГц),(В)

0.00000000,0.41771690
0.02384186,0.17572840
0.04768372,0.02811071
0.07152557,0.00066621
0.09536743,0.00052276
0.11920929,0.00053750
0.14305115,0.00039356
0.16689301,0.00037161
0.19073486,0.00047868
0.21457672,0.00043673
0.23841858,0.00045638
0.26226044,0.00083671
0.28610229,0.00080586
0.30994415,0.00116193
0.33378601,0.00391755
0.35762787,0.00384026
0.38146973,0.00149389
0.40531158,0.00054238
0.42915344,0.00055338
0.45299530,0.00044045
0.47683716,0.00038713
0.50067902,0.00046445
0.52452087,0.00042489
0.54836273,0.00031239
0.57220459,0.00060389
0.59604645,0.00073206
0.61988831,0.00152166
0.64373016,0.00379076
0.66757202,0.00363478
0.69141388,0.00126756
0.71525574,0.00081269
0.73909760,0.00077384
0.76293945,0.00059033
0.78678131,0.00041029
0.81062317,0.00044360
0.83446503,0.00045677
0.85830688,0.00028527
0.88214874,0.00052746
0.90599060,0.00050211
0.92983246,0.00048287
0.95367432,0.02871379
0.97751617,0.16427170
1.00135803,0.26004990
1.02519989,0.14564280
1.04904175,0.02132507
1.07288361,0.00073619
1.09672546,0.00037482
1.12056732,0.00045012
1.14440918,0.00046261
1.16825104,0.00033990
1.19209290,0.00050338
1.21593475,0.00060426
1.23977661,0.00052907
1.26361847,0.00087932
1.28746033,0.00131210
1.31130219,0.00185485
1.33514404,0.00282572
1.35898590,0.00257366
1.38282776,0.00138818
1.40666962,0.00064963
1.43051147,0.00055402
1.45435333,0.00054366
1.47819519,0.00030200
1.50203705,0.00033393
1.52587891,0.00040467
1.54972076,0.00034667
1.57356262,0.00057524
1.59740448,0.00082023
1.62124634,0.00120227
1.64508820,0.00219969
1.66893005,0.00226424
1.69277191,0.00200425
1.71661377,0.00114959
1.74045563,0.00062763
1.76429749,0.00058323
1.78813934,0.00032218
1.81198120,0.00027919
1.83582306,0.00044700
1.85966492,0.00033689
1.88350677,0.00052486
1.90734863,0.00050894
1.93119049,0.00055758
1.95503235,0.02677731
1.97887421,0.14053240
2.00271606,0.20953200
2.02655792,0.11041290
2.05039978,0.01481561
2.07424164,0.00081648
2.09808350,0.00044247
2.12192535,0.00053599
2.14576721,0.00054640
2.16960907,0.00048839
2.19345093,0.00040573
2.21729279,0.00051627
2.24113464,0.00053982
2.26497650,0.00069709
2.28881836,0.00161932
2.31266022,0.00226365
2.33650208,0.00109610
2.36034393,0.00066924
2.38418579,0.00112805
2.40802765,0.00068322
2.43186951,0.00044102
2.45571136,0.00051778
2.47955322,0.00037202
2.50339508,0.00028997
2.52723694,0.00038954
2.55107880,0.00044846
2.57492065,0.00043505
2.59876251,0.00084233
2.62260437,0.00122965
2.64644623,0.00054410
2.67028809,0.00146074
2.69412994,0.00222221
2.71797180,0.00128134
2.74181366,0.00058828
2.76565552,0.00056370
2.78949738,0.00045285
2.81333923,0.00029784
2.83718109,0.00042000
2.86102295,0.00041958
2.88486481,0.00041677
2.90870667,0.00048944
2.93254852,0.00065604
2.95639038,0.02053689
2.98023224,0.09877489
3.00407410,0.13878180
3.02791595,0.06883153
3.05175781,0.00849642
3.07559967,0.00076956
3.09944153,0.00055158
3.12328339,0.00046446
3.14712524,0.00035912
3.17096710,0.00044704
3.19480896,0.00029050
3.21865082,0.00049563
3.24249268,0.00073123
3.26633453,0.00076908
3.29017639,0.00153851
3.31401825,0.00215971
3.33786011,0.00225331
3.36170197,0.00181784
3.38554382,0.00106107
3.40938568,0.00077282
3.43322754,0.00049837
3.45706940,0.00042784
3.48091125,0.00045818
3.50475311,0.00028036
3.52859497,0.00032466
3.55243683,0.00048574
3.57627869,0.00046204
3.60012054,0.00076119
3.62396240,0.00173406
3.64780426,0.00291343
3.67164612,0.00262325
3.69548798,0.00154492
3.71932983,0.00105350
3.74317169,0.00059149
3.76701355,0.00041782
3.79085541,0.00053580
3.81469727,0.00039756
3.83853912,0.00039529
3.86238098,0.00051331
3.88622284,0.00044046
3.91006470,0.00045953
3.93390656,0.00074920
3.95774841,0.01098885
3.98159027,0.04819671
4.00543213,0.06377912
4.02927399,0.02980839
4.05311584,0.00347500
4.07695770,0.00059939
4.10079956,0.00062356
4.12464142,0.00048914
4.14848328,0.00033180
4.17232513,0.00047129
4.19616699,0.00040177
4.22000885,0.00041449
4.24385071,0.00060658
4.26769257,0.00077581
4.29153442,0.00083917
4.31537628,0.00178078
4.33921814,0.00385922
4.36306000,0.00303784
4.38690186,0.00106435
4.41074371,0.00073743
4.43458557,0.00054528
4.45842743,0.00029970
4.48226929,0.00039256
4.50611115,0.00030470
4.52995300,0.00027158
4.55379486,0.00043541
4.57763672,0.00062213
4.60147858,0.00075764
4.62532043,0.00229444
4.64916229,0.00454559
4.67300415,0.00348247
4.69684601,0.00054922
4.72068787,0.00095555
4.74452972,0.00076095
4.76837158,0.00043379
4.79221344,0.00048824
4.81605530,0.00046022
4.83989716,0.00035565
4.86373901,0.00043458
4.88758087,0.00056431
4.91142273,0.00051886
4.93526459,0.00087073
4.95910645,0.00150750
4.98294830,0.00111274
5.00679016,0.00057420
5.03063202,0.00147725
5.05447388,0.00114046
5.07831573,0.00052595
5.10215759,0.00047119
5.12599945,0.00044107
5.14984131,0.00032273
5.17368317,0.00033975
5.19752502,0.00046500
5.22136688,0.00040762
5.24520874,0.00051855
5.26905060,0.00091866
5.29289246,0.00057578
5.31673431,0.00191158
5.34057617,0.00414354
5.36441803,0.00305138
5.38825989,0.00099861
5.41210175,0.00054772
5.43594360,0.00054020
5.45978546,0.00039831
5.48362732,0.00036331
5.50746918,0.00045305
5.53131104,0.00038349
5.55515289,0.00034189
5.57899475,0.00064343
5.60283661,0.00076157
5.62667847,0.00220409
5.65052032,0.00436497
5.67436218,0.00315199
5.69820404,0.00095011
5.72204590,0.00084035
5.74588776,0.00072456
5.76972961,0.00052922
5.79357147,0.00039310
5.81741333,0.00047553
5.84125519,0.00045569
5.86509705,0.00036809
5.88893890,0.00063727
5.91278076,0.00057355
5.93662262,0.00069633
5.96046448,0.00909181
5.98430634,0.03442819
6.00814819,0.04069208
6.03199005,0.01661888
6.05583191,0.00192361
6.07967377,0.00067876
6.10351563,0.00035296
6.12735748,0.00041941
6.15119934,0.00030552
6.17504120,0.00020590
6.19888306,0.00043834
6.22272491,0.00051111
6.24656677,0.00051880
6.27040863,0.00094500
6.29425049,0.00142917
6.31809235,0.00216225
6.34193420,0.00281435
6.36577606,0.00211546
6.38961792,0.00108353
6.41345978,0.00054451
6.43730164,0.00057053
6.46114349,0.00047707
6.48498535,0.00025764
6.50882721,0.00035786
6.53266907,0.00039464
6.55651093,0.00037202
6.58035278,0.00062661
6.60419464,0.00092933
6.62803650,0.00155048
6.65187836,0.00256583
6.67572021,0.00226033
6.69956207,0.00183621
6.72340393,0.00092383
6.74724579,0.00070969
6.77108765,0.00059377
6.79492950,0.00034584
6.81877136,0.00042012
6.84261322,0.00050245
6.86645508,0.00037211
6.89029694,0.00057503
6.91413879,0.00062927
6.93798065,0.00028770
6.96182251,0.01425714
6.98566437,0.04992640
7.00950623,0.05562795
7.03334808,0.02135494
7.05718994,0.00205702
7.08103180,0.00073827
7.10487366,0.00027599
7.12871552,0.00039834
7.15255737,0.00037752
7.17639923,0.00038233
7.20024109,0.00040572
7.22408295,0.00055852
7.24792480,0.00053860
7.27176666,0.00085825
7.29560852,0.00197699
7.31945038,0.00218176
7.34329224,0.00063505
7.36713409,0.00098069
7.39097595,0.00106462
7.41481781,0.00059056
7.43865967,0.00048844
7.46250153,0.00048150
7.48634338,0.00032278
7.51018524,0.00029665
7.53402710,0.00042631
7.55786896,0.00045541
7.58171082,0.00054534
7.60555267,0.00102117
7.62939453,0.00110324
7.65323639,0.00045588
7.67707825,0.00191164
7.70092010,0.00206219
7.72476196,0.00102770
7.74860382,0.00059726
7.77244568,0.00056948
7.79628754,0.00044412
7.82012939,0.00033661
7.84397125,0.00045885
7.86781311,0.00045200
7.89165497,0.00049184
7.91549683,0.00066247
7.93933868,0.00043816
7.96318054,0.01404535
7.98702240,0.04542097
8.01086426,0.04777627
8.03470612,0.01726723
8.05854797,0.00159832
8.08238983,0.00073469
8.10623169,0.00044521
8.13007355,0.00040171
8.15391541,0.00040434
8.17775726,0.00043315
8.20159912,0.00027981
8.22544098,0.00052938
8.24928284,0.00065846
8.27312469,0.00086209
8.29696655,0.00187552
8.32080841,0.00221077
8.34465027,0.00218655
8.36849213,0.00142711
8.39233398,0.00091810
8.41617584,0.00071906
8.44001770,0.00047386
8.46385956,0.00050329
8.48770142,0.00049094
8.51154327,0.00030377
8.53538513,0.00042561
8.55922699,0.00054128
8.58306885,0.00050855
8.60691071,0.00098717
8.63075256,0.00215556
8.65459442,0.00316757
8.67843628,0.00236283
8.70227814,0.00144753
8.72612000,0.00101462
8.74996185,0.00050833
8.77380371,0.00045204
8.79764557,0.00050166
8.82148743,0.00029278
8.84532928,0.00039405
8.86917114,0.00051853
8.89301300,0.00044287
8.91685486,0.00058909
8.94069672,0.00087578
8.96453857,0.00876947
8.98838043,0.02593258
9.01222229,0.02580083
9.03606415,0.00893923
9.05990601,0.00105659
9.08374786,0.00058982
9.10758972,0.00056418
9.13143158,0.00035017
9.15527344,0.00034374
9.17911530,0.00051771
9.20295715,0.00047424
9.22679901,0.00059064
9.25064087,0.00076946
9.27448273,0.00088674
9.29832458,0.00092609
9.32216644,0.00233576
9.34600830,0.00376444
9.36985016,0.00226233
9.39369202,0.00084802
9.41753387,0.00074486
9.44137573,0.00045763
9.46521759,0.00035660
9.48905945,0.00045716
9.51290131,0.00035353
9.53674316,0.00038134
9.56058502,0.00055101
9.58442688,0.00060150
9.60826874,0.00094354
9.63211060,0.00311498
9.65595245,0.00489252
9.67979431,0.00276212
9.70363617,0.00038530
9.72747803,0.00082423
9.75131989,0.00050608
9.77516174,0.00036997
9.79900360,0.00050745
9.82284546,0.00045997
9.84668732,0.00037651
9.87052917,0.00046799
9.89437103,0.00055595
9.91821289,0.00051625
9.94205475,0.00106196
9.96589661,0.00154886
9.98973846,0.00078224
10.01358032,0.00092520
10.03742218,0.00148514
10.06126404,0.00092204
10.08510590,0.00049666
10.10894775,0.00054132
10.13278961,0.00046480
10.15663147,0.00037124
10.18047333,0.00047431
10.20431519,0.00053268
10.22815704,0.00042471
10.25199890,0.00068518
10.27584076,0.00099616
10.29968262,0.00035424
10.32352448,0.00250380
10.34736633,0.00393544
10.37120819,0.00226956
10.39505005,0.00072820
10.41889191,0.00055693
10.44273376,0.00048493
10.46657562,0.00034175
10.49041748,0.00038599
10.51425934,0.00048188
10.53810120,0.00037406
10.56194305,0.00051323
10.58578491,0.00076127
10.60962677,0.00101087
10.63346863,0.00312133
10.65731049,0.00464157
10.68115234,0.00244850
10.70499420,0.00075630
10.72883606,0.00076776
10.75267792,0.00063471
10.77651978,0.00039343
10.80036163,0.00030726
10.82420349,0.00038875
10.84804535,0.00030037
10.87188721,0.00036218
10.89572906,0.00066355
10.91957092,0.00058404
10.94341278,0.00098765
10.96725464,0.00834052
10.99109650,0.02177257
11.01493835,0.01927642
11.03878021,0.00570835
11.06262207,0.00099184
11.08646393,0.00053940
11.11030579,0.00035702
11.13414764,0.00049434
11.15798950,0.00038270
11.18183136,0.00039868
11.20567322,0.00060278
11.22951508,0.00054346
11.25335693,0.00063384
11.27719879,0.00109491
11.30104065,0.00158160
11.32488251,0.00234389
11.34872437,0.00266338
11.37256622,0.00168080
11.39640808,0.00077225
11.42024994,0.00044600
11.44409180,0.00056071
11.46793365,0.00042351
11.49177551,0.00030629
11.51561737,0.00043317
11.53945923,0.00037731
11.56330109,0.00036808
11.58714294,0.00065125
11.61098480,0.00097049
11.63482666,0.00196764
11.65866852,0.00273442
11.68251038,0.00207445
11.70635223,0.00141093
11.73019409,0.00062393
11.75403595,0.00060558
11.77787781,0.00043103
11.80171967,0.00028402
11.82556152,0.00042746
11.84940338,0.00043873
11.87324524,0.00036927
11.89708710,0.00058958
11.92092896,0.00069157
11.94477081,0.00058039
11.96861267,0.01353772
11.99245453,0.03327575
12.01629639,0.02784694
12.04013824,0.00773455
12.06398010,0.00102511
12.08782196,0.00069121
12.11166382,0.00031973
12.13550568,0.00044185
12.15934753,0.00038177
12.18318939,0.00030821
12.20703125,0.00041160
12.23087311,0.00054693
12.25471497,0.00051784
12.27855682,0.00113422
12.30239868,0.00229168
12.32624054,0.00193034
12.35008240,0.00037519
12.37392426,0.00104161
12.39776611,0.00087103
12.42160797,0.00045293
12.44544983,0.00046740
12.46929169,0.00039935
12.49313354,0.00025339
12.51697540,0.00032324
12.54081726,0.00050168
12.56465912,0.00044905
12.58850098,0.00061574
12.61234283,0.00113550
12.63618469,0.00095710
12.66002655,0.00080630
12.68386841,0.00208324
12.70771027,0.00170986
12.73155212,0.00074973
12.75539398,0.00058050
12.77923584,0.00055319
12.80307770,0.00039593
12.82691956,0.00035125
12.85076141,0.00045373
12.87460327,0.00035443
12.89844513,0.00043902
12.92228699,0.00078132
12.94612885,0.00076444
12.96997070,0.01380660
12.99381256,0.03145568
13.01765442,0.02482892
13.04149628,0.00641041
13.06533813,0.00070991
13.08917999,0.00060171
13.11302185,0.00041082
13.13686371,0.00040941
13.16070557,0.00047037
13.18454742,0.00039423
13.20838928,0.00030717
13.23223114,0.00056939
13.25607300,0.00057875
13.27991486,0.00099659
13.30375671,0.00202423
13.32759857,0.00205312
13.35144043,0.00190508
13.37528229,0.00117805
13.39912415,0.00084328
13.42296600,0.00061280
13.44680786,0.00040943
13.47064972,0.00047997
13.49449158,0.00041968
13.51833344,0.00028150
13.54217529,0.00045740
13.56601715,0.00042892
13.58985901,0.00047627
13.61370087,0.00125568
13.63754272,0.00274967
13.66138458,0.00335558
13.68522644,0.00208871
13.70906830,0.00125917
13.73291016,0.00087181
13.75675201,0.00051480
13.78059387,0.00054015
13.80443573,0.00047301
13.82827759,0.00030339
13.85211945,0.00047245
