Частота,Канал A
(kГц),(В)

0.00000000,0.41907590
0.02384186,0.17713560
0.04768372,0.02926093
0.07152557,0.00034080
0.09536743,0.00055923
0.11920929,0.00022545
0.14305115,0.00033113
0.16689301,0.00033906
0.19073486,0.00021929
0.21457672,0.00041872
0.23841858,0.00020349
0.26226044,0.00073469
0.28610229,0.00082760
0.30994415,0.00132485
0.33378601,0.00369626
0.35762787,0.00341493
0.38146973,0.00078900
0.40531158,0.00065564
0.42915344,0.00028363
0.45299530,0.00040522
0.47683716,0.00031438
0.50067902,0.00020620
0.52452087,0.00038741
0.54836273,0.00016443
0.57220459,0.00046871
0.59604645,0.00049219
0.61988831,0.00136275
0.64373016,0.00404219
0.66757202,0.00440304
0.69141388,0.00244636
0.71525574,0.00123560
0.73909760,0.00041283
0.76293945,0.00054937
0.78678131,0.00045981
0.81062317,0.00024529
0.83446503,0.00045778
0.85830688,0.00018767
0.88214874,0.00049587
0.90599060,0.00046547
0.92983246,0.00052750
0.95367432,0.03018829
0.97751617,0.16571440
1.00135803,0.26097040
1.02519989,0.14661520
1.04904175,0.02159855
1.07288361,0.00062787
1.09672546,0.00053530
1.12056732,0.00024233
1.14440918,0.00049397
1.16825104,0.00019162
1.19209290,0.00044315
1.21593475,0.00046597
1.23977661,0.00023574
1.26361847,0.00065033
1.28746033,0.00035573
1.31130219,0.00048790
1.33514404,0.00178498
1.35898590,0.00168993
1.38282776,0.00065622
1.40666962,0.00056710
1.43051147,0.00023778
1.45435333,0.00050563
1.47819519,0.00022139
1.50203705,0.00032999
1.52587891,0.00033435
1.54972076,0.00024120
1.57356262,0.00054994
1.59740448,0.00026361
1.62124634,0.00143086
1.64508820,0.00290637
1.66893005,0.00350110
1.69277191,0.00273105
1.71661377,0.00117784
1.74045563,0.00036856
1.76429749,0.00053497
1.78813934,0.00014411
1.81198120,0.00042666
1.83582306,0.00040335
1.85966492,0.00021298
1.88350677,0.00046204
1.90734863,0.00038034
1.93119049,0.00085105
1.95503235,0.02802822
1.97887421,0.14126160
2.00271606,0.20978740
2.02655792,0.11042910
2.05039978,0.01417935
2.07424164,0.00064140
2.09808350,0.00029691
2.12192535,0.00034761
2.14576721,0.00037075
2.16960907,0.00021962
2.19345093,0.00040100
2.21729279,0.00022616
2.24113464,0.00053673
2.26497650,0.00048682
2.28881836,0.00121319
2.31266022,0.00212415
2.33650208,0.00115266
2.36034393,0.00076825
2.38418579,0.00097842
2.40802765,0.00033087
2.43186951,0.00052146
2.45571136,0.00036063
2.47955322,0.00024527
2.50339508,0.00037431
2.52723694,0.00015616
2.55107880,0.00047129
2.57492065,0.00038565
2.59876251,0.00058771
2.62260437,0.00103724
2.64644623,0.00066572
2.67028809,0.00151902
2.69412994,0.00203146
2.71797180,0.00080164
2.74181366,0.00060235
2.76565552,0.00045665
2.78949738,0.00023956
2.81333923,0.00036836
2.83718109,0.00023306
2.86102295,0.00040760
2.88486481,0.00033810
2.90870667,0.00039814
2.93254852,0.00076803
2.95639038,0.02098597
2.98023224,0.09866522
3.00407410,0.13842130
3.02791595,0.06797985
3.05175781,0.00732428
3.07559967,0.00047747
3.09944153,0.00034305
3.12328339,0.00045017
3.14712524,0.00012284
3.17096710,0.00040116
3.19480896,0.00028895
3.21865082,0.00027324
3.24249268,0.00050913
3.26633453,0.00037938
3.29017639,0.00168659
3.31401825,0.00306180
3.33786011,0.00343669
3.36170197,0.00255272
3.38554382,0.00106610
3.40938568,0.00035920
3.43322754,0.00052975
3.45706940,0.00022373
3.48091125,0.00044038
3.50475311,0.00034731
3.52859497,0.00025082
3.55243683,0.00047166
3.57627869,0.00025850
3.60012054,0.00068164
3.62396240,0.00053910
3.64780426,0.00209617
3.67164612,0.00138709
3.69548798,0.00051870
3.71932983,0.00046978
3.74317169,0.00070006
3.76701355,0.00025228
3.79085541,0.00048633
3.81469727,0.00036890
3.83853912,0.00027542
3.86238098,0.00044988
3.88622284,0.00018757
3.91006470,0.00058204
3.93390656,0.00046213
3.95774841,0.01034941
3.98159027,0.04729228
4.00543213,0.06288441
4.02927399,0.02832055
4.05311584,0.00213939
4.07695770,0.00028407
4.10079956,0.00053261
4.12464142,0.00036445
4.14848328,0.00022646
4.17232513,0.00039810
4.19616699,0.00020208
4.22000885,0.00046197
4.24385071,0.00037807
4.26769257,0.00058153
4.29153442,0.00149391
4.31537628,0.00312303
4.33921814,0.00460478
4.36306000,0.00319823
4.38690186,0.00067931
4.41074371,0.00060904
4.43458557,0.00035634
4.45842743,0.00031675
4.48226929,0.00042868
4.50611115,0.00015597
4.52995300,0.00044201
4.55379486,0.00034740
4.57763672,0.00041754
4.60147858,0.00065929
4.62532043,0.00152831
4.64916229,0.00424032
4.67300415,0.00337425
4.69684601,0.00095855
4.72068787,0.00086421
4.74452972,0.00055542
4.76837158,0.00033950
4.79221344,0.00046360
4.81605530,0.00020867
4.83989716,0.00049287
4.86373901,0.00035376
4.88758087,0.00035494
4.91142273,0.00055251
4.93526459,0.00044932
4.95910645,0.00134321
4.98294830,0.00109667
5.00679016,0.00074770
5.03063202,0.00127627
5.05447388,0.00073417
5.07831573,0.00034949
5.10215759,0.00047030
5.12599945,0.00020180
5.14984131,0.00040938
5.17368317,0.00024639
5.19752502,0.00027092
5.22136688,0.00045281
5.24520874,0.00026268
5.26905060,0.00076471
5.29289246,0.00070841
5.31673431,0.00187064
5.34057617,0.00379195
5.36441803,0.00245162
5.38825989,0.00055510
5.41210175,0.00067111
5.43594360,0.00022435
5.45978546,0.00044358
5.48362732,0.00030023
5.50746918,0.00035573
5.53131104,0.00041537
5.55515289,0.00031203
5.57899475,0.00066065
5.60283661,0.00046786
5.62667847,0.00230784
5.65052032,0.00476658
5.67436218,0.00411404
5.69820404,0.00200517
5.72204590,0.00101419
5.74588776,0.00027416
5.76972961,0.00051424
5.79357147,0.00027453
5.81741333,0.00034561
5.84125519,0.00044201
5.86509705,0.00020849
5.88893890,0.00053097
5.91278076,0.00034217
5.93662262,0.00105701
5.96046448,0.01075091
5.98430634,0.03567320
6.00814819,0.04151519
6.03199005,0.01740117
6.05583191,0.00154531
6.07967377,0.00065138
6.10351563,0.00042091
6.12735748,0.00031571
6.15119934,0.00037562
6.17504120,0.00023845
6.19888306,0.00050388
6.22272491,0.00032737
6.24656677,0.00046587
6.27040863,0.00061924
6.29425049,0.00053165
6.31809235,0.00061081
6.34193420,0.00189367
6.36577606,0.00110359
6.38961792,0.00083802
6.41345978,0.00048907
6.43730164,0.00041606
6.46114349,0.00046025
6.48498535,0.00025415
6.50882721,0.00050009
6.53266907,0.00028514
6.55651093,0.00035180
6.58035278,0.00048686
6.60419464,0.00052196
6.62803650,0.00204914
6.65187836,0.00341708
6.67572021,0.00347265
6.69956207,0.00228882
6.72340393,0.00072207
6.74724579,0.00051831
6.77108765,0.00059455
6.79492950,0.00024613
6.81877136,0.00043995
6.84261322,0.00027282
6.86645508,0.00033822
6.89029694,0.00048509
6.91413879,0.00032565
6.93798065,0.00122672
6.96182251,0.01543316
6.98566437,0.05054779
7.00950623,0.05584529
7.03334808,0.02120963
7.05718994,0.00131267
7.08103180,0.00063302
7.10487366,0.00023202
7.12871552,0.00048455
7.15255737,0.00026100
7.17639923,0.00029540
7.20024109,0.00036046
7.22408295,0.00024939
7.24792480,0.00056685
7.27176666,0.00035657
7.29560852,0.00164278
7.31945038,0.00200573
7.34329224,0.00086777
7.36713409,0.00097696
7.39097595,0.00091292
7.41481781,0.00019217
7.43865967,0.00052764
7.46250153,0.00027398
7.48634338,0.00037809
7.51018524,0.00039442
7.53402710,0.00024192
7.55786896,0.00056393
7.58171082,0.00037567
7.60555267,0.00084161
7.62939453,0.00104690
7.65323639,0.00075871
7.67707825,0.00167817
7.70092010,0.00160521
7.72476196,0.00033425
7.74860382,0.00062446
7.77244568,0.00029882
7.79628754,0.00028840
7.82012939,0.00033916
7.84397125,0.00027150
7.86781311,0.00048126
7.89165497,0.00024813
7.91549683,0.00059769
7.93933868,0.00110861
7.96318054,0.01426226
7.98702240,0.04518644
8.01086426,0.04721969
8.03470612,0.01618491
8.05854797,0.00065882
8.08238983,0.00029279
8.10623169,0.00040590
8.13007355,0.00039090
8.15391541,0.00027763
8.17775726,0.00049008
8.20159912,0.00019618
8.22544098,0.00048112
8.24928284,0.00052685
8.27312469,0.00069580
8.29696655,0.00222978
8.32080841,0.00329976
8.34465027,0.00313997
8.36849213,0.00201906
8.39233398,0.00064452
8.41617584,0.00055466
8.44001770,0.00048564
8.46385956,0.00021008
8.48770142,0.00040544
8.51154327,0.00021409
8.53538513,0.00038084
8.55922699,0.00040256
8.58306885,0.00033566
8.60691071,0.00083925
8.63075256,0.00100209
8.65459442,0.00239306
8.67843628,0.00100722
8.70227814,0.00058056
8.72612000,0.00054104
8.74996185,0.00050720
8.77380371,0.00022682
8.79764557,0.00040537
8.82148743,0.00011679
8.84532928,0.00032691
8.86917114,0.00036325
8.89301300,0.00025559
8.91685486,0.00062193
8.94069672,0.00028651
8.96453857,0.00780679
8.98838043,0.02496898
9.01222229,0.02465123
9.03606415,0.00726414
9.05990601,0.00052996
9.08374786,0.00024166
9.10758972,0.00052322
9.13143158,0.00022655
9.15527344,0.00033171
9.17911530,0.00030153
9.20295715,0.00030187
9.22679901,0.00056083
9.25064087,0.00028084
9.27448273,0.00089729
9.29832458,0.00187020
9.32216644,0.00351632
9.34600830,0.00432294
9.36985016,0.00239303
9.39369202,0.00043080
9.41753387,0.00062374
9.44137573,0.00027558
9.46521759,0.00038217
9.48905945,0.00042304
9.51290131,0.00024429
9.53674316,0.00047778
9.56058502,0.00023977
9.58442688,0.00058406
9.60826874,0.00054702
9.63211060,0.00253837
9.65595245,0.00468775
9.67979431,0.00275405
9.70363617,0.00077963
9.72747803,0.00079526
9.75131989,0.00030783
9.77516174,0.00041541
9.79900360,0.00037232
9.82284546,0.00021087
9.84668732,0.00035618
9.87052917,0.00014773
9.89437103,0.00042156
9.91821289,0.00045483
9.94205475,0.00060376
9.96589661,0.00135831
9.98973846,0.00089459
10.01358032,0.00100725
10.03742218,0.00137902
10.06126404,0.00055511
10.08510590,0.00048737
10.10894775,0.00036980
10.13278961,0.00022278
10.15663147,0.00044075
10.18047333,0.00020311
10.20431519,0.00033727
10.22815704,0.00036235
10.25199890,0.00044010
10.27584076,0.00089144
10.29968262,0.00076476
10.32352448,0.00247468
10.34736633,0.00367808
10.37120819,0.00162145
10.39505005,0.00054112
10.41889191,0.00048597
10.44273376,0.00021526
10.46657562,0.00039421
10.49041748,0.00013441
10.51425934,0.00041124
10.53810120,0.00037167
10.56194305,0.00037537
10.58578491,0.00071363
10.60962677,0.00066992
10.63346863,0.00331461
10.65731049,0.00525696
10.68115234,0.00369237
10.70499420,0.00167735
10.72883606,0.00070019
10.75267792,0.00028260
10.77651978,0.00048917
10.80036163,0.00013091
10.82420349,0.00040763
10.84804535,0.00039427
10.87188721,0.00031561
10.89572906,0.00057324
10.91957092,0.00027334
10.94341278,0.00159754
10.96725464,0.00990574
10.99109650,0.02282930
11.01493835,0.02007495
11.03878021,0.00620903
11.06262207,0.00035395
11.08646393,0.00052012
11.11030579,0.00026379
11.13414764,0.00040706
11.15798950,0.00037236
11.18183136,0.00026727
11.20567322,0.00045434
11.22951508,0.00026538
11.25335693,0.00069466
11.27719879,0.00056166
11.30104065,0.00072497
11.32488251,0.00091572
11.34872437,0.00182904
11.37256622,0.00059564
11.39640808,0.00082955
11.42024994,0.00033739
11.44409180,0.00044731
11.46793365,0.00034070
11.49177551,0.00027666
11.51561737,0.00045947
11.53945923,0.00022993
11.56330109,0.00048621
11.58714294,0.00038852
11.61098480,0.00091303
11.63482666,0.00263961
11.65866852,0.00374587
11.68251038,0.00328981
11.70635223,0.00185992
11.73019409,0.00049595
11.75403595,0.00040877
11.77787781,0.00034873
11.80171967,0.00026077
11.82556152,0.00035903
11.84940338,0.00008381
11.87324524,0.00035194
11.89708710,0.00028027
11.92092896,0.00055704
11.94477081,0.00193089
11.96861267,0.01449541
11.99245453,0.03365065
12.01629639,0.02796248
12.04013824,0.00739224
12.06398010,0.00064789
12.08782196,0.00049152
12.11166382,0.00031366
12.13550568,0.00038513
12.15934753,0.00013126
12.18318939,0.00043483
12.20703125,0.00032564
12.23087311,0.00042597
12.25471497,0.00064504
12.27855682,0.00059499
12.30239868,0.00203258
12.32624054,0.00178478
12.35008240,0.00069074
12.37392426,0.00096892
12.39776611,0.00065458
12.42160797,0.00028542
12.44544983,0.00041844
12.46929169,0.00014753
12.49313354,0.00040082
12.51697540,0.00030432
12.54081726,0.00027504
12.56465912,0.00045072
12.58850098,0.00024703
12.61234283,0.00099137
12.63618469,0.00091665
12.66002655,0.00095416
12.68386841,0.00192976
12.70771027,0.00131433
12.73155212,0.00036119
12.75539398,0.00060725
12.77923584,0.00028209
12.80307770,0.00048725
12.82691956,0.00034019
12.85076141,0.00030309
12.87460327,0.00048663
12.89844513,0.00023691
12.92228699,0.00066790
12.94612885,0.00161463
12.96997070,0.01392688
12.99381256,0.03124420
13.01765442,0.02415455
13.04149628,0.00523690
13.06533813,0.00081534
13.08917999,0.00027131
13.11302185,0.00046385
13.13686371,0.00031383
13.16070557,0.00035415
13.18454742,0.00044407
13.20838928,0.00014768
13.23223114,0.00045131
13.25607300,0.00032916
13.27991486,0.00100532
13.30375671,0.00257346
13.32759857,0.00337049
13.35144043,0.00289136
13.37528229,0.00160902
13.39912415,0.00036170
13.42296600,0.00050823
13.44680786,0.00036303
13.47064972,0.00029079
13.49449158,0.00041602
13.51833344,0.00012791
13.54217529,0.00045643
13.56601715,0.00035496
13.58985901,0.00056704
13.61370087,0.00069660
13.63754272,0.00165310
13.66138458,0.00235448
13.68522644,0.00056934
13.70906830,0.00039700
13.73291016,0.00065208
13.75675201,0.00037831
13.78059387,0.00030832
13.80443573,0.00034186
13.82827759,0.00016649
13.85211945,0.00045741
