Частота,Канал A
(kГц),(В)

0.00000000,0.41782140
0.02384186,0.17568120
0.04768372,0.02707997
0.07152557,0.00160493
0.09536743,0.00088922
0.11920929,0.00037102
0.14305115,0.00035937
0.16689301,0.00006091
0.19073486,0.00071511
0.21457672,0.00083071
0.23841858,0.00060924
0.26226044,0.00108134
0.28610229,0.00126962
0.30994415,0.00215539
0.33378601,0.00496225
0.35762787,0.00480841
0.38146973,0.00202811
0.40531158,0.00130176
0.42915344,0.00102752
0.45299530,0.00011084
0.47683716,0.00027871
0.50067902,0.00022271
0.52452087,0.00050915
0.54836273,0.00099535
0.57220459,0.00072503
0.59604645,0.00029161
0.61988831,0.00025313
0.64373016,0.00068442
0.66757202,0.00287111
0.69141388,0.00437558
0.71525574,0.00245821
0.73909760,0.00066346
0.76293945,0.00045164
0.78678131,0.00010262
0.81062317,0.00056220
0.83446503,0.00071602
0.85830688,0.00047617
0.88214874,0.00066611
0.90599060,0.00071926
0.92983246,0.00023264
0.95367432,0.00141973
0.97751617,0.00129264
1.00135803,0.00066288
1.02519989,0.00270176
1.04904175,0.00240612
1.07288361,0.00063248
1.09672546,0.00017975
1.12056732,0.00019882
1.14440918,0.00047330
1.16825104,0.00090447
1.19209290,0.00064185
1.21593475,0.00017573
1.23977661,0.00014162
1.26361847,0.00038049
1.28746033,0.00267023
1.31130219,0.00429032
1.33514404,0.00224099
1.35898590,0.00048568
1.38282776,0.00117723
1.40666962,0.00042939
1.43051147,0.00056670
1.45435333,0.00077394
1.47819519,0.00049304
1.50203705,0.00067874
1.52587891,0.00071911
1.54972076,0.00009878
1.57356262,0.00056172
1.59740448,0.00077230
1.62124634,0.00321568
1.64508820,0.00811620
1.66893005,0.00748534
1.69277191,0.00234228
1.71661377,0.00032230
1.74045563,0.00028770
1.76429749,0.00063898
1.78813934,0.00111727
1.81198120,0.00084734
1.83582306,0.00027778
1.85966492,0.00031144
1.88350677,0.00005542
1.90734863,0.00074595
1.93119049,0.00135831
1.95503235,0.03276261
1.97887421,0.17368650
2.00271606,0.25895440
2.02655792,0.13615760
2.05039978,0.01685652
2.07424164,0.00107179
2.09808350,0.00078088
2.12192535,0.00064291
2.14576721,0.00084651
2.16960907,0.00018865
2.19345093,0.00033529
2.21729279,0.00048119
2.24113464,0.00080956
2.26497650,0.00178090
2.28881836,0.00161892
2.31266022,0.00053271
2.33650208,0.00014906
2.36034393,0.00018582
2.38418579,0.00062289
2.40802765,0.00134456
2.43186951,0.00104405
2.45571136,0.00040609
2.47955322,0.00035261
2.50339508,0.00017023
2.52723694,0.00053096
2.55107880,0.00099557
2.57492065,0.00081544
2.59876251,0.00117056
2.62260437,0.00162111
2.64644623,0.00132356
2.67028809,0.00214807
2.69412994,0.00277333
2.71797180,0.00155327
2.74181366,0.00103462
2.76565552,0.00111668
2.78949738,0.00040978
2.81333923,0.00023079
2.83718109,0.00029665
2.86102295,0.00046088
2.88486481,0.00108085
2.90870667,0.00108629
2.93254852,0.00045691
2.95639038,0.00023136
2.98023224,0.00029802
3.00407410,0.00130334
3.02791595,0.00283851
3.05175781,0.00229118
3.07559967,0.00086127
3.09944153,0.00058644
3.12328339,0.00037646
3.14712524,0.00030310
3.17096710,0.00073912
3.19480896,0.00056702
3.21865082,0.00066236
3.24249268,0.00096135
3.26633453,0.00019736
3.29017639,0.00166320
3.31401825,0.00253781
3.33786011,0.00092298
3.36170197,0.00144707
3.38554382,0.00208515
3.40938568,0.00089915
3.43322754,0.00009548
3.45706940,0.00022882
3.48091125,0.00033154
3.50475311,0.00087026
3.52859497,0.00092636
3.55243683,0.00043736
3.57627869,0.00028067
3.60012054,0.00001725
3.62396240,0.00346389
3.64780426,0.00847151
3.67164612,0.00697406
3.69548798,0.00140002
3.71932983,0.00087816
3.74317169,0.00067741
3.76701355,0.00024437
3.79085541,0.00073416
3.81469727,0.00058572
3.83853912,0.00048406
3.86238098,0.00085424
3.88622284,0.00024961
3.91006470,0.00025947
3.93390656,0.00030031
3.95774841,0.03534048
3.98159027,0.15517330
4.00543213,0.20558690
4.02927399,0.09541132
4.05311584,0.00968430
4.07695770,0.00011400
4.10079956,0.00044946
4.12464142,0.00069438
4.14848328,0.00087185
4.17232513,0.00023758
4.19616699,0.00018742
4.22000885,0.00011484
4.24385071,0.00061492
4.26769257,0.00170738
4.29153442,0.00127363
4.31537628,0.00171621
4.33921814,0.00475259
4.36306000,0.00355829
4.38690186,0.00031597
4.41074371,0.00102824
4.43458557,0.00074050
4.45842743,0.00059511
4.48226929,0.00082834
4.50611115,0.00051441
4.52995300,0.00018283
4.55379486,0.00048334
4.57763672,0.00064218
4.60147858,0.00168353
4.62532043,0.00226764
4.64916229,0.00115437
4.67300415,0.00033760
4.69684601,0.00027711
4.72068787,0.00042894
4.74452972,0.00104465
4.76837158,0.00114441
4.79221344,0.00053980
4.81605530,0.00030376
4.83989716,0.00019959
4.86373901,0.00033381
4.88758087,0.00097075
4.91142273,0.00092278
4.93526459,0.00108580
4.95910645,0.00195087
4.98294830,0.00167427
5.00679016,0.00134780
5.03063202,0.00192001
5.05447388,0.00141924
5.07831573,0.00083457
5.10215759,0.00101996
5.12599945,0.00060644
5.14984131,0.00012049
5.17368317,0.00034750
5.19752502,0.00039380
5.22136688,0.00095341
5.24520874,0.00131325
5.26905060,0.00073284
5.29289246,0.00029861
5.31673431,0.00024950
5.34057617,0.00066107
5.36441803,0.00193590
5.38825989,0.00219975
5.41210175,0.00103297
5.43594360,0.00052683
5.45978546,0.00043838
5.48362732,0.00011357
5.50746918,0.00073979
5.53131104,0.00071091
5.55515289,0.00061106
5.57899475,0.00093951
5.60283661,0.00048921
5.62667847,0.00237297
5.65052032,0.00534650
5.67436218,0.00384222
5.69820404,0.00003219
5.72204590,0.00164123
5.74588776,0.00108541
5.76972961,0.00009309
5.79357147,0.00018781
5.81741333,0.00026887
5.84125519,0.00062719
5.86509705,0.00104424
5.88893890,0.00040341
5.91278076,0.00034368
5.93662262,0.00090325
5.96046448,0.03050622
5.98430634,0.11268840
6.00814819,0.13290460
6.03199005,0.05436717
6.05583191,0.00494260
6.07967377,0.00083086
6.10351563,0.00016476
6.12735748,0.00066460
6.15119934,0.00080203
6.17504120,0.00053564
6.19888306,0.00087043
6.22272491,0.00066531
6.24656677,0.00018272
6.27040863,0.00089308
6.29425049,0.00014877
6.31809235,0.00396957
6.34193420,0.00793659
6.36577606,0.00536927
6.38961792,0.00096869
6.41345978,0.00017505
6.43730164,0.00019983
6.46114349,0.00063824
6.48498535,0.00096490
6.50882721,0.00056805
6.53266907,0.00022113
6.55651093,0.00020610
6.58035278,0.00034557
6.60419464,0.00168188
6.62803650,0.00203803
6.65187836,0.00022328
6.67572021,0.00199858
6.69956207,0.00222778
6.72340393,0.00055319
6.74724579,0.00080033
6.77108765,0.00085224
6.79492950,0.00053990
6.81877136,0.00070922
6.84261322,0.00058455
6.86645508,0.00008150
6.89029694,0.00054620
6.91413879,0.00064501
6.93798065,0.00169563
6.96182251,0.00308845
6.98566437,0.00214406
7.00950623,0.00050506
7.03334808,0.00017646
7.05718994,0.00024168
7.08103180,0.00070786
7.10487366,0.00109286
7.12871552,0.00062644
7.15255737,0.00027042
7.17639923,0.00031293
7.20024109,0.00003464
7.22408295,0.00084854
7.24792480,0.00115129
7.27176666,0.00121647
7.29560852,0.00249500
7.31945038,0.00277814
7.34329224,0.00152035
7.36713409,0.00142489
7.39097595,0.00140830
7.41481781,0.00082121
7.43865967,0.00087817
7.46250153,0.00071361
7.48634338,0.00006507
7.51018524,0.00035518
7.53402710,0.00037865
7.55786896,0.00075483
7.58171082,0.00135757
7.60555267,0.00097569
7.62939453,0.00027919
7.65323639,0.00018288
7.67707825,0.00031157
7.70092010,0.00115170
7.72476196,0.00180153
7.74860382,0.00108936
7.77244568,0.00044373
7.79628754,0.00046733
7.82012939,0.00007394
7.84397125,0.00060213
7.86781311,0.00094254
7.89165497,0.00063180
7.91549683,0.00109151
7.93933868,0.00186501
7.96318054,0.01816470
7.98702240,0.05625190
8.01086426,0.05908132
8.03470612,0.02151860
8.05854797,0.00258467
8.08238983,0.00133904
8.10623169,0.00021351
8.13007355,0.00023784
8.15391541,0.00034746
8.17775726,0.00055414
8.20159912,0.00106599
8.22544098,0.00083419
8.24928284,0.00039667
8.27312469,0.00032317
8.29696655,0.00098596
8.32080841,0.00481485
8.34465027,0.00807964
8.36849213,0.00495979
8.39233398,0.00127537
8.41617584,0.00069719
8.44001770,0.00024391
8.46385956,0.00052464
8.48770142,0.00075120
8.51154327,0.00047902
8.53538513,0.00060196
8.55922699,0.00070474
8.58306885,0.00005967
8.60691071,0.00105924
8.63075256,0.00108676
8.65459442,0.00084025
8.67843628,0.00362871
8.70227814,0.00355596
8.72612000,0.00107500
8.74996185,0.00019285
8.77380371,0.00027634
8.79764557,0.00050788
8.82148743,0.00095020
8.84532928,0.00073903
8.86917114,0.00026088
8.89301300,0.00022034
8.91685486,0.00008371
8.94069672,0.00164505
8.96453857,0.00297472
8.98838043,0.00166038
9.01222229,0.00072192
9.03606415,0.00160757
9.05990601,0.00076007
9.08374786,0.00046952
9.10758972,0.00082276
9.13143158,0.00049589
9.15527344,0.00054780
9.17911530,0.00066992
9.20295715,0.00019071
9.22679901,0.00049892
9.25064087,0.00060524
9.27448273,0.00149135
9.29832458,0.00398993
9.32216644,0.00403825
9.34600830,0.00142708
9.36985016,0.00022449
9.39369202,0.00016025
9.41753387,0.00045904
9.44137573,0.00104531
9.46521759,0.00083625
9.48905945,0.00027064
9.51290131,0.00016132
9.53674316,0.00002018
9.56058502,0.00072462
9.58442688,0.00130461
9.60826874,0.00145708
9.63211060,0.00391236
9.65595245,0.00614038
9.67979431,0.00373471
9.70363617,0.00143912
9.72747803,0.00131675
9.75131989,0.00089415
9.77516174,0.00082522
9.79900360,0.00089551
9.82284546,0.00034244
9.84668732,0.00023827
9.87052917,0.00032906
9.89437103,0.00053328
9.91821289,0.00138310
9.94205475,0.00148867
9.96589661,0.00063059
9.98973846,0.00027532
10.01358032,0.00030230
10.03742218,0.00077840
10.06126404,0.00158038
10.08510590,0.00128248
10.10894775,0.00046033
10.13278961,0.00030940
10.15663147,0.00017228
10.18047333,0.00045267
10.20431519,0.00097810
10.22815704,0.00077298
10.25199890,0.00084024
10.27584076,0.00122755
10.29968262,0.00136228
10.32352448,0.00342352
10.34736633,0.00501309
10.37120819,0.00287100
10.39505005,0.00122956
10.41889191,0.00119102
10.44273376,0.00049063
10.46657562,0.00023375
10.49041748,0.00037066
10.51425934,0.00046766
10.53810120,0.00097603
10.56194305,0.00102092
10.58578491,0.00041288
10.60962677,0.00021170
10.63346863,0.00034240
10.65731049,0.00165833
10.68115234,0.00395031
10.70499420,0.00346967
10.72883606,0.00122855
10.75267792,0.00056754
10.77651978,0.00038135
10.80036163,0.00029932
10.82420349,0.00081358
10.84804535,0.00066244
10.87188721,0.00061027
10.89572906,0.00083758
10.91957092,0.00030462
10.94341278,0.00101255
10.96725464,0.00170308
10.99109650,0.00049183
11.01493835,0.00189736
11.03878021,0.00276807
11.06262207,0.00130463
11.08646393,0.00004993
11.11030579,0.00024908
11.13414764,0.00034792
11.15798950,0.00082341
11.18183136,0.00089558
11.20567322,0.00037408
11.22951508,0.00015428
11.25335693,0.00006107
11.27719879,0.00152850
11.30104065,0.00415554
11.32488251,0.00368225
11.34872437,0.00056392
11.37256622,0.00114106
11.39640808,0.00091247
11.42024994,0.00009422
11.44409180,0.00077420
11.46793365,0.00067772
11.49177551,0.00061760
11.51561737,0.00081353
11.53945923,0.00047318
11.56330109,0.00029513
11.58714294,0.00067445
11.61098480,0.00174622
11.63482666,0.00678167
11.65866852,0.00972486
11.68251038,0.00497418
11.70635223,0.00073433
11.73019409,0.00023616
11.75403595,0.00036647
11.77787781,0.00090419
11.80171967,0.00098739
11.82556152,0.00046066
11.84940338,0.00021265
11.87324524,0.00023020
11.89708710,0.00044812
11.92092896,0.00131041
11.94477081,0.00011191
11.96861267,0.01664563
11.99245453,0.04109398
12.01629639,0.03427308
12.04013824,0.00864840
12.06398010,0.00077154
12.08782196,0.00074493
12.11166382,0.00060662
12.13550568,0.00077640
12.15934753,0.00051617
12.18318939,0.00017752
12.20703125,0.00043358
12.23087311,0.00054997
12.25471497,0.00139159
12.27855682,0.00195384
12.30239868,0.00101507
12.32624054,0.00028762
12.35008240,0.00028427
12.37392426,0.00044605
12.39776611,0.00111023
12.42160797,0.00127372
12.44544983,0.00054763
12.46929169,0.00024073
12.49313354,0.00025619
12.51697540,0.00018780
12.54081726,0.00090235
12.56465912,0.00097175
12.58850098,0.00094732
12.61234283,0.00157569
12.63618469,0.00146106
12.66002655,0.00156194
12.68386841,0.00263858
12.70771027,0.00210412
12.73155212,0.00104294
12.75539398,0.00113218
12.77923584,0.00079440
12.80307770,0.00005602
12.82691956,0.00023625
12.85076141,0.00027521
12.87460327,0.00078545
12.89844513,0.00120360
12.92228699,0.00072207
12.94612885,0.00031081
12.96997070,0.00029088
12.99381256,0.00069593
13.01765442,0.00218720
13.04149628,0.00268220
13.06533813,0.00124786
13.08917999,0.00042710
13.11302185,0.00035443
13.13686371,0.00012028
13.16070557,0.00068972
13.18454742,0.00067946
13.20838928,0.00050483
13.23223114,0.00084400
13.25607300,0.00071031
13.27991486,0.00083279
13.30375671,0.00252111
13.32759857,0.00190045
13.35144043,0.00054750
13.37528229,0.00206404
13.39912415,0.00146136
13.42296600,0.00025187
13.44680786,0.00021717
13.47064972,0.00023487
13.49449158,0.00061555
13.51833344,0.00100354
13.54217529,0.00068981
13.56601715,0.00033161
13.58985901,0.00030021
13.61370087,0.00160441
13.63754272,0.00746634
13.66138458,0.00965104
13.68522644,0.00411361
13.70906830,0.00032973
13.73291016,0.00078280
13.75675201,0.00011152
13.78059387,0.00063211
13.80443573,0.00056476
13.82827759,0.00032400
13.85211945,0.00053190
