Частота,A * B
(kГц),(?)

0.00000000,0.02620846
0.02384186,0.01101558
0.04768372,0.00168975
0.07152557,0.00012111
0.09536743,0.00010091
0.11920929,0.00012668
0.14305115,0.00014755
0.16689301,0.00010072
0.19073486,0.00005995
0.21457672,0.00004676
0.23841858,0.00006696
0.26226044,0.00007734
0.28610229,0.00005627
0.30994415,0.00027232
0.33378601,0.00077217
0.35762787,0.00072954
0.38146973,0.00021587
0.40531158,0.00004121
0.42915344,0.00006772
0.45299530,0.00008411
0.47683716,0.00005050
0.50067902,0.00006160
0.52452087,0.00001138
0.54836273,0.00007015
0.57220459,0.00005788
0.59604645,0.00009446
0.61988831,0.00020337
0.64373016,0.00055031
0.66757202,0.00053796
0.69141388,0.00019226
0.71525574,0.00008868
0.73909760,0.00008698
0.76293945,0.00005509
0.78678131,0.00001145
0.81062317,0.00001707
0.83446503,0.00001533
0.85830688,0.00005775
0.88214874,0.00004167
0.90599060,0.00007594
0.92983246,0.00006287
0.95367432,0.00193434
0.97751617,0.01109380
1.00135803,0.01751419
1.02519989,0.00976093
1.04904175,0.00135281
1.07288361,0.00005088
1.09672546,0.00002287
1.12056732,0.00005327
1.14440918,0.00008677
1.16825104,0.00006093
1.19209290,0.00005464
1.21593475,0.00006848
1.23977661,0.00007759
1.26361847,0.00006495
1.28746033,0.00002575
1.31130219,0.00036303
1.33514404,0.00094755
1.35898590,0.00081457
1.38282776,0.00021719
1.40666962,0.00007902
1.43051147,0.00007178
1.45435333,0.00009125
1.47819519,0.00007522
1.50203705,0.00004417
1.52587891,0.00001755
1.54972076,0.00007281
1.57356262,0.00004051
1.59740448,0.00004808
1.62124634,0.00012905
1.64508820,0.00028693
1.66893005,0.00024200
1.69277191,0.00012169
1.71661377,0.00008071
1.74045563,0.00007491
1.76429749,0.00004754
1.78813934,0.00003490
1.81198120,0.00001600
1.83582306,0.00010922
1.85966492,0.00016342
1.88350677,0.00015135
1.90734863,0.00012984
1.93119049,0.00014387
1.95503235,0.00187025
1.97887421,0.01003229
2.00271606,0.01493858
2.02655792,0.00782306
2.05039978,0.00096196
2.07424164,0.00005241
2.09808350,0.00007679
2.12192535,0.00014153
2.14576721,0.00012464
2.16960907,0.00008525
2.19345093,0.00006299
2.21729279,0.00004003
2.24113464,0.00003780
2.26497650,0.00005803
2.28881836,0.00015593
2.31266022,0.00050586
2.33650208,0.00107696
2.36034393,0.00086703
2.38418579,0.00022711
2.40802765,0.00008483
2.43186951,0.00016083
2.45571136,0.00014657
2.47955322,0.00007778
2.50339508,0.00006004
2.52723694,0.00002525
2.55107880,0.00001354
2.57492065,0.00004842
2.59876251,0.00011962
2.62260437,0.00015204
2.64644623,0.00011366
2.67028809,0.00016037
2.69412994,0.00016471
2.71797180,0.00008479
2.74181366,0.00009065
2.76565552,0.00012533
2.78949738,0.00006867
2.81333923,0.00001980
2.83718109,0.00005028
2.86102295,0.00009895
2.88486481,0.00008639
2.90870667,0.00007760
2.93254852,0.00011170
2.95639038,0.00158421
2.98023224,0.00781323
3.00407410,0.01098940
3.02791595,0.00539434
3.05175781,0.00058252
3.07559967,0.00004042
3.09944153,0.00001756
3.12328339,0.00008176
3.14712524,0.00008346
