Частота,A * B
(kГц),(?)

0.00000000,0.00546847
0.02384186,0.00238413
0.04768372,0.00052068
0.07152557,0.00009207
0.09536743,0.00008015
0.11920929,0.00020835
0.14305115,0.00024401
0.16689301,0.00020309
0.19073486,0.00024167
0.21457672,0.00032049
0.23841858,0.00036840
0.26226044,0.00036325
0.28610229,0.00031878
0.30994415,0.00029738
0.33378601,0.00022138
0.35762787,0.00006592
0.38146973,0.00011497
0.40531158,0.00007556
0.42915344,0.00006335
0.45299530,0.00014558
0.47683716,0.00008696
0.50067902,0.00007617
0.52452087,0.00008307
0.54836273,0.00003318
0.57220459,0.00010452
0.59604645,0.00014428
0.61988831,0.00018447
0.64373016,0.00017716
0.66757202,0.00017652
0.69141388,0.00010427
0.71525574,0.00013546
0.73909760,0.00014113
0.76293945,0.00014945
0.78678131,0.00017408
0.81062317,0.00014975
0.83446503,0.00012679
0.85830688,0.00007258
0.88214874,0.00004128
0.90599060,0.00012760
0.92983246,0.00013982
0.95367432,0.00014721
0.97751617,0.00047696
1.00135803,0.00069185
1.02519989,0.00038024
1.04904175,0.00011656
1.07288361,0.00009272
1.09672546,0.00009380
1.12056732,0.00010868
1.14440918,0.00012378
1.16825104,0.00013294
1.19209290,0.00023005
1.21593475,0.00056208
1.23977661,0.00061183
1.26361847,0.00036544
1.28746033,0.00023597
1.31130219,0.00031181
1.33514404,0.00037682
1.35898590,0.00032753
1.38282776,0.00023168
1.40666962,0.00007907
1.43051147,0.00015138
1.45435333,0.00022995
1.47819519,0.00008859
1.50203705,0.00011048
1.52587891,0.00018356
1.54972076,0.00020057
1.57356262,0.00013439
1.59740448,0.00006706
1.62124634,0.00006914
1.64508820,0.00010509
1.66893005,0.00011570
1.69277191,0.00008042
1.71661377,0.00006623
1.74045563,0.00008330
1.76429749,0.00006411
1.78813934,0.00015401
1.81198120,0.00014034
1.83582306,0.00017381
1.85966492,0.00028242
1.88350677,0.00028087
1.90734863,0.00018310
1.93119049,0.00005074
1.95503235,0.00012344
1.97887421,0.00019220
2.00271606,0.00020791
2.02655792,0.00014901
2.05039978,0.00009574
2.07424164,0.00015396
2.09808350,0.00006886
2.12192535,0.00014797
2.14576721,0.00023893
2.16960907,0.00019567
2.19345093,0.00019988
2.21729279,0.00026428
2.24113464,0.00025703
2.26497650,0.00022527
2.28881836,0.00025279
2.31266022,0.00036445
2.33650208,0.00049284
2.36034393,0.00038104
2.38418579,0.00019632
2.40802765,0.00014768
2.43186951,0.00010244
2.45571136,0.00003480
2.47955322,0.00008059
2.50339508,0.00013582
2.52723694,0.00014702
2.55107880,0.00006642
2.57492065,0.00008279
2.59876251,0.00004688
2.62260437,0.00003588
2.64644623,0.00006716
2.67028809,0.00009866
2.69412994,0.00012261
2.71797180,0.00022042
2.74181366,0.00024281
2.76565552,0.00010987
2.78949738,0.00005044
2.81333923,0.00007232
2.83718109,0.00014807
2.86102295,0.00024661
2.88486481,0.00021058
2.90870667,0.00014451
2.93254852,0.00017521
2.95639038,0.00015847
2.98023224,0.00003428
3.00407410,0.00002948
3.02791595,0.00004816
3.05175781,0.00007947
3.07559967,0.00012620
3.09944153,0.00020051
3.12328339,0.00017473
3.14712524,0.00001552
