Частота,A * B
(kГц),(?)

0.00000000,0.00424913
0.02384186,0.00192147
0.04768372,0.00071197
0.07152557,0.00052015
0.09536743,0.00035900
0.11920929,0.00027131
0.14305115,0.00024002
0.16689301,0.00024125
0.19073486,0.00026449
0.21457672,0.00027952
0.23841858,0.00028551
0.26226044,0.00027688
0.28610229,0.00013216
0.30994415,0.00004316
0.33378601,0.00004667
0.35762787,0.00013395
0.38146973,0.00011303
0.40531158,0.00009338
0.42915344,0.00007794
0.45299530,0.00010575
0.47683716,0.00015497
0.50067902,0.00002950
0.52452087,0.00012846
0.54836273,0.00017331
0.57220459,0.00018300
0.59604645,0.00010330
0.61988831,0.00009650
0.64373016,0.00014311
0.66757202,0.00020213
0.69141388,0.00023589
0.71525574,0.00009076
0.73909760,0.00014503
0.76293945,0.00023990
0.78678131,0.00032874
0.81062317,0.00025306
0.83446503,0.00022009
0.85830688,0.00020899
0.88214874,0.00016359
0.90599060,0.00015760
0.92983246,0.00024034
0.95367432,0.00033335
0.97751617,0.00070586
1.00135803,0.00100154
1.02519989,0.00053632
1.04904175,0.00008446
1.07288361,0.00009596
1.09672546,0.00006460
1.12056732,0.00005362
1.14440918,0.00013800
1.16825104,0.00013980
1.19209290,0.00037172
1.21593475,0.00066703
1.23977661,0.00056843
1.26361847,0.00030418
1.28746033,0.00034055
1.31130219,0.00037080
1.33514404,0.00028178
1.35898590,0.00009406
1.38282776,0.00004717
1.40666962,0.00002319
1.43051147,0.00002419
1.45435333,0.00003542
1.47819519,0.00011568
1.50203705,0.00009834
1.52587891,0.00010012
1.54972076,0.00021013
1.57356262,0.00019160
1.59740448,0.00023487
1.62124634,0.00029212
1.64508820,0.00030177
1.66893005,0.00030166
1.69277191,0.00023735
1.71661377,0.00012272
1.74045563,0.00009527
1.76429749,0.00004563
1.78813934,0.00004400
1.81198120,0.00020979
1.83582306,0.00033837
1.85966492,0.00016221
1.88350677,0.00004830
1.90734863,0.00012777
1.93119049,0.00016552
1.95503235,0.00004502
1.97887421,0.00017254
2.00271606,0.00013216
2.02655792,0.00009025
2.05039978,0.00015858
2.07424164,0.00028022
2.09808350,0.00025704
2.12192535,0.00011129
2.14576721,0.00019195
2.16960907,0.00015240
2.19345093,0.00019534
2.21729279,0.00028918
2.24113464,0.00023918
2.26497650,0.00012658
2.28881836,0.00022860
2.31266022,0.00034671
2.33650208,0.00040373
2.36034393,0.00021989
2.38418579,0.00002310
2.40802765,0.00013338
2.43186951,0.00015800
2.45571136,0.00008950
2.47955322,0.00001624
2.50339508,0.00006153
2.52723694,0.00010546
2.55107880,0.00009075
2.57492065,0.00010267
2.59876251,0.00019061
2.62260437,0.00010720
2.64644623,0.00011601
2.67028809,0.00025977
2.69412994,0.00026156
2.71797180,0.00015903
2.74181366,0.00018043
2.76565552,0.00028839
2.78949738,0.00013720
2.81333923,0.00015027
2.83718109,0.00020715
2.86102295,0.00013803
2.88486481,0.00022115
2.90870667,0.00031327
2.93254852,0.00023325
2.95639038,0.00002766
2.98023224,0.00018860
3.00407410,0.00029749
3.02791595,0.00019697
3.05175781,0.00007765
3.07559967,0.00027943
3.09944153,0.00019490
3.12328339,0.00003898
3.14712524,0.00002542
