Частота,A * B
(kГц),(?)

0.00000000,0.00367427
0.02384186,0.00156529
0.04768372,0.00034058
0.07152557,0.00024382
0.09536743,0.00028671
0.11920929,0.00029042
0.14305115,0.00024205
0.16689301,0.00020949
0.19073486,0.00016885
0.21457672,0.00035091
0.23841858,0.00047754
0.26226044,0.00033613
0.28610229,0.00018500
0.30994415,0.00012153
0.33378601,0.00010643
0.35762787,0.00009585
0.38146973,0.00011201
0.40531158,0.00006839
0.42915344,0.00006425
0.45299530,0.00006255
0.47683716,0.00012836
0.50067902,0.00020803
0.52452087,0.00021346
0.54836273,0.00015627
0.57220459,0.00003621
0.59604645,0.00010308
0.61988831,0.00016846
0.64373016,0.00021857
0.66757202,0.00020775
0.69141388,0.00009503
0.71525574,0.00007556
0.73909760,0.00021107
0.76293945,0.00031120
0.78678131,0.00025698
0.81062317,0.00007645
0.83446503,0.00013633
0.85830688,0.00008293
0.88214874,0.00008204
0.90599060,0.00010230
0.92983246,0.00007342
0.95367432,0.00010990
0.97751617,0.00072914
1.00135803,0.00121695
1.02519989,0.00070563
1.04904175,0.00012937
1.07288361,0.00001489
1.09672546,0.00010372
1.12056732,0.00019659
1.14440918,0.00017609
1.16825104,0.00008455
1.19209290,0.00004640
1.21593475,0.00041339
1.23977661,0.00048669
1.26361847,0.00016092
1.28746033,0.00019358
1.31130219,0.00009560
1.33514404,0.00016930
1.35898590,0.00022297
1.38282776,0.00016461
1.40666962,0.00016805
1.43051147,0.00010722
1.45435333,0.00008638
1.47819519,0.00010705
1.50203705,0.00017699
1.52587891,0.00013023
1.54972076,0.00003226
1.57356262,0.00009282
1.59740448,0.00009603
1.62124634,0.00028948
1.64508820,0.00047034
1.66893005,0.00045002
1.69277191,0.00027485
1.71661377,0.00018785
1.74045563,0.00022465
1.76429749,0.00035984
1.78813934,0.00037953
1.81198120,0.00018608
1.83582306,0.00009361
1.85966492,0.00006372
1.88350677,0.00011144
1.90734863,0.00012769
1.93119049,0.00011396
1.95503235,0.00012234
1.97887421,0.00017162
2.00271606,0.00018388
2.02655792,0.00008557
2.05039978,0.00006199
2.07424164,0.00009347
2.09808350,0.00007924
2.12192535,0.00008913
2.14576721,0.00023232
2.16960907,0.00021931
2.19345093,0.00006348
2.21729279,0.00019102
2.24113464,0.00008855
2.26497650,0.00017910
2.28881836,0.00028714
2.31266022,0.00018454
2.33650208,0.00005485
2.36034393,0.00010062
2.38418579,0.00005603
2.40802765,0.00007856
2.43186951,0.00007623
2.45571136,0.00010823
2.47955322,0.00004491
2.50339508,0.00018086
2.52723694,0.00024524
2.55107880,0.00017301
2.57492065,0.00005831
2.59876251,0.00004167
2.62260437,0.00018697
2.64644623,0.00021609
2.67028809,0.00018325
2.69412994,0.00013813
2.71797180,0.00002396
2.74181366,0.00015688
2.76565552,0.00034678
2.78949738,0.00037737
2.81333923,0.00026718
2.83718109,0.00024032
2.86102295,0.00015990
2.88486481,0.00008137
2.90870667,0.00006691
2.93254852,0.00008541
2.95639038,0.00004635
2.98023224,0.00005601
3.00407410,0.00003467
3.02791595,0.00008037
3.05175781,0.00006406
3.07559967,0.00016204
3.09944153,0.00007455
3.12328339,0.00014176
3.14712524,0.00018805
