Частота,A * B
(kГц),(?)

0.00000000,0.00322290
0.02384186,0.00133105
0.04768372,0.00021401
0.07152557,0.00026280
0.09536743,0.00018928
0.11920929,0.00010613
0.14305115,0.00032595
0.16689301,0.00038504
0.19073486,0.00039490
0.21457672,0.00042878
0.23841858,0.00035061
0.26226044,0.00023203
0.28610229,0.00014695
0.30994415,0.00009712
0.33378601,0.00018960
0.35762787,0.00019746
0.38146973,0.00007390
0.40531158,0.00004884
0.42915344,0.00026009
0.45299530,0.00035330
0.47683716,0.00029753
0.50067902,0.00017999
0.52452087,0.00024987
0.54836273,0.00038896
0.57220459,0.00039023
0.59604645,0.00033023
0.61988831,0.00034153
0.64373016,0.00027800
0.66757202,0.00025168
0.69141388,0.00021668
0.71525574,0.00011503
0.73909760,0.00000600
0.76293945,0.00008166
0.78678131,0.00019088
0.81062317,0.00019853
0.83446503,0.00018527
0.85830688,0.00022218
0.88214874,0.00015002
0.90599060,0.00010324
0.92983246,0.00009482
0.95367432,0.00016492
0.97751617,0.00079297
1.00135803,0.00114231
1.02519989,0.00062812
1.04904175,0.00013241
1.07288361,0.00010013
1.09672546,0.00012118
1.12056732,0.00015090
1.14440918,0.00007015
1.16825104,0.00020074
1.19209290,0.00041336
1.21593475,0.00059263
1.23977661,0.00068517
1.26361847,0.00047081
1.28746033,0.00020511
1.31130219,0.00010879
1.33514404,0.00020984
1.35898590,0.00010650
1.38282776,0.00016987
1.40666962,0.00010647
1.43051147,0.00026033
1.45435333,0.00038581
1.47819519,0.00032427
1.50203705,0.00028635
1.52587891,0.00038246
1.54972076,0.00041094
1.57356262,0.00022549
1.59740448,0.00018180
1.62124634,0.00015886
1.64508820,0.00006570
1.66893005,0.00006378
1.69277191,0.00010039
1.71661377,0.00026022
1.74045563,0.00031652
1.76429749,0.00022928
1.78813934,0.00015823
1.81198120,0.00004724
1.83582306,0.00030648
1.85966492,0.00039823
1.88350677,0.00019589
1.90734863,0.00005317
1.93119049,0.00010569
1.95503235,0.00019186
1.97887421,0.00032431
2.00271606,0.00028048
2.02655792,0.00013445
2.05039978,0.00019284
2.07424164,0.00023114
2.09808350,0.00015605
2.12192535,0.00006202
2.14576721,0.00006196
2.16960907,0.00021572
2.19345093,0.00034403
2.21729279,0.00041857
2.24113464,0.00046969
2.26497650,0.00029541
2.28881836,0.00012798
2.31266022,0.00022063
2.33650208,0.00034090
2.36034393,0.00024905
2.38418579,0.00025307
2.40802765,0.00016700
2.43186951,0.00006540
2.45571136,0.00009147
2.47955322,0.00006969
2.50339508,0.00006924
2.52723694,0.00022419
2.55107880,0.00028108
2.57492065,0.00026624
2.59876251,0.00020377
2.62260437,0.00003910
2.64644623,0.00009033
2.67028809,0.00007040
2.69412994,0.00016437
2.71797180,0.00013876
2.74181366,0.00011363
2.76565552,0.00008782
2.78949738,0.00014357
2.81333923,0.00021480
2.83718109,0.00020679
2.86102295,0.00021429
2.88486481,0.00013730
2.90870667,0.00007015
2.93254852,0.00019200
2.95639038,0.00041716
2.98023224,0.00085560
3.00407410,0.00094291
3.02791595,0.00039536
3.05175781,0.00007936
3.07559967,0.00017860
3.09944153,0.00026290
3.12328339,0.00011151
3.14712524,0.00008463
