Частота,A * B
(kГц),(?)

0.00000000,0.00275005
0.02384186,0.00120754
0.04768372,0.00031933
0.07152557,0.00011688
0.09536743,0.00014347
0.11920929,0.00013177
0.14305115,0.00001745
0.16689301,0.00006835
0.19073486,0.00013274
0.21457672,0.00012645
0.23841858,0.00009804
0.26226044,0.00007324
0.28610229,0.00005270
0.30994415,0.00002484
0.33378601,0.00014833
0.35762787,0.00016535
0.38146973,0.00005228
0.40531158,0.00005903
0.42915344,0.00013217
0.45299530,0.00017982
0.47683716,0.00052905
0.50067902,0.00083362
0.52452087,0.00043742
0.54836273,0.00004317
0.57220459,0.00008492
0.59604645,0.00008918
0.61988831,0.00004525
0.64373016,0.00001282
0.66757202,0.00007113
0.69141388,0.00013769
0.71525574,0.00011800
0.73909760,0.00014119
0.76293945,0.00016896
0.78678131,0.00015118
0.81062317,0.00006770
0.83446503,0.00003899
0.85830688,0.00005608
0.88214874,0.00007729
0.90599060,0.00001287
0.92983246,0.00010462
0.95367432,0.00007099
0.97751617,0.00008614
1.00135803,0.00016740
1.02519989,0.00017860
1.04904175,0.00017090
1.07288361,0.00014951
1.09672546,0.00011390
1.12056732,0.00010437
1.14440918,0.00008514
1.16825104,0.00003452
1.19209290,0.00007951
1.21593475,0.00027623
1.23977661,0.00037314
1.26361847,0.00028078
1.28746033,0.00016540
1.31130219,0.00005704
1.33514404,0.00002371
1.35898590,0.00005062
1.38282776,0.00007845
1.40666962,0.00005579
1.43051147,0.00002876
1.45435333,0.00005488
1.47819519,0.00010681
1.50203705,0.00010584
1.52587891,0.00004536
1.54972076,0.00007831
1.57356262,0.00012300
1.59740448,0.00005185
1.62124634,0.00011497
1.64508820,0.00009844
1.66893005,0.00005438
1.69277191,0.00001517
1.71661377,0.00009226
1.74045563,0.00010847
1.76429749,0.00008179
1.78813934,0.00008584
1.81198120,0.00006028
1.83582306,0.00001524
1.85966492,0.00006883
1.88350677,0.00006512
1.90734863,0.00004071
1.93119049,0.00004997
1.95503235,0.00004025
1.97887421,0.00007646
2.00271606,0.00007921
2.02655792,0.00002977
2.05039978,0.00000659
2.07424164,0.00006510
2.09808350,0.00015681
2.12192535,0.00015302
2.14576721,0.00006353
2.16960907,0.00006958
2.19345093,0.00009400
2.21729279,0.00005860
2.24113464,0.00004299
2.26497650,0.00007491
2.28881836,0.00007285
2.31266022,0.00010473
2.33650208,0.00011095
2.36034393,0.00006537
2.38418579,0.00010079
2.40802765,0.00005088
2.43186951,0.00004840
2.45571136,0.00006087
2.47955322,0.00007577
2.50339508,0.00013279
2.52723694,0.00007983
2.55107880,0.00005678
2.57492065,0.00010363
2.59876251,0.00007236
2.62260437,0.00008824
2.64644623,0.00009676
2.67028809,0.00002459
2.69412994,0.00008841
2.71797180,0.00012271
2.74181366,0.00005250
2.76565552,0.00017603
2.78949738,0.00022343
2.81333923,0.00014651
2.83718109,0.00011092
2.86102295,0.00007995
2.88486481,0.00002089
2.90870667,0.00012579
2.93254852,0.00013057
2.95639038,0.00008384
2.98023224,0.00008162
3.00407410,0.00016847
3.02791595,0.00008586
3.05175781,0.00011191
3.07559967,0.00005125
3.09944153,0.00003145
3.12328339,0.00006228
3.14712524,0.00009708
