Частота,A * B
(kГц),(?)

0.00000000,0.00245561
0.02384186,0.00114337
0.04768372,0.00043610
0.07152557,0.00024868
0.09536743,0.00015560
0.11920929,0.00011281
0.14305115,0.00009402
0.16689301,0.00007644
0.19073486,0.00003003
0.21457672,0.00007681
0.23841858,0.00012449
0.26226044,0.00012062
0.28610229,0.00009385
0.30994415,0.00010460
0.33378601,0.00011344
0.35762787,0.00011637
0.38146973,0.00006856
0.40531158,0.00005274
0.42915344,0.00005849
0.45299530,0.00005963
0.47683716,0.00003877
0.50067902,0.00004657
0.52452087,0.00007361
0.54836273,0.00007472
0.57220459,0.00006049
0.59604645,0.00011603
0.61988831,0.00008431
0.64373016,0.00006051
0.66757202,0.00006043
0.69141388,0.00001587
0.71525574,0.00002564
0.73909760,0.00005898
0.76293945,0.00016637
0.78678131,0.00020493
0.81062317,0.00011885
0.83446503,0.00001786
0.85830688,0.00007653
0.88214874,0.00007356
0.90599060,0.00008380
0.92983246,0.00012413
0.95367432,0.00010954
0.97751617,0.00007082
1.00135803,0.00007582
1.02519989,0.00008339
1.04904175,0.00009776
1.07288361,0.00014992
1.09672546,0.00011316
1.12056732,0.00004901
1.14440918,0.00010667
1.16825104,0.00007826
1.19209290,0.00022580
1.21593475,0.00039572
1.23977661,0.00036919
1.26361847,0.00015348
1.28746033,0.00004811
1.31130219,0.00007561
1.33514404,0.00008178
1.35898590,0.00002936
1.38282776,0.00011553
1.40666962,0.00013697
1.43051147,0.00009940
1.45435333,0.00013585
1.47819519,0.00007846
1.50203705,0.00006909
1.52587891,0.00016231
1.54972076,0.00015573
1.57356262,0.00010596
1.59740448,0.00003462
1.62124634,0.00001456
1.64508820,0.00006313
1.66893005,0.00010578
1.69277191,0.00007536
1.71661377,0.00009852
1.74045563,0.00006695
1.76429749,0.00003598
1.78813934,0.00012218
1.81198120,0.00014162
1.83582306,0.00007330
1.85966492,0.00006281
1.88350677,0.00013048
1.90734863,0.00009068
1.93119049,0.00016071
1.95503235,0.00026360
1.97887421,0.00064250
2.00271606,0.00088890
2.02655792,0.00055683
2.05039978,0.00022828
2.07424164,0.00013520
2.09808350,0.00008439
2.12192535,0.00007730
2.14576721,0.00005826
2.16960907,0.00001683
2.19345093,0.00009425
2.21729279,0.00015970
2.24113464,0.00016138
2.26497650,0.00012594
2.28881836,0.00009181
2.31266022,0.00014371
2.33650208,0.00019472
2.36034393,0.00018855
2.38418579,0.00013147
2.40802765,0.00007606
2.43186951,0.00002603
2.45571136,0.00003280
2.47955322,0.00005549
2.50339508,0.00006548
2.52723694,0.00003607
2.55107880,0.00004512
2.57492065,0.00009844
2.59876251,0.00011182
2.62260437,0.00015422
2.64644623,0.00018155
2.67028809,0.00010243
2.69412994,0.00007517
2.71797180,0.00010319
2.74181366,0.00009517
2.76565552,0.00009585
2.78949738,0.00005744
2.81333923,0.00003945
2.83718109,0.00006614
2.86102295,0.00010052
2.88486481,0.00007775
2.90870667,0.00008465
2.93254852,0.00009445
2.95639038,0.00002856
2.98023224,0.00016915
3.00407410,0.00024606
3.02791595,0.00017611
3.05175781,0.00012863
3.07559967,0.00013175
3.09944153,0.00007876
3.12328339,0.00001716
3.14712524,0.00000762
