Частота,A * B
(kГц),(?)

0.00000000,0.18861920
0.02384186,0.07942916
0.04768372,0.01273480
0.07152557,0.00001147
0.09536743,0.00004384
0.11920929,0.00003806
0.14305115,0.00005026
0.16689301,0.00005513
0.19073486,0.00001194
0.21457672,0.00003957
0.23841858,0.00003432
0.26226044,0.00006798
0.28610229,0.00004862
0.30994415,0.00000840
0.33378601,0.00002356
0.35762787,0.00003319
0.38146973,0.00004299
0.40531158,0.00004433
0.42915344,0.00004035
0.45299530,0.00005665
0.47683716,0.00006028
0.50067902,0.00004537
0.52452087,0.00003811
0.54836273,0.00009610
0.57220459,0.00010646
0.59604645,0.00008072
0.61988831,0.00008861
0.64373016,0.00004976
0.66757202,0.00007049
0.69141388,0.00008328
0.71525574,0.00011333
0.73909760,0.00009757
0.76293945,0.00007503
0.78678131,0.00004189
0.81062317,0.00001793
0.83446503,0.00000794
0.85830688,0.00001141
0.88214874,0.00002380
0.90599060,0.00003892
0.92983246,0.00003178
0.95367432,0.00027229
0.97751617,0.00116599
1.00135803,0.00168025
1.02519989,0.00107790
1.04904175,0.00025246
1.07288361,0.00005284
1.09672546,0.00004044
1.12056732,0.00002907
1.14440918,0.00005698
1.16825104,0.00003680
1.19209290,0.00004700
1.21593475,0.00003134
1.23977661,0.00003437
1.26361847,0.00008153
1.28746033,0.00005547
1.31130219,0.00003472
1.33514404,0.00009261
1.35898590,0.00004022
1.38282776,0.00004090
1.40666962,0.00006304
1.43051147,0.00005324
1.45435333,0.00004375
1.47819519,0.00003545
1.50203705,0.00003408
1.52587891,0.00004174
1.54972076,0.00004261
1.57356262,0.00004342
1.59740448,0.00004412
1.62124634,0.00003851
1.64508820,0.00001722
1.66893005,0.00002265
1.69277191,0.00003654
1.71661377,0.00003387
1.74045563,0.00004273
1.76429749,0.00006469
1.78813934,0.00005486
1.81198120,0.00002128
1.83582306,0.00001633
1.85966492,0.00001441
1.88350677,0.00006457
1.90734863,0.00004777
1.93119049,0.00004428
1.95503235,0.00264439
1.97887421,0.01342353
2.00271606,0.01989458
2.02655792,0.01042140
2.05039978,0.00129295
2.07424164,0.00006984
2.09808350,0.00006502
2.12192535,0.00007021
2.14576721,0.00006385
2.16960907,0.00001552
2.19345093,0.00006747
2.21729279,0.00008359
2.24113464,0.00003535
2.26497650,0.00000634
2.28881836,0.00001960
2.31266022,0.00005565
2.33650208,0.00007536
2.36034393,0.00005809
2.38418579,0.00002066
2.40802765,0.00001280
2.43186951,0.00002625
2.45571136,0.00005509
2.47955322,0.00002801
2.50339508,0.00006377
2.52723694,0.00007489
2.55107880,0.00006242
2.57492065,0.00003543
2.59876251,0.00003904
2.62260437,0.00003819
2.64644623,0.00002727
2.67028809,0.00006583
2.69412994,0.00006173
2.71797180,0.00008225
2.74181366,0.00006083
2.76565552,0.00004769
2.78949738,0.00002335
2.81333923,0.00001558
2.83718109,0.00002276
2.86102295,0.00001232
2.88486481,0.00004878
2.90870667,0.00006652
2.93254852,0.00003277
2.95639038,0.00004878
2.98023224,0.00005108
3.00407410,0.00001733
3.02791595,0.00001636
3.05175781,0.00003695
3.07559967,0.00001899
3.09944153,0.00004543
3.12328339,0.00005834
3.14712524,0.00003674
