Частота,A * B
(kГц),(?)

0.00000000,0.06133610
0.02384186,0.02583341
0.04768372,0.00415536
0.07152557,0.00004112
0.09536743,0.00003413
0.11920929,0.00003302
0.14305115,0.00002344
0.16689301,0.00000858
0.19073486,0.00002937
0.21457672,0.00003047
0.23841858,0.00001694
0.26226044,0.00000710
0.28610229,0.00004544
0.30994415,0.00007455
0.33378601,0.00003314
0.35762787,0.00001854
0.38146973,0.00001443
0.40531158,0.00001630
0.42915344,0.00001547
0.45299530,0.00003291
0.47683716,0.00003645
0.50067902,0.00006539
0.52452087,0.00007683
0.54836273,0.00003481
0.57220459,0.00005653
0.59604645,0.00007007
0.61988831,0.00002531
0.64373016,0.00004469
0.66757202,0.00006030
0.69141388,0.00005626
0.71525574,0.00005671
0.73909760,0.00007571
0.76293945,0.00009687
0.78678131,0.00005939
0.81062317,0.00001704
0.83446503,0.00002958
0.85830688,0.00001922
0.88214874,0.00005546
0.90599060,0.00004797
0.92983246,0.00007161
0.95367432,0.00191009
0.97751617,0.01060196
1.00135803,0.01672125
1.02519989,0.00935191
1.04904175,0.00133420
1.07288361,0.00002760
1.09672546,0.00004627
1.12056732,0.00005984
1.14440918,0.00007463
1.16825104,0.00007581
1.19209290,0.00003471
1.21593475,0.00003563
1.23977661,0.00006332
1.26361847,0.00004112
1.28746033,0.00003530
1.31130219,0.00006695
1.33514404,0.00012910
1.35898590,0.00013992
1.38282776,0.00007438
1.40666962,0.00001750
1.43051147,0.00001347
1.45435333,0.00003991
1.47819519,0.00004904
1.50203705,0.00005857
1.52587891,0.00003758
1.54972076,0.00003185
1.57356262,0.00003799
1.59740448,0.00003848
1.62124634,0.00002864
1.64508820,0.00002583
1.66893005,0.00002360
1.69277191,0.00001367
1.71661377,0.00001003
1.74045563,0.00003698
1.76429749,0.00003472
1.78813934,0.00001443
1.81198120,0.00004911
1.83582306,0.00004634
1.85966492,0.00002465
1.88350677,0.00000550
1.90734863,0.00002453
1.93119049,0.00003475
1.95503235,0.00004527
1.97887421,0.00012335
2.00271606,0.00016805
2.02655792,0.00007261
2.05039978,0.00003488
2.07424164,0.00005669
2.09808350,0.00002699
2.12192535,0.00004721
2.14576721,0.00006493
2.16960907,0.00003033
2.19345093,0.00002888
2.21729279,0.00005645
2.24113464,0.00004890
2.26497650,0.00002944
2.28881836,0.00000940
2.31266022,0.00007647
2.33650208,0.00014657
2.36034393,0.00011681
2.38418579,0.00004157
2.40802765,0.00004804
2.43186951,0.00006873
2.45571136,0.00006486
2.47955322,0.00005510
2.50339508,0.00004479
2.52723694,0.00003873
2.55107880,0.00005268
2.57492065,0.00009512
2.59876251,0.00011504
2.62260437,0.00010514
2.64644623,0.00007946
2.67028809,0.00006528
2.69412994,0.00005276
2.71797180,0.00002897
2.74181366,0.00002143
2.76565552,0.00001502
2.78949738,0.00001851
2.81333923,0.00004997
2.83718109,0.00007456
2.86102295,0.00005621
2.88486481,0.00003140
2.90870667,0.00004244
2.93254852,0.00006181
2.95639038,0.00005527
2.98023224,0.00003198
3.00407410,0.00005942
3.02791595,0.00004583
3.05175781,0.00005357
3.07559967,0.00007044
3.09944153,0.00004732
3.12328339,0.00001884
3.14712524,0.00002238
