Частота,A * B
(kГц),(?)

0.00000000,0.22461400
0.02384186,0.09457903
0.04768372,0.01516336
0.07152557,0.00003377
0.09536743,0.00002260
0.11920929,0.00001709
0.14305115,0.00004739
0.16689301,0.00006609
0.19073486,0.00003068
0.21457672,0.00002367
0.23841858,0.00004410
0.26226044,0.00006968
0.28610229,0.00005147
0.30994415,0.00002514
0.33378601,0.00001643
0.35762787,0.00001811
0.38146973,0.00003402
0.40531158,0.00005426
0.42915344,0.00005393
0.45299530,0.00004479
0.47683716,0.00002985
0.50067902,0.00004152
0.52452087,0.00007522
0.54836273,0.00004765
0.57220459,0.00003992
0.59604645,0.00006452
0.61988831,0.00007928
0.64373016,0.00003037
0.66757202,0.00005738
0.69141388,0.00007199
0.71525574,0.00002367
0.73909760,0.00005825
0.76293945,0.00006074
0.78678131,0.00005811
0.81062317,0.00004538
0.83446503,0.00004640
0.85830688,0.00004914
0.88214874,0.00002608
0.90599060,0.00002352
0.92983246,0.00005457
0.95367432,0.00019625
0.97751617,0.00077801
1.00135803,0.00117283
1.02519989,0.00069741
1.04904175,0.00016239
1.07288361,0.00005807
1.09672546,0.00005734
1.12056732,0.00005322
1.14440918,0.00003737
1.16825104,0.00000978
1.19209290,0.00004582
1.21593475,0.00005990
1.23977661,0.00003611
1.26361847,0.00005012
1.28746033,0.00005851
1.31130219,0.00004264
1.33514404,0.00012524
1.35898590,0.00015351
1.38282776,0.00010256
1.40666962,0.00003926
1.43051147,0.00002702
1.45435333,0.00004626
1.47819519,0.00001372
1.50203705,0.00001777
1.52587891,0.00002996
1.54972076,0.00005854
1.57356262,0.00007387
1.59740448,0.00009259
1.62124634,0.00008465
1.64508820,0.00003733
1.66893005,0.00001959
1.69277191,0.00005812
1.71661377,0.00007492
1.74045563,0.00004696
1.76429749,0.00003844
1.78813934,0.00003249
1.81198120,0.00004200
1.83582306,0.00008318
1.85966492,0.00008320
1.88350677,0.00003877
1.90734863,0.00002591
1.93119049,0.00006218
1.95503235,0.00103105
1.97887421,0.00511731
2.00271606,0.00757621
2.02655792,0.00395599
2.05039978,0.00046556
2.07424164,0.00006886
2.09808350,0.00009344
2.12192535,0.00006592
2.14576721,0.00003341
2.16960907,0.00002932
2.19345093,0.00002445
2.21729279,0.00001980
2.24113464,0.00004610
2.26497650,0.00004675
2.28881836,0.00003449
2.31266022,0.00006662
2.33650208,0.00015058
2.36034393,0.00013443
2.38418579,0.00005858
2.40802765,0.00003275
2.43186951,0.00004946
2.45571136,0.00003401
2.47955322,0.00002225
2.50339508,0.00004382
2.52723694,0.00004578
2.55107880,0.00001583
2.57492065,0.00006198
2.59876251,0.00006017
2.62260437,0.00008308
2.64644623,0.00006635
2.67028809,0.00006829
2.69412994,0.00004545
2.71797180,0.00003033
2.74181366,0.00003145
2.76565552,0.00002924
2.78949738,0.00003655
2.81333923,0.00003608
2.83718109,0.00002985
2.86102295,0.00004954
2.88486481,0.00001431
2.90870667,0.00003345
2.93254852,0.00002904
2.95639038,0.00005122
2.98023224,0.00007733
3.00407410,0.00005673
3.02791595,0.00002242
3.05175781,0.00002511
3.07559967,0.00003716
3.09944153,0.00004183
3.12328339,0.00006888
3.14712524,0.00006348
