Частота,Канал A
(kГц),(В)

0.00000000,0.26105630
0.02384186,0.11031950
0.04768372,0.01838092
0.07152557,0.00113577
0.09536743,0.00098262
0.11920929,0.00090299
0.14305115,0.00072664
0.16689301,0.00043363
0.19073486,0.00024051
0.21457672,0.00035947
0.23841858,0.00065181
0.26226044,0.00118873
0.28610229,0.00207922
0.30994415,0.00192515
0.33378601,0.00189774
0.35762787,0.00254622
0.38146973,0.00092847
0.40531158,0.00023974
0.42915344,0.00044754
0.45299530,0.00059274
0.47683716,0.00068325
0.50067902,0.00067622
0.52452087,0.00059115
0.54836273,0.00036457
0.57220459,0.00010179
0.59604645,0.00037583
0.61988831,0.00178468
0.64373016,0.00376931
0.66757202,0.00260207
0.69141388,0.00181675
0.71525574,0.00193926
0.73909760,0.00095284
0.76293945,0.00037723
0.78678131,0.00020106
0.81062317,0.00034117
0.83446503,0.00054271
0.85830688,0.00073621
0.88214874,0.00087001
0.90599060,0.00081679
0.92983246,0.00075717
0.95367432,0.01850989
0.97751617,0.10344050
1.00135803,0.16359240
1.02519989,0.09232910
1.04904175,0.01420630
1.07288361,0.00117892
1.09672546,0.00085859
1.12056732,0.00058327
1.14440918,0.00034370
1.16825104,0.00009785
1.19209290,0.00032415
1.21593475,0.00066281
1.23977661,0.00092303
1.26361847,0.00126156
1.28746033,0.00187508
1.31130219,0.00168048
1.33514404,0.00089422
1.35898590,0.00108344
1.38282776,0.00036733
1.40666962,0.00064054
1.43051147,0.00080272
1.45435333,0.00080769
1.47819519,0.00071091
1.50203705,0.00055412
1.52587891,0.00039177
1.54972076,0.00021108
1.57356262,0.00023622
1.59740448,0.00079136
1.62124634,0.00238744
1.64508820,0.00444606
1.66893005,0.00299375
1.69277191,0.00135654
1.71661377,0.00129003
1.74045563,0.00042985
1.76429749,0.00010063
1.78813934,0.00036257
1.81198120,0.00049660
1.83582306,0.00068915
1.85966492,0.00079343
1.88350677,0.00079795
1.90734863,0.00059045
1.93119049,0.00039337
1.95503235,0.01943759
1.97887421,0.10112070
2.00271606,0.15128180
2.02655792,0.08060305
2.05039978,0.01148363
2.07424164,0.00114054
2.09808350,0.00069057
2.12192535,0.00037272
2.14576721,0.00014056
2.16960907,0.00023877
2.19345093,0.00043338
2.21729279,0.00067961
2.24113464,0.00092841
2.26497650,0.00124037
2.28881836,0.00158120
2.31266022,0.00146664
2.33650208,0.00073274
2.36034393,0.00055472
2.38418579,0.00092099
2.40802765,0.00102186
2.43186951,0.00092086
2.45571136,0.00081190
2.47955322,0.00068819
2.50339508,0.00044902
2.52723694,0.00017689
2.55107880,0.00025193
2.57492065,0.00064921
2.59876251,0.00123432
2.62260437,0.00271691
2.64644623,0.00450032
2.67028809,0.00294359
2.69412994,0.00100015
2.71797180,0.00083507
2.74181366,0.00018975
2.76565552,0.00039564
2.78949738,0.00062507
2.81333923,0.00070134
2.83718109,0.00075454
2.86102295,0.00064878
2.88486481,0.00061278
2.90870667,0.00031581
2.93254852,0.00013547
2.95639038,0.01925201
2.98023224,0.09343833
3.00407410,0.13226720
3.02791595,0.06640862
3.05175781,0.00861507
3.07559967,0.00091566
3.09944153,0.00041823
3.12328339,0.00007780
3.14712524,0.00008273
3.17096710,0.00032667
3.19480896,0.00058758
3.21865082,0.00083682
3.24249268,0.00092374
3.26633453,0.00091299
3.29017639,0.00083416
3.31401825,0.00113324
3.33786011,0.00193822
3.36170197,0.00203878
3.38554382,0.00157405
3.40938568,0.00119999
3.43322754,0.00089661
3.45706940,0.00065804
3.48091125,0.00041162
3.50475311,0.00015817
3.52859497,0.00027978
3.55243683,0.00053072
3.57627869,0.00084216
3.60012054,0.00135705
3.62396240,0.00259382
3.64780426,0.00387548
3.67164612,0.00249259
3.69548798,0.00042699
3.71932983,0.00020115
3.74317169,0.00046752
3.76701355,0.00064921
3.79085541,0.00076036
3.81469727,0.00071012
3.83853912,0.00061641
3.86238098,0.00039345
3.88622284,0.00032145
3.91006470,0.00015136
3.93390656,0.00059920
3.95774841,0.01777386
3.98159027,0.08077838
4.00543213,0.10823930
4.02927399,0.05119760
4.05311584,0.00607926
4.07695770,0.00053085
4.10079956,0.00010860
4.12464142,0.00034444
4.14848328,0.00048222
4.17232513,0.00067096
4.19616699,0.00073921
4.22000885,0.00082107
4.24385071,0.00074863
4.26769257,0.00051624
4.29153442,0.00007639
4.31537628,0.00100184
4.33921814,0.00290186
4.36306000,0.00291986
4.38690186,0.00169641
4.41074371,0.00109009
4.43458557,0.00076772
4.45842743,0.00045947
4.48226929,0.00015058
4.50611115,0.00014126
4.52995300,0.00039281
4.55379486,0.00071734
4.57763672,0.00102045
4.60147858,0.00130860
4.62532043,0.00199957
4.64916229,0.00269505
4.67300415,0.00189273
4.69684601,0.00060979
4.72068787,0.00068023
4.74452972,0.00092077
4.76837158,0.00093874
4.79221344,0.00082384
4.81605530,0.00063770
4.83989716,0.00051529
4.86373901,0.00023079
4.88758087,0.00023629
4.91142273,0.00060883
4.93526459,0.00106446
4.95910645,0.01506212
4.98294830,0.06401020
5.00679016,0.08118274
5.03063202,0.03600143
5.05447388,0.00379244
5.07831573,0.00033818
5.10215759,0.00031435
5.12599945,0.00061150
5.14984131,0.00063089
5.17368317,0.00067682
5.19752502,0.00069239
5.22136688,0.00065989
5.24520874,0.00037093
5.26905060,0.00024652
5.29289246,0.00080468
5.31673431,0.00119499
5.34057617,0.00370023
5.36441803,0.00361683
5.38825989,0.00185510
5.41210175,0.00099733
5.43594360,0.00054039
5.45978546,0.00019549
5.48362732,0.00025446
5.50746918,0.00042390
5.53131104,0.00065632
5.55515289,0.00091337
5.57899475,0.00104931
5.60283661,0.00105556
5.62667847,0.00108377
5.65052032,0.00113757
5.67436218,0.00123506
5.69820404,0.00128413
5.72204590,0.00119523
5.74588776,0.00105957
5.76972961,0.00093101
5.79357147,0.00073831
5.81741333,0.00043679
5.84125519,0.00023475
5.86509705,0.00014843
5.88893890,0.00046348
5.91278076,0.00081822
5.93662262,0.00121818
5.96046448,0.01112359
5.98430634,0.04471607
6.00814819,0.05376340
6.03199005,0.02225873
6.05583191,0.00190848
6.07967377,0.00044576
6.10351563,0.00070611
6.12735748,0.00086656
6.15119934,0.00079757
6.17504120,0.00067346
6.19888306,0.00045224
6.22272491,0.00028373
6.24656677,0.00011357
6.27040863,0.00072865
6.29425049,0.00155814
6.31809235,0.00142062
6.34193420,0.00397002
6.36577606,0.00359691
6.38961792,0.00150453
6.41345978,0.00061781
6.43730164,0.00021875
6.46114349,0.00016471
6.48498535,0.00041536
6.50882721,0.00057170
6.53266907,0.00070749
6.55651093,0.00085131
6.58035278,0.00087544
6.60419464,0.00069647
6.62803650,0.00039072
6.65187836,0.00063203
6.67572021,0.00092671
6.69956207,0.00182476
6.72340393,0.00151963
6.74724579,0.00112352
6.77108765,0.00085379
6.79492950,0.00053059
6.81877136,0.00021681
6.84261322,0.00010842
6.86645508,0.00033655
6.89029694,0.00065616
6.91413879,0.00106566
6.93798065,0.00142318
6.96182251,0.00631872
6.98566437,0.02454235
7.00950623,0.02798503
7.03334808,0.01061958
7.05718994,0.00065623
7.08103180,0.00064871
7.10487366,0.00078864
7.12871552,0.00080699
7.15255737,0.00064699
7.17639923,0.00059979
7.20024109,0.00041489
7.22408295,0.00019830
7.24792480,0.00044407
7.27176666,0.00115630
7.29560852,0.00204324
7.31945038,0.00148118
7.34329224,0.00360088
7.36713409,0.00306863
7.39097595,0.00106289
7.41481781,0.00023460
7.43865967,0.00024710
7.46250153,0.00046960
7.48634338,0.00064441
7.51018524,0.00071071
7.53402710,0.00072894
7.55786896,0.00071067
7.58171082,0.00057481
7.60555267,0.00034462
7.62939453,0.00157862
7.65323639,0.00245882
7.67707825,0.00118792
7.70092010,0.00203833
7.72476196,0.00156609
7.74860382,0.00098324
7.77244568,0.00058973
7.79628754,0.00029921
7.82012939,0.00009061
7.84397125,0.00031015
7.86781311,0.00057162
7.89165497,0.00088062
7.91549683,0.00112949
7.93933868,0.00122817
7.96318054,0.00134555
7.98702240,0.00533303
8.01086426,0.00577502
8.03470612,0.00174784
8.05854797,0.00087867
8.08238983,0.00096630
8.10623169,0.00091165
8.13007355,0.00077191
8.15391541,0.00056853
8.17775726,0.00035043
8.20159912,0.00016434
8.22544098,0.00042962
8.24928284,0.00084800
8.27312469,0.00149911
8.29696655,0.00225350
8.32080841,0.00136670
8.34465027,0.00271040
8.36849213,0.00214092
8.39233398,0.00055006
8.41617584,0.00026720
8.44001770,0.00057614
8.46385956,0.00073189
8.48770142,0.00073439
8.51154327,0.00073525
8.53538513,0.00066887
8.55922699,0.00045632
8.58306885,0.00020684
8.60691071,0.00076751
8.63075256,0.00277734
8.65459442,0.00382535
8.67843628,0.00163658
8.70227814,0.00203321
8.72612000,0.00140655
8.74996185,0.00073671
8.77380371,0.00035587
8.79764557,0.00010756
8.82148743,0.00032254
8.84532928,0.00054697
8.86917114,0.00073272
8.89301300,0.00089398
8.91685486,0.00097258
8.94069672,0.00099055
8.96453857,0.00418320
8.98838043,0.01130828
9.01222229,0.01150712
9.03606415,0.00466785
9.05990601,0.00137073
9.08374786,0.00106861
9.10758972,0.00083724
9.13143158,0.00053818
9.15527344,0.00027034
9.17911530,0.00004827
9.20295715,0.00023813
9.22679901,0.00061315
9.25064087,0.00105250
9.27448273,0.00165486
9.29832458,0.00229594
9.32216644,0.00129666
9.34600830,0.00144380
9.36985016,0.00105861
9.39369202,0.00039490
9.41753387,0.00066359
9.44137573,0.00073958
9.46521759,0.00076775
9.48905945,0.00075372
9.51290131,0.00057929
9.53674316,0.00031827
9.56058502,0.00013583
9.58442688,0.00038713
9.60826874,0.00124135
9.63211060,0.00362671
9.65595245,0.00461430
9.67979431,0.00187045
9.70363617,0.00188630
9.72747803,0.00104559
9.75131989,0.00026462
9.77516174,0.00006343
9.79900360,0.00037846
9.82284546,0.00065079
9.84668732,0.00078411
9.87052917,0.00077392
9.89437103,0.00080029
9.91821289,0.00075448
9.94205475,0.00075372
9.96589661,0.00858019
9.98973846,0.02387603
10.01358032,0.02301095
10.03742218,0.00813916
10.06126404,0.00158675
10.08510590,0.00089896
10.10894775,0.00054147
10.13278961,0.00025527
10.15663147,0.00006965
10.18047333,0.00028816
10.20431519,0.00053242
10.22815704,0.00078081
10.25199890,0.00106973
10.27584076,0.00144514
10.29968262,0.00173153
10.32352448,0.00111544
10.34736633,0.00015723
10.37120819,0.00041394
10.39505005,0.00081488
10.41889191,0.00090881
10.44273376,0.00090308
10.46657562,0.00081739
10.49041748,0.00063571
10.51425934,0.00044440
10.53810120,0.00020308
10.56194305,0.00028115
10.58578491,0.00077187
10.60962677,0.00165232
10.63346863,0.00404478
10.65731049,0.00482709
10.68115234,0.00180978
10.70499420,0.00121942
10.72883606,0.00055389
10.75267792,0.00025367
10.77651978,0.00048409
10.80036163,0.00063304
10.82420349,0.00070061
10.84804535,0.00069635
10.87188721,0.00060019
10.89572906,0.00051526
10.91957092,0.00021812
10.94341278,0.00060219
10.96725464,0.01187878
10.99109650,0.03170273
11.01493835,0.02894714
11.03878021,0.00943589
11.06262207,0.00150119
11.08646393,0.00070921
11.11030579,0.00034494
11.13414764,0.00009383
11.15798950,0.00026001
11.18183136,0.00047595
11.20567322,0.00068469
11.22951508,0.00091394
11.25335693,0.00103897
11.27719879,0.00111322
11.30104065,0.00117739
11.32488251,0.00134853
11.34872437,0.00146994
11.37256622,0.00131630
11.39640808,0.00114177
11.42024994,0.00100905
11.44409180,0.00085532
11.46793365,0.00066318
11.49177551,0.00042778
11.51561737,0.00016211
11.53945923,0.00021692
11.56330109,0.00054733
11.58714294,0.00097118
11.61098480,0.00186227
11.63482666,0.00393411
11.65866852,0.00440156
11.68251038,0.00167220
11.70635223,0.00045699
11.73019409,0.00022222
11.75403595,0.00050372
11.77787781,0.00061104
11.80171967,0.00065281
11.82556152,0.00067770
11.84940338,0.00065572
11.87324524,0.00043659
11.89708710,0.00022820
11.92092896,0.00022655
11.94477081,0.00078204
11.96861267,0.01344416
11.99245453,0.03422557
12.01629639,0.02955048
12.04013824,0.00885309
12.06398010,0.00118904
12.08782196,0.00041665
12.11166382,0.00008638
12.13550568,0.00035374
12.15934753,0.00054359
12.18318939,0.00073264
12.20703125,0.00078252
12.23087311,0.00076303
12.25471497,0.00067992
12.27855682,0.00045639
12.30239868,0.00029765
12.32624054,0.00165405
12.35008240,0.00275193
12.37392426,0.00216344
12.39776611,0.00139733
12.42160797,0.00104344
12.44544983,0.00075507
12.46929169,0.00042080
12.49313354,0.00015343
12.51697540,0.00020034
12.54081726,0.00056330
12.56465912,0.00097039
12.58850098,0.00129713
12.61234283,0.00184435
12.63618469,0.00310678
12.66002655,0.00326632
12.68386841,0.00140142
12.70771027,0.00021053
12.73155212,0.00057031
12.75539398,0.00076918
12.77923584,0.00081932
12.80307770,0.00077607
12.82691956,0.00059931
12.85076141,0.00043502
12.87460327,0.00019200
12.89844513,0.00021959
12.92228699,0.00065100
12.94612885,0.00114545
12.96997070,0.01322366
12.99381256,0.03197625
13.01765442,0.02610019
13.04149628,0.00715114
13.06533813,0.00072244
13.08917999,0.00025942
13.11302185,0.00037648
13.13686371,0.00064604
13.16070557,0.00078969
13.18454742,0.00081613
13.20838928,0.00070711
13.23223114,0.00064347
13.25607300,0.00043277
13.27991486,0.00048283
13.30375671,0.00069058
13.32759857,0.00210581
13.35144043,0.00368608
13.37528229,0.00258163
13.39912415,0.00132510
13.42296600,0.00076225
13.44680786,0.00040870
13.47064972,0.00015160
13.49449158,0.00028314
13.51833344,0.00052616
13.54217529,0.00068955
13.56601715,0.00085330
13.58985901,0.00111751
13.61370087,0.00141514
13.63754272,0.00175427
13.66138458,0.00172432
13.68522644,0.00127261
13.70906830,0.00108699
13.73291016,0.00104138
13.75675201,0.00090905
13.78059387,0.00083572
13.80443573,0.00076113
13.82827759,0.00049090
13.85211945,0.00017190
