Частота,Канал A
(kГц),(В)

0.00000000,0.10348020
0.02384186,0.04409707
0.04768372,0.00743539
0.07152557,0.00050401
0.09536743,0.00032600
0.11920929,0.00031231
0.14305115,0.00021921
0.16689301,0.00022181
0.19073486,0.00008967
0.21457672,0.00034354
0.23841858,0.00026011
0.26226044,0.00052025
0.28610229,0.00020084
0.30994415,0.00084291
0.33378601,0.00028952
0.35762787,0.00026706
0.38146973,0.00063631
0.40531158,0.00020578
0.42915344,0.00027830
0.45299530,0.00011491
0.47683716,0.00033733
0.50067902,0.00013847
0.52452087,0.00029401
0.54836273,0.00008602
0.57220459,0.00042412
0.59604645,0.00020755
0.61988831,0.00050760
0.64373016,0.00083902
0.66757202,0.00074375
0.69141388,0.00039708
0.71525574,0.00027225
0.73909760,0.00043472
0.76293945,0.00035288
0.78678131,0.00031382
0.81062317,0.00018505
0.83446503,0.00030369
0.85830688,0.00031812
0.88214874,0.00033555
0.90599060,0.00021229
0.92983246,0.00031477
0.95367432,0.00701364
0.97751617,0.03614772
1.00135803,0.05614400
1.02519989,0.03194029
1.04904175,0.00493392
1.07288361,0.00046738
1.09672546,0.00015966
1.12056732,0.00029767
1.14440918,0.00025726
1.16825104,0.00045681
1.19209290,0.00025655
1.21593475,0.00010092
1.23977661,0.00017293
1.26361847,0.00065512
1.28746033,0.00031791
1.31130219,0.00112867
1.33514404,0.00046039
1.35898590,0.00036197
1.38282776,0.00070438
1.40666962,0.00015744
1.43051147,0.00033242
1.45435333,0.00018121
1.47819519,0.00028555
1.50203705,0.00014475
1.52587891,0.00024748
1.54972076,0.00017344
1.57356262,0.00034625
1.59740448,0.00028981
1.62124634,0.00031216
1.64508820,0.00144702
1.66893005,0.00130240
1.69277191,0.00003607
1.71661377,0.00043493
1.74045563,0.00034509
1.76429749,0.00038440
1.78813934,0.00028440
1.81198120,0.00020299
1.83582306,0.00019523
1.85966492,0.00028018
1.88350677,0.00023918
1.90734863,0.00028072
1.93119049,0.00031440
1.95503235,0.00814698
1.97887421,0.03788669
2.00271606,0.05539773
2.02655792,0.02958748
2.05039978,0.00400152
2.07424164,0.00048396
2.09808350,0.00022611
2.12192535,0.00031216
2.14576721,0.00008598
2.16960907,0.00031429
2.19345093,0.00009394
2.21729279,0.00033043
2.24113464,0.00009264
2.26497650,0.00047481
2.28881836,0.00058396
2.31266022,0.00156422
2.33650208,0.00096161
2.36034393,0.00060934
2.38418579,0.00063746
2.40802765,0.00035097
2.43186951,0.00047181
2.45571136,0.00000792
2.47955322,0.00012931
2.50339508,0.00028218
2.52723694,0.00032734
2.55107880,0.00020939
2.57492065,0.00032434
2.59876251,0.00038171
2.62260437,0.00030137
2.64644623,0.00199622
2.67028809,0.00187983
2.69412994,0.00036431
2.71797180,0.00052479
2.74181366,0.00026508
2.76565552,0.00040363
2.78949738,0.00025465
2.81333923,0.00026869
2.83718109,0.00011569
2.86102295,0.00033327
2.88486481,0.00015947
2.90870667,0.00042112
2.93254852,0.00028990
2.95639038,0.00915005
2.98023224,0.03935564
3.00407410,0.05427429
3.02791595,0.02718489
3.05175781,0.00323368
3.07559967,0.00044452
3.09944153,0.00014242
3.12328339,0.00024961
3.14712524,0.00014938
3.17096710,0.00044363
3.19480896,0.00025877
3.21865082,0.00031417
3.24249268,0.00005308
3.26633453,0.00044573
3.29017639,0.00086291
3.31401825,0.00204377
3.33786011,0.00163584
3.36170197,0.00114690
3.38554382,0.00071009
3.40938568,0.00031115
3.43322754,0.00033636
3.45706940,0.00021263
3.48091125,0.00023120
3.50475311,0.00020352
3.52859497,0.00021040
3.55243683,0.00025162
3.57627869,0.00026117
3.60012054,0.00045318
3.62396240,0.00038437
3.64780426,0.00252976
3.67164612,0.00223352
3.69548798,0.00056645
3.71932983,0.00054478
3.74317169,0.00022850
3.76701355,0.00043604
3.79085541,0.00021795
3.81469727,0.00028157
3.83853912,0.00005348
3.86238098,0.00033234
3.88622284,0.00020839
3.91006470,0.00034311
3.93390656,0.00032693
3.95774841,0.01025412
3.98159027,0.04045165
4.00543213,0.05263673
4.02927399,0.02474569
4.05311584,0.00261202
4.07695770,0.00034579
4.10079956,0.00020658
4.12464142,0.00029240
4.14848328,0.00016776
4.17232513,0.00035798
4.19616699,0.00010094
4.22000885,0.00032118
4.24385071,0.00016828
4.26769257,0.00039120
4.29153442,0.00104854
4.31537628,0.00235143
4.33921814,0.00202798
4.36306000,0.00132358
4.38690186,0.00048426
4.41074371,0.00042412
4.43458557,0.00037023
4.45842743,0.00029708
4.48226929,0.00015184
4.50611115,0.00023618
4.52995300,0.00019808
4.55379486,0.00038093
4.57763672,0.00024809
4.60147858,0.00047687
4.62532043,0.00072443
4.64916229,0.00308684
4.67300415,0.00266478
4.69684601,0.00085386
4.72068787,0.00060460
4.74452972,0.00016848
4.76837158,0.00039049
4.79221344,0.00015153
4.81605530,0.00033226
4.83989716,0.00011169
4.86373901,0.00035731
4.88758087,0.00015828
4.91142273,0.00032000
4.93526459,0.00056408
4.95910645,0.01137534
4.98294830,0.04126401
5.00679016,0.05055008
5.03063202,0.02209040
5.05447388,0.00185978
5.07831573,0.00031762
5.10215759,0.00025643
5.12599945,0.00028911
5.14984131,0.00014677
5.17368317,0.00024237
5.19752502,0.00024387
5.22136688,0.00029362
5.24520874,0.00022667
5.26905060,0.00031576
5.29289246,0.00125975
5.31673431,0.00271914
5.34057617,0.00253255
5.36441803,0.00160293
5.38825989,0.00050952
5.41210175,0.00042298
5.43594360,0.00017053
5.45978546,0.00035289
5.48362732,0.00022549
5.50746918,0.00027288
5.53131104,0.00018638
5.55515289,0.00025226
5.57899475,0.00012463
5.60283661,0.00055891
5.62667847,0.00104626
5.65052032,0.00362299
5.67436218,0.00307322
5.69820404,0.00115715
5.72204590,0.00072287
5.74588776,0.00013181
5.76972961,0.00032491
5.79357147,0.00013159
5.81741333,0.00037111
5.84125519,0.00009839
5.86509705,0.00034899
5.88893890,0.00019316
5.91278076,0.00028174
5.93662262,0.00065368
5.96046448,0.01226609
5.98430634,0.04153589
6.00814819,0.04807293
6.03199005,0.01958004
6.05583191,0.00133281
6.07967377,0.00033777
6.10351563,0.00027169
6.12735748,0.00023360
6.15119934,0.00020776
6.17504120,0.00025275
6.19888306,0.00031550
6.22272491,0.00025511
6.24656677,0.00029011
6.27040863,0.00026249
6.29425049,0.00149672
6.31809235,0.00307401
6.34193420,0.00295120
6.36577606,0.00179011
6.38961792,0.00044063
6.41345978,0.00036855
6.43730164,0.00019005
6.46114349,0.00041128
6.48498535,0.00019890
6.50882721,0.00020118
6.53266907,0.00006883
6.55651093,0.00042153
6.58035278,0.00019288
6.60419464,0.00053495
6.62803650,0.00137253
6.65187836,0.00416675
6.67572021,0.00344281
6.69956207,0.00134108
6.72340393,0.00065879
6.74724579,0.00013985
6.77108765,0.00036412
6.79492950,0.00018082
6.81877136,0.00028783
6.84261322,0.00011594
6.86645508,0.00032477
6.89029694,0.00035342
6.91413879,0.00032295
6.93798065,0.00083630
6.96182251,0.01316644
6.98566437,0.04154206
7.00950623,0.04537665
7.03334808,0.01713451
7.05718994,0.00083783
7.08103180,0.00020741
7.10487366,0.00035610
7.12871552,0.00027938
7.15255737,0.00015787
7.17639923,0.00010081
7.20024109,0.00036482
7.22408295,0.00027862
7.24792480,0.00031610
7.27176666,0.00020004
7.29560852,0.00168782
7.31945038,0.00335297
7.34329224,0.00326139
7.36713409,0.00176314
7.39097595,0.00018941
7.41481781,0.00051991
7.43865967,0.00019331
7.46250153,0.00033084
7.48634338,0.00011899
7.51018524,0.00029620
7.53402710,0.00011882
7.55786896,0.00038990
7.58171082,0.00012988
7.60555267,0.00045113
7.62939453,0.00181336
7.65323639,0.00461762
7.67707825,0.00370808
7.70092010,0.00153444
7.72476196,0.00068952
7.74860382,0.00025556
7.77244568,0.00027842
7.79628754,0.00022684
7.82012939,0.00031268
7.84397125,0.00016223
7.86781311,0.00027977
7.89165497,0.00027698
7.91549683,0.00032833
7.93933868,0.00104150
7.96318054,0.01392442
7.98702240,0.04103290
8.01086426,0.04228523
8.03470612,0.01478203
8.05854797,0.00060793
8.08238983,0.00015181
8.10623169,0.00029042
8.13007355,0.00019993
8.15391541,0.00025043
8.17775726,0.00007167
8.20159912,0.00040686
8.22544098,0.00015332
8.24928284,0.00038949
8.27312469,0.00029491
8.29696655,0.00195431
8.32080841,0.00365432
8.34465027,0.00364077
8.36849213,0.00195199
8.39233398,0.00029677
8.41617584,0.00038197
8.44001770,0.00014718
8.46385956,0.00034655
8.48770142,0.00020883
8.51154327,0.00034778
8.53538513,0.00008754
8.55922699,0.00031088
8.58306885,0.00026469
8.60691071,0.00047092
8.63075256,0.00211559
8.65459442,0.00491007
8.67843628,0.00384149
8.70227814,0.00156874
8.72612000,0.00053811
8.74996185,0.00030838
8.77380371,0.00026494
8.79764557,0.00028393
8.82148743,0.00031211
8.84532928,0.00009713
8.86917114,0.00012518
8.89301300,0.00046743
8.91685486,0.00041120
8.94069672,0.00122106
8.96453857,0.01453420
8.98838043,0.04016144
9.01222229,0.03904648
9.03606415,0.01255259
9.05990601,0.00034635
9.08374786,0.00003405
9.10758972,0.00036382
9.13143158,0.00022446
9.15527344,0.00030485
9.17911530,0.00006253
9.20295715,0.00032842
9.22679901,0.00019249
9.25064087,0.00042674
9.27448273,0.00027414
9.29832458,0.00214717
9.32216644,0.00392712
9.34600830,0.00387410
9.36985016,0.00190050
9.39369202,0.00019895
9.41753387,0.00033874
9.44137573,0.00025076
9.46521759,0.00032192
9.48905945,0.00015496
9.51290131,0.00035162
9.53674316,0.00016850
9.56058502,0.00036362
9.58442688,0.00022133
9.60826874,0.00032862
9.63211060,0.00260960
9.65595245,0.00534883
9.67979431,0.00406813
9.70363617,0.00162679
9.72747803,0.00043505
9.75131989,0.00044106
9.77516174,0.00026701
9.79900360,0.00017287
9.82284546,0.00014583
9.84668732,0.00032428
9.87052917,0.00025209
9.89437103,0.00031760
9.91821289,0.00021461
9.94205475,0.00152098
9.96589661,0.01507824
9.98973846,0.03892293
10.01358032,0.03562650
10.03742218,0.01042408
10.06126404,0.00036678
10.08510590,0.00013347
10.10894775,0.00022071
10.13278961,0.00017377
10.15663147,0.00037013
10.18047333,0.00005988
10.20431519,0.00037068
10.22815704,0.00013548
10.25199890,0.00035915
10.27584076,0.00050797
10.29968262,0.00235053
10.32352448,0.00410059
10.34736633,0.00398128
10.37120819,0.00177788
10.39505005,0.00034450
10.41889191,0.00039140
10.44273376,0.00019147
10.46657562,0.00027793
10.49041748,0.00029023
10.51425934,0.00028356
10.53810120,0.00024711
10.56194305,0.00022707
10.58578491,0.00038675
10.60962677,0.00034479
10.63346863,0.00286289
10.65731049,0.00543569
10.68115234,0.00406752
10.70499420,0.00164447
10.72883606,0.00031689
10.75267792,0.00044294
10.77651978,0.00017776
10.80036163,0.00028446
10.82420349,0.00013136
10.84804535,0.00027219
10.87188721,0.00009010
10.89572906,0.00042883
10.91957092,0.00026739
10.94341278,0.00178183
10.96725464,0.01541417
10.99109650,0.03733089
11.01493835,0.03218547
11.03878021,0.00853014
11.06262207,0.00035312
11.08646393,0.00020192
11.11030579,0.00037379
11.13414764,0.00011622
11.15798950,0.00031482
11.18183136,0.00005926
11.20567322,0.00028966
11.22951508,0.00030193
11.25335693,0.00048889
11.27719879,0.00043587
11.30104065,0.00229669
11.32488251,0.00412541
11.34872437,0.00395859
11.37256622,0.00155962
11.39640808,0.00030991
11.42024994,0.00029931
11.44409180,0.00032099
11.46793365,0.00029040
11.49177551,0.00019324
11.51561737,0.00013948
11.53945923,0.00030224
11.56330109,0.00026899
11.58714294,0.00046495
11.61098480,0.00020717
11.63482666,0.00311873
11.65866852,0.00550822
11.68251038,0.00400048
11.70635223,0.00157742
11.73019409,0.00027301
11.75403595,0.00038566
11.77787781,0.00015795
11.80171967,0.00029491
11.82556152,0.00002895
11.84940338,0.00033238
11.87324524,0.00010878
11.89708710,0.00036759
11.92092896,0.00018476
11.94477081,0.00201644
11.96861267,0.01555932
11.99245453,0.03536097
12.01629639,0.02866002
12.04013824,0.00686432
12.06398010,0.00042038
12.08782196,0.00018088
12.11166382,0.00020904
12.13550568,0.00023539
12.15934753,0.00031784
12.18318939,0.00019703
12.20703125,0.00029596
12.23087311,0.00024301
12.25471497,0.00038055
12.27855682,0.00067971
12.30239868,0.00251196
12.32624054,0.00436435
12.35008240,0.00411229
12.37392426,0.00146204
12.39776611,0.00042194
12.42160797,0.00034298
12.44544983,0.00023653
12.46929169,0.00015695
12.49313354,0.00037403
12.51697540,0.00023928
12.54081726,0.00029895
12.56465912,0.00019182
12.58850098,0.00041655
12.61234283,0.00044652
12.63618469,0.00337426
12.66002655,0.00552549
12.68386841,0.00397906
12.70771027,0.00153984
12.73155212,0.00019778
12.75539398,0.00038323
12.77923584,0.00012728
12.80307770,0.00032717
12.82691956,0.00014275
12.85076141,0.00027050
12.87460327,0.00003739
12.89844513,0.00029678
12.92228699,0.00033022
12.94612885,0.00226779
12.96997070,0.01553644
12.99381256,0.03318313
13.01765442,0.02528897
13.04149628,0.00543295
13.06533813,0.00038001
13.08917999,0.00030344
13.11302185,0.00024814
13.13686371,0.00024845
13.16070557,0.00019004
13.18454742,0.00025120
13.20838928,0.00027205
13.23223114,0.00029892
13.25607300,0.00036125
13.27991486,0.00075363
13.30375671,0.00244999
13.32759857,0.00424919
13.35144043,0.00388393
13.37528229,0.00121658
13.39912415,0.00043555
13.42296600,0.00020584
13.44680786,0.00030367
13.47064972,0.00004578
13.49449158,0.00033749
13.51833344,0.00016575
13.54217529,0.00031277
13.56601715,0.00014454
13.58985901,0.00047249
13.61370087,0.00051754
13.63754272,0.00347654
13.66138458,0.00531761
13.68522644,0.00370095
13.70906830,0.00132591
13.73291016,0.00020097
13.75675201,0.00041650
13.78059387,0.00015001
13.80443573,0.00030289
13.82827759,0.00006246
13.85211945,0.00022210
