Частота,Канал A
(kГц),(В)

0.00000000,0.22058760
0.02384186,0.09351645
0.04768372,0.01602431
0.07152557,0.00101339
0.09536743,0.00049288
0.11920929,0.00047245
0.14305115,0.00048224
0.16689301,0.00029873
0.19073486,0.00036793
0.21457672,0.00065090
0.23841858,0.00048286
0.26226044,0.00031717
0.28610229,0.00142606
0.30994415,0.00181343
0.33378601,0.00144489
0.35762787,0.00159607
0.38146973,0.00060356
0.40531158,0.00102362
0.42915344,0.00077906
0.45299530,0.00028369
0.47683716,0.00045856
0.50067902,0.00053183
0.52452087,0.00041571
0.54836273,0.00017146
0.57220459,0.00059299
0.59604645,0.00079060
0.61988831,0.00090115
0.64373016,0.00272779
0.66757202,0.00208787
0.69141388,0.00138657
0.71525574,0.00104709
0.73909760,0.00055908
0.76293945,0.00081164
0.78678131,0.00062864
0.81062317,0.00028463
0.83446503,0.00055997
0.85830688,0.00070927
0.88214874,0.00044245
0.90599060,0.00048534
0.92983246,0.00109618
0.95367432,0.01634195
0.97751617,0.08763487
1.00135803,0.13787060
1.02519989,0.07795141
1.04904175,0.01215123
1.07288361,0.00048278
1.09672546,0.00043386
1.12056732,0.00070735
1.14440918,0.00055389
1.16825104,0.00015859
1.19209290,0.00049070
1.21593475,0.00084269
1.23977661,0.00066445
1.26361847,0.00070064
1.28746033,0.00180960
1.31130219,0.00215316
1.33514404,0.00072243
1.35898590,0.00047390
1.38282776,0.00087082
1.40666962,0.00082385
1.43051147,0.00041961
1.45435333,0.00024767
1.47819519,0.00058808
1.50203705,0.00059911
1.52587891,0.00034582
1.54972076,0.00059909
1.57356262,0.00086389
1.59740448,0.00061691
1.62124634,0.00129355
1.64508820,0.00361401
1.66893005,0.00278515
1.69277191,0.00087846
1.71661377,0.00050519
1.74045563,0.00072617
1.76429749,0.00072134
1.78813934,0.00032928
1.81198120,0.00016988
1.83582306,0.00050385
1.85966492,0.00068642
1.88350677,0.00033090
1.90734863,0.00059963
1.93119049,0.00112768
1.95503235,0.01762847
1.97887421,0.08777573
2.00271606,0.13035140
2.02655792,0.06930622
2.05039978,0.00974534
2.07424164,0.00034485
2.09808350,0.00059042
2.12192535,0.00085675
2.14576721,0.00053075
2.16960907,0.00022691
2.19345093,0.00056865
2.21729279,0.00064957
2.24113464,0.00037375
2.26497650,0.00068933
2.28881836,0.00178997
2.31266022,0.00221373
2.33650208,0.00147589
2.36034393,0.00131538
2.38418579,0.00144623
2.40802765,0.00086531
2.43186951,0.00020762
2.45571136,0.00052971
2.47955322,0.00055653
2.50339508,0.00033990
2.52723694,0.00022016
2.55107880,0.00052766
2.57492065,0.00066443
2.59876251,0.00045465
2.62260437,0.00189108
2.64644623,0.00439950
2.67028809,0.00339837
2.69412994,0.00060637
2.71797180,0.00044105
2.74181366,0.00087072
2.76565552,0.00070128
2.78949738,0.00031441
2.81333923,0.00032709
2.83718109,0.00051369
2.86102295,0.00048179
2.88486481,0.00035990
2.90870667,0.00091608
2.93254852,0.00120308
2.95639038,0.01832103
2.98023224,0.08459741
3.00407410,0.11867520
3.02791595,0.05926835
3.05175781,0.00736609
3.07559967,0.00022952
3.09944153,0.00060188
3.12328339,0.00079372
3.14712524,0.00042348
3.17096710,0.00036547
3.19480896,0.00065704
3.21865082,0.00053582
3.24249268,0.00043573
3.26633453,0.00102294
3.29017639,0.00180625
3.31401825,0.00239351
3.33786011,0.00250786
3.36170197,0.00215405
3.38554382,0.00150980
3.40938568,0.00075322
3.43322754,0.00020739
3.45706940,0.00049893
3.48091125,0.00059006
3.50475311,0.00040696
3.52859497,0.00043909
3.55243683,0.00070870
3.57627869,0.00057857
3.60012054,0.00033076
3.62396240,0.00238126
3.64780426,0.00470418
3.67164612,0.00361910
3.69548798,0.00105585
3.71932983,0.00102701
3.74317169,0.00100664
3.76701355,0.00049020
3.79085541,0.00005957
3.81469727,0.00049239
3.83853912,0.00064630
3.86238098,0.00039114
3.88622284,0.00041173
3.91006470,0.00069074
3.93390656,0.00077735
3.95774841,0.01788249
3.98159027,0.07772579
4.00543213,0.10331080
4.02927399,0.04858741
4.05311584,0.00547598
4.07695770,0.00048102
4.10079956,0.00062508
4.12464142,0.00057794
4.14848328,0.00039109
4.17232513,0.00054006
4.19616699,0.00054700
4.22000885,0.00030707
4.24385071,0.00059836
4.26769257,0.00123052
4.29153442,0.00172233
4.31537628,0.00238120
4.33921814,0.00340389
4.36306000,0.00298702
4.38690186,0.00153135
4.41074371,0.00045460
4.43458557,0.00045206
4.45842743,0.00061029
4.48226929,0.00040733
4.50611115,0.00016926
4.52995300,0.00041010
4.55379486,0.00058967
4.57763672,0.00046205
4.60147858,0.00070563
4.62532043,0.00249451
4.64916229,0.00429177
4.67300415,0.00335701
4.69684601,0.00138616
4.72068787,0.00112756
4.74452972,0.00091037
4.76837158,0.00037626
4.79221344,0.00031036
4.81605530,0.00052880
4.83989716,0.00034734
4.86373901,0.00015151
4.88758087,0.00055595
4.91142273,0.00089827
4.93526459,0.00071087
4.95910645,0.01670698
4.98294830,0.06791975
5.00679016,0.08529790
5.03063202,0.03738099
5.05447388,0.00354282
5.07831573,0.00088784
5.10215759,0.00071563
5.12599945,0.00034805
5.14984131,0.00026155
5.17368317,0.00053788
5.19752502,0.00052351
5.22136688,0.00011628
5.24520874,0.00062349
5.26905060,0.00107694
5.29289246,0.00105651
5.31673431,0.00216318
5.34057617,0.00393792
5.36441803,0.00318928
5.38825989,0.00127107
5.41210175,0.00032800
5.43594360,0.00061221
5.45978546,0.00066322
5.48362732,0.00039385
5.50746918,0.00025866
5.53131104,0.00059334
5.55515289,0.00064615
5.57899475,0.00029923
5.60283661,0.00096094
5.62667847,0.00243753
5.65052032,0.00368565
5.67436218,0.00308045
5.69820404,0.00183276
5.72204590,0.00138764
5.74588776,0.00074527
5.76972961,0.00023937
5.79357147,0.00056052
5.81741333,0.00071949
5.84125519,0.00046185
5.86509705,0.00029000
5.88893890,0.00068722
5.91278076,0.00079427
5.93662262,0.00030148
5.96046448,0.01443639
5.98430634,0.05550533
6.00814819,0.06596579
6.03199005,0.02692663
6.05583191,0.00218998
6.07967377,0.00096058
6.10351563,0.00066627
6.12735748,0.00031024
6.15119934,0.00059899
6.17504120,0.00068886
6.19888306,0.00051853
6.22272491,0.00041472
6.24656677,0.00093030
6.27040863,0.00102370
6.29425049,0.00061282
6.31809235,0.00217120
6.34193420,0.00434079
6.36577606,0.00334170
6.38961792,0.00111499
6.41345978,0.00062290
6.43730164,0.00074389
6.46114349,0.00051025
6.48498535,0.00023550
6.50882721,0.00056817
6.53266907,0.00075466
6.55651093,0.00049012
6.58035278,0.00040143
6.60419464,0.00115360
6.62803650,0.00198265
6.65187836,0.00251797
6.67572021,0.00247390
6.69956207,0.00201262
6.72340393,0.00142336
6.74724579,0.00069072
6.77108765,0.00039642
6.79492950,0.00052619
6.81877136,0.00045545
6.84261322,0.00023385
6.86645508,0.00041008
6.89029694,0.00065332
6.91413879,0.00046056
6.93798065,0.00026245
6.96182251,0.01123545
6.98566437,0.04151934
7.00950623,0.04689172
7.03334808,0.01773537
7.05718994,0.00130065
7.08103180,0.00089509
7.10487366,0.00047076
7.12871552,0.00026517
7.15255737,0.00051566
7.17639923,0.00047590
7.20024109,0.00025989
7.22408295,0.00034062
7.24792480,0.00083310
7.27176666,0.00070931
7.29560852,0.00017540
7.31945038,0.00187123
7.34329224,0.00425038
7.36713409,0.00307113
7.39097595,0.00074465
7.41481781,0.00072846
7.43865967,0.00089432
7.46250153,0.00058228
7.48634338,0.00028810
7.51018524,0.00057360
7.53402710,0.00063103
7.55786896,0.00030532
7.58171082,0.00046549
7.60555267,0.00109463
7.62939453,0.00123775
7.65323639,0.00109461
7.67707825,0.00195237
7.70092010,0.00221069
7.72476196,0.00130675
7.74860382,0.00041028
7.77244568,0.00060320
7.79628754,0.00064504
7.82012939,0.00032694
7.84397125,0.00026252
7.86781311,0.00071988
7.89165497,0.00082529
7.91549683,0.00036243
7.93933868,0.00052276
7.96318054,0.00753598
7.98702240,0.02679153
8.01086426,0.02850320
8.03470612,0.00963174
8.05854797,0.00105317
8.08238983,0.00084039
8.10623169,0.00031945
8.13007355,0.00050101
8.15391541,0.00068207
8.17775726,0.00046969
8.20159912,0.00029253
8.22544098,0.00066558
8.24928284,0.00081129
8.27312469,0.00050259
8.29696655,0.00105559
8.32080841,0.00151562
8.34465027,0.00352630
8.36849213,0.00227833
8.39233398,0.00057868
8.41617584,0.00075308
8.44001770,0.00054053
8.46385956,0.00017015
8.48770142,0.00043614
8.51154327,0.00061924
8.53538513,0.00037311
8.55922699,0.00029142
8.58306885,0.00075933
8.60691071,0.00109010
8.63075256,0.00069101
8.65459442,0.00033139
8.67843628,0.00153570
8.70227814,0.00210783
8.72612000,0.00101811
8.74996185,0.00030838
8.77380371,0.00056774
8.79764557,0.00054217
8.82148743,0.00014210
8.84532928,0.00043419
8.86917114,0.00068319
8.89301300,0.00054002
8.91685486,0.00027664
8.94069672,0.00100997
8.96453857,0.00348313
8.98838043,0.01238083
9.01222229,0.01235026
9.03606415,0.00349596
9.05990601,0.00106796
9.08374786,0.00064158
9.10758972,0.00025812
9.13143158,0.00051078
9.15527344,0.00058536
9.17911530,0.00034931
9.20295715,0.00034687
9.22679901,0.00067105
9.25064087,0.00061396
9.27448273,0.00045184
9.29832458,0.00157536
9.32216644,0.00124811
9.34600830,0.00255329
9.36985016,0.00155450
9.39369202,0.00075308
9.41753387,0.00094507
9.44137573,0.00060895
9.46521759,0.00023506
9.48905945,0.00038969
9.51290131,0.00052705
9.53674316,0.00030322
9.56058502,0.00054541
9.58442688,0.00096872
9.60826874,0.00084577
9.63211060,0.00106965
9.65595245,0.00194999
9.67979431,0.00124659
9.70363617,0.00165812
9.72747803,0.00057814
9.75131989,0.00058254
9.77516174,0.00085779
9.79900360,0.00054106
9.82284546,0.00032885
9.84668732,0.00076468
9.87052917,0.00077568
9.89437103,0.00044577
9.91821289,0.00058910
9.94205475,0.00136127
9.96589661,0.00169778
9.98973846,0.00125570
10.01358032,0.00126586
10.03742218,0.00153320
10.06126404,0.00107861
10.08510590,0.00041721
10.10894775,0.00042801
10.13278961,0.00057571
10.15663147,0.00047843
10.18047333,0.00028094
10.20431519,0.00059311
10.22815704,0.00071182
10.25199890,0.00035539
10.27584076,0.00086229
10.29968262,0.00201540
10.32352448,0.00131195
10.34736633,0.00138485
10.37120819,0.00079278
10.39505005,0.00103887
10.41889191,0.00108386
10.44273376,0.00057611
10.46657562,0.00033550
10.49041748,0.00043767
10.51425934,0.00036417
10.53810120,0.00028577
10.56194305,0.00070220
10.58578491,0.00089413
10.60962677,0.00065228
10.63346863,0.00212197
10.65731049,0.00311519
10.68115234,0.00130416
10.70499420,0.00128942
10.72883606,0.00039938
10.75267792,0.00074729
10.77651978,0.00077471
10.80036163,0.00047941
10.82420349,0.00038191
10.84804535,0.00063921
10.87188721,0.00061623
10.89572906,0.00038827
10.91957092,0.00085553
10.94341278,0.00169979
10.96725464,0.00584009
10.99109650,0.01266160
11.01493835,0.01142680
11.03878021,0.00426791
11.06262207,0.00092708
11.08646393,0.00035323
11.11030579,0.00064379
11.13414764,0.00072726
11.15798950,0.00046674
11.18183136,0.00051171
11.20567322,0.00072546
11.22951508,0.00067141
11.25335693,0.00031571
11.27719879,0.00109261
11.30104065,0.00225946
11.32488251,0.00164496
11.34872437,0.00026021
11.37256622,0.00068213
11.39640808,0.00112875
11.42024994,0.00078182
11.44409180,0.00047355
11.46793365,0.00066338
11.49177551,0.00059894
11.51561737,0.00035788
11.53945923,0.00037200
11.56330109,0.00065751
11.58714294,0.00067861
11.61098480,0.00055519
11.63482666,0.00318855
11.65866852,0.00431488
11.68251038,0.00168089
11.70635223,0.00075712
11.73019409,0.00051859
11.75403595,0.00093501
11.77787781,0.00067171
11.80171967,0.00028484
11.82556152,0.00045201
11.84940338,0.00062839
11.87324524,0.00038501
11.89708710,0.00035490
11.92092896,0.00095380
11.94477081,0.00171731
11.96861267,0.00941208
11.99245453,0.02149513
12.01629639,0.01835205
12.04013824,0.00572200
12.06398010,0.00073022
12.08782196,0.00056050
12.11166382,0.00080509
12.13550568,0.00055547
12.15934753,0.00024042
12.18318939,0.00044876
12.20703125,0.00057989
12.23087311,0.00046052
12.25471497,0.00057116
12.27855682,0.00155043
12.30239868,0.00243305
12.32624054,0.00190574
12.35008240,0.00096012
12.37392426,0.00111625
12.39776611,0.00099887
12.42160797,0.00056007
12.44544983,0.00037879
12.46929169,0.00051327
12.49313354,0.00044038
12.51697540,0.00028260
12.54081726,0.00050385
12.56465912,0.00079544
12.58850098,0.00079226
12.61234283,0.00115846
12.63618469,0.00401474
12.66002655,0.00485371
12.68386841,0.00183396
12.70771027,0.00013606
12.73155212,0.00070364
12.75539398,0.00084199
12.77923584,0.00045912
12.80307770,0.00028792
12.82691956,0.00055112
12.85076141,0.00055384
12.87460327,0.00027425
12.89844513,0.00034773
12.92228699,0.00093163
12.94612885,0.00175430
12.96997070,0.01230074
12.99381256,0.02724930
13.01765442,0.02190968
13.04149628,0.00605142
13.06533813,0.00046002
13.08917999,0.00064625
13.11302185,0.00068523
13.13686371,0.00038396
13.16070557,0.00044675
13.18454742,0.00078940
13.20838928,0.00080780
13.23223114,0.00050788
13.25607300,0.00074484
13.27991486,0.00161043
13.30375671,0.00229045
13.32759857,0.00239780
13.35144043,0.00208640
13.37528229,0.00149902
13.39912415,0.00074097
13.42296600,0.00022477
13.44680786,0.00065908
13.47064972,0.00077325
13.49449158,0.00047229
13.51833344,0.00032522
13.54217529,0.00073131
13.56601715,0.00084996
13.58985901,0.00052463
13.61370087,0.00160602
13.63754272,0.00446682
13.66138458,0.00508930
13.68522644,0.00211016
13.70906830,0.00038305
13.73291016,0.00078543
13.75675201,0.00057166
13.78059387,0.00029742
13.80443573,0.00060976
13.82827759,0.00078369
13.85211945,0.00058731
